"தொடங்கும் எழுத்து",பெயர்,பொருள்
அ,அகக்கடல்,
அ,அகக்கண்ணன்,
அ,அகக்கதிர்,
அ,அகக்கலைஞன்,
அ,அகக்கீரன்,
அ,அகக்குன்றன்,
அ,அகக்குமரன்,
அ,அகக்கோ,
அ,அகக்கோன்,
அ,அகக்கோமான்,
அ,அகக்கோவன்,
அ,அகங்கிள்ளி,
அ,அகச்சுடரோன்,
அ,அகச்சுடர்,
அ,அகச்சுனை,
அ,அகச்சுனையான்,
அ,அகச்செம்மல்,
அ,அகச்செல்வன்,
அ,அகச்செழியன்,
அ,அகச்சேய்,
அ,அகச்சேரன்,
அ,அகச்சோலை,
அ,அகச்சோலையன்,
அ,அகச்சோழன்,
அ,அகத்தகை,
அ,அகத்தகையன்,
அ,அகத்தன்,
அ,அகத்தன்பன்,
அ,அகத்தம்பி,
அ,அகத்தரசன்,
அ,அகத்தரசு,
அ,அகத்தரியன்,
அ,அகத்தறிவன்,
அ,அகத்தறிவு,
அ,அகத்தழகன்,
அ,அகத்தழகு,
அ,அகத்தானையன்,
அ,அகத்தியன்,
அ,அகத்திருவன்,
அ,அகத்திறத்தன்,
அ,அகத்திறலோன்,
அ,அகத்திறல்,
அ,அகத்தீ,
அ,அகத்துணை,
அ,அகத்துணைவன்,
அ,அகத்துரை,
அ,அகத்துறை,
அ,அகத்தூயன்,
அ,அகத்தூயவன்,
அ,அகத்தூயோன்,
அ,அகத்தென்றல்,
அ,அகத்தெய்வம்,
அ,அகத்தேன்,
அ,அகத்தேறல்,
அ,அகத்தேவன்,
அ,அகத்தோணி,
அ,அகத்தோன்றல்,
அ,அகநம்பி,
அ,அகநல்லன்,
அ,அகநல்லோன்,
அ,அகநாடன்,
அ,அகநிலவன்,
அ,அகநிலவு,
அ,அகநெஞ்சன்,
அ,அகநெறியன்,
அ,அகநேயன்,
அ,அகநேரியன்,
அ,அகந்தூயன்,
அ,அகனன்பன்,
அ,அகனன்பு,
அ,அகனப்பன்,
அ,அகனமுதன்,
அ,அகனமுது,
அ,அகனம்பி,
அ,அகனரசன்,
அ,அகனரசு,
அ,அகனரியன்,
அ,அகனருவி,
அ,அகனறவன்,
அ,அகனறவோன்,
அ,அகனறிஞன்,
அ,அகனறிவன்,
அ,அகனறிவு,
அ,அகனலை,
அ,அகனல்லன்,
அ,அகனல்லோன்,
அ,அகனழகன்,
அ,அகனழகு,
அ,அகனாகன்,
அ,அகனாடன்,
அ,அகனாற்றலன்,
அ,அகனாற்றல்,
அ,அகனாளன்,
அ,அகனாழி,
அ,அகனாவன்,
அ,அகனிசை,
அ,அகனிசைஞன்,
அ,அகனினியன்,
அ,அகனின்பன்,
அ,அகனின்பம்,
அ,அகனிலவன்,
அ,அகனிலவு,
அ,அகனுடையான்,
அ,அகனுரவோன்,
அ,அகனுருவன்,
அ,அகனுறைவோன்,
அ,அகனுழவன்,
அ,அகனூரன்,
அ,அகனூரான்,
அ,அகனூரோன்,
அ,அகனெஞ்சன்,
அ,அகனெடியோன்,
அ,அகனெரி,
அ,அகனெழினி,
அ,அகனெழிலன்,
அ,அகனெழிலோன்,
அ,அகனேயன்,
அ,அகனேரன்,
அ,அகனேரியன்,
அ,அகனேறு,
அ,அகனையன்,
அ,அகனொலி,
அ,அகனொலியன்,
அ,அகனொளி,
அ,அகனொளியன்,
அ,அகனோவியன்,
அ,அகன்,
அ,அகன்கனல்,
அ,அகன்கனி,
அ,அகன்கேள்வன்,
அ,அகன்சாந்து,
அ,அகன்சான்றோன்,
அ,அகன்சாரல்,
அ,அகன்சீரன்,
அ,அகன்சீராளன்,
அ,அகன்சீரோன்,
அ,அகன்சுடரோன்,
அ,அகன்சுடர்,
அ,அகன்சுனை,
அ,அகன்சுனையான்,
அ,அகன்சென்னி,
அ,அகன்செம்மல்,
அ,அகன்செல்வன்,
அ,அகன்செழியன்,
அ,அகன்சேந்தன்,
அ,அகன்சேய்,
அ,அகன்சேரன்,
அ,அகன்சோலை,
அ,அகன்சோலையன்,
அ,அகன்சோழன்,
அ,அகன்பரிதி,
அ,அகன்பாடி,
அ,அகன்பாரி,
அ,அகன்பிறை,
அ,அகன்புகழன்,
அ,அகன்புகழோன்,
அ,அகன்புகழ்,
அ,அகன்புரவலன்,
அ,அகன்புலவன்,
அ,அகன்பூவன்,
அ,அகன்பெரியன்,
அ,அகன்பொருநன்,
அ,அகன்பொருப்பன்,
அ,அகன்பொறை,
அ,அகன்பொறையன்,
அ,அகன்பொழிலன்,
அ,அகன்பொழில்,
அ,அகன்போர்,
அ,அகன்மணி,
அ,அகன்மதி,
அ,அகன்மருகன்,
அ,அகன்மருதன்,
அ,அகன்மறவன்,
அ,அகன்மலை,
அ,அகன்மலையன்,
அ,அகன்மலையோன்,
அ,அகன்மல்லன்,
அ,அகன்மள்ளன்,
அ,அகன்மழவன்,
அ,அகன்மாண்பன்,
அ,அகன்மானன்,
அ,அகன்மார்பன்,
அ,அகன்மாறன்,
அ,அகன்முகிலன்,
அ,அகன்முடி,
அ,அகன்முதல்வன்,
அ,அகன்முத்தன்,
அ,அகன்முத்து,
அ,அகன்முனைவன்,
அ,அகன்முரசு,
அ,அகன்முருகன்,
அ,அகன்முருகு,
அ,அகன்முறுவல்,
அ,அகன்முறையோன்,
அ,அகன்மெய்யன்,
அ,அகன்மேழி,
அ,அகன்மைந்தன்,
அ,அகன்மொழி,
அ,அகன்மௌவல்,
அ,அகன்யாழோன்,
அ,அகன்வடிவேல்,
அ,அகன்விறலன்,
அ,அகன்விறலோன்,
அ,அகன்விறல்,
அ,அகன்வென்றி,
அ,அகன்வென்றியன்,
அ,அகன்வெற்பன்,
அ,அகன்வெற்றி,
அ,அகன்வெற்றியன்,
அ,அகன்வேங்கை,
அ,அகன்வேலன்,
அ,அகன்வேலோன்,
அ,அகன்வேல்,
அ,அகன்வேள்,
அ,அகப்பரிதி,
அ,அகப்பாரி,
அ,அகப்பாவலன்,
அ,அகப்பிறை,
அ,அகப்புகழன்,
அ,அகப்புரவலன்,
அ,அகப்புலவன்,
அ,அகப்பெரியன்,
அ,அகப்பொன்னன்,
அ,அகப்பொறை,
அ,அகப்பொறையன்,
அ,அகமன்னன்,
அ,அகமறவன்,
அ,அகமலையன்,
அ,அகமலையோன்,
அ,அகமள்ளன்,
அ,அகமழவன்,
அ,அகமாண்பன்,
அ,அகமானன்,
அ,அகமார்பன்,
அ,அகமாறன்,
அ,அகமின்னல்,
அ,அகமுகன்,
அ,அகமுகிலன்,
அ,அகமுடி,
அ,அகமுடையான்,
அ,அகமுதல்வன்,
அ,அகமுத்தன்,
அ,அகமுத்து,
அ,அகமுனைவன்,
அ,அகமுரசு,
அ,அகமுருகன்,
அ,அகமுருகு,
அ,அகமுறுவல்,
அ,அகமுறையோன்,
அ,அகமுறைவோன்,
அ,அகமெய்யன்,
அ,அகமேந்தி,
அ,அகமேழி,
அ,அகமைந்தன்,
அ,அகமொழி,
அ,அகமௌவல்,
அ,அகம்,
அ,அகயாழோன்,
அ,அகரக்கடல்,
அ,அகரக்கணை,
அ,அகரக்கண்ணன்,
அ,அகரக்கண்ணு,
அ,அகரக்கதிர்,
அ,அகரக்கனல்,
அ,அகரக்கனி,
அ,அகரக்கரை,
அ,அகரக்கலை,
அ,அகரக்கலைஞன்,
அ,அகரக்கழியான்,
அ,அகரக்காடன்,
அ,அகரக்காரி,
அ,அகரக்காவலன்,
அ,அகரக்கிளி,
அ,அகரக்கிள்ளி,
அ,அகரக்கிழான்,
அ,அகரக்கீரன்,
அ,அகரக்குடிமகன்,
அ,அகரக்குன்றன்,
அ,அகரக்குமரன்,
அ,அகரக்குரிசில்,
அ,அகரக்குளத்தன்,
அ,அகரக்கூடலன்,
அ,அகரக்கூத்தன்,
அ,அகரக்கேள்வன்,
அ,அகரக்கொடி,
