"தொடங்கும் எழுத்து",பெயர்,பொருள்
ஆ,ஆசைத்தம்பி,
ஆ,ஆடன்மகன்,
ஆ,ஆடன்மணி,
ஆ,ஆடன்மறவன்,
ஆ,ஆடன்மல்லன்,
ஆ,ஆடன்மள்ளன்,
ஆ,ஆடன்மாறன்,
ஆ,ஆடன்முதல்வன்,
ஆ,ஆடன்முத்தன்,
ஆ,ஆடன்மைந்தன்,
ஆ,ஆடற்கடல்,
ஆ,ஆடற்குமரன்,
ஆ,ஆடற்கூத்தன்,
ஆ,ஆடற்கொடி,
ஆ,ஆடற்கோ,
ஆ,ஆடற்பித்தன்,
ஆ,ஆடற்பிள்ளை,
ஆ,ஆடலண்ணல்,
ஆ,ஆடலன்பன்,
ஆ,ஆடலப்பன்,
ஆ,ஆடலமுதன்,
ஆ,ஆடலமுது,
ஆ,ஆடலரசன்,
ஆ,ஆடலரசு,
ஆ,ஆடலருவி,
ஆ,ஆடலழகன்,
ஆ,ஆடலாழி,
ஆ,ஆடலினியன்,
ஆ,ஆடலின்பன்,
ஆ,ஆடலின்பம்,
ஆ,ஆடலெழிலன்,
ஆ,ஆடலெழிலோன்,
ஆ,ஆடலையன்,
ஆ,ஆடலொளி,
ஆ,ஆடல்,
ஆ,ஆடல்வல்லோன்,
ஆ,ஆடல்வழுதி,
ஆ,ஆடல்வாகை,
ஆ,ஆடல்விழியன்,
ஆ,ஆடல்வீரன்,
ஆ,ஆடல்வேங்கை,
ஆ,ஆடல்வேந்தன்,
ஆ,ஆடல்வேலன்,
ஆ,ஆடல்வேலோன்,
ஆ,ஆட்சி,
ஆ,ஆட்சிக்கனல்,
ஆ,ஆட்சிக்கிழான்,
ஆ,ஆட்சிக்குன்றன்,
ஆ,ஆட்சிக்குமரன்,
ஆ,ஆட்சிக்குரிசில்,
ஆ,ஆட்சிக்கூத்தன்,
ஆ,ஆட்சிக்கொடி,
ஆ,ஆட்சிக்கோ,
ஆ,ஆட்சிக்கோடன்,
ஆ,ஆட்சிக்கோன்,
ஆ,ஆட்சிச்செழியன்,
ஆ,ஆட்சிச்சேரன்,
ஆ,ஆட்சிச்சோழன்,
ஆ,ஆட்சித்தகை,
ஆ,ஆட்சித்தகையன்,
ஆ,ஆட்சித்தமிழ்,
ஆ,ஆட்சித்தம்பி,
ஆ,ஆட்சித்தலைவன்,
ஆ,ஆட்சித்திறத்தன்,
ஆ,ஆட்சித்திறலோன்,
ஆ,ஆட்சித்தீ,
ஆ,ஆட்சித்துணை,
ஆ,ஆட்சித்துரை,
ஆ,ஆட்சித்தென்னன்,
ஆ,ஆட்சித்தேவன்,
ஆ,ஆட்சிநம்பி,
ஆ,ஆட்சிநல்லன்,
ஆ,ஆட்சிநல்லோன்,
ஆ,ஆட்சியாழி,
ஆ,ஆட்சியூரன்,
ஆ,ஆட்சிவல்லோன்,
ஆ,ஆட்சிவழுதி,
ஆ,ஆட்சிவாகை,
ஆ,ஆட்சிவீரன்,
ஆ,ஆட்சிவெற்பன்,
ஆ,ஆட்சிவெற்றி,
ஆ,ஆட்சிவேங்கை,
ஆ,ஆட்சிவேந்தன்,
ஆ,ஆட்சிவேலன்,
ஆ,ஆட்சிவேலோன்,
ஆ,ஆட்சிவேல்,
ஆ,ஆட்சிவேள்,
ஆ,ஆட்டனத்தி,
ஆ,ஆண்,"ஆட்சி, ஆண்மகன்"
ஆ,ஆண்டகை,
ஆ,ஆண்டவர்,
ஆ,ஆண்டான்,
ஆ,ஆண்மையன்,
ஆ,ஆதவன்,ஞாயிறு
ஆ,ஆத்தி,
ஆ,ஆத்திக்காடன்,
ஆ,ஆத்திக்கிள்ளி,
ஆ,ஆத்திக்குமரன்,
ஆ,ஆத்திக்கொடி,
ஆ,ஆத்திக்கோ,
ஆ,ஆத்திநாகன்,
ஆ,ஆத்திமன்னன்,
ஆ,ஆத்திமருதன்,
ஆ,ஆத்திமறவன்,
ஆ,ஆத்திமார்பன்,
ஆ,ஆத்திமாறன்,
ஆ,ஆத்திமுதல்வன்,
ஆ,ஆத்திமுத்தன்,
ஆ,ஆத்திமுனைவன்,
ஆ,ஆத்தியண்ணல்,
ஆ,ஆத்தியப்பன்,
ஆ,ஆத்தியரசன்,
ஆ,ஆத்தியழகன்,
ஆ,ஆத்தியெழிலன்,
ஆ,ஆத்தியெழிலோன்,
ஆ,ஆத்தியேந்தல்,
ஆ,ஆத்தியையன்,
ஆ,ஆத்திவீரன்,
ஆ,ஆத்திவேங்கை,
ஆ,ஆத்திவேந்தன்,
ஆ,ஆத்திவேலன்,
ஆ,ஆத்திவேலவன்,
ஆ,ஆத்திவேலோன்,
ஆ,ஆனைமுகன்,
ஆ,ஆம்பற்கண்ணன்,
ஆ,ஆம்பற்கண்ணு,
ஆ,ஆம்பற்காடன்,
ஆ,ஆம்பற்கிள்ளி,
ஆ,ஆம்பற்கீரன்,
ஆ,ஆம்பற்குளத்தன்,
ஆ,ஆம்பற்கோதை,
ஆ,ஆம்பற்செழியன்,
ஆ,ஆம்பற்சேரன்,
ஆ,ஆம்பற்சோழன்,
ஆ,ஆம்பற்பொழிலன்,
ஆ,ஆம்பற்பொழில்,
ஆ,ஆம்பலண்ணல்,
ஆ,ஆம்பலப்பன்,
ஆ,ஆம்பலமுதன்,
ஆ,ஆம்பலரசன்,
ஆ,ஆம்பலழகன்,
ஆ,ஆம்பலெழிலன்,
ஆ,ஆம்பலெழிலோன்,
ஆ,ஆம்பலையன்,
ஆ,ஆம்பலொளி,
ஆ,ஆம்பல்,"நீர்க்கொடி (அல்லி)"
ஆ,ஆம்பல்வண்ணன்,
ஆ,ஆம்பல்வளத்தன்,
ஆ,ஆம்பல்வளவன்,
ஆ,ஆம்பல்வழுதி,
ஆ,ஆம்பல்வாணன்,
ஆ,ஆயக்கடல்,
ஆ,ஆயக்கரை,
ஆ,ஆயக்காடன்,
ஆ,ஆயக்கிள்ளி,
ஆ,ஆயக்கிழான்,
ஆ,ஆயக்கீரன்,
ஆ,ஆயக்கோ,
ஆ,ஆயக்கோன்,
ஆ,ஆயக்கோமான்,
ஆ,ஆயச்செல்வன்,
ஆ,ஆயச்செழியன்,
ஆ,ஆயச்சேரன்,
ஆ,ஆயச்சோழன்,
ஆ,ஆயத்தலைவன்,
ஆ,ஆயத்தென்னன்,
ஆ,ஆயத்தேவன்,
ஆ,ஆயநம்பி,
ஆ,ஆயநாகன்,
ஆ,ஆயநிலவன்,
ஆ,ஆயநேயன்,
ஆ,ஆயமாறன்,
ஆ,ஆயம்,
ஆ,ஆய்,
