"தொடங்கும் எழுத்து",பெயர்,பொருள்
ஈ,ஈகக்கண்ணு,
ஈ,ஈகக்கதிர்,
ஈ,ஈகக்கனல்,
ஈ,ஈகக்கிள்ளி,
ஈ,ஈகக்கீரன்,
ஈ,ஈகக்குன்றன்,
ஈ,ஈகக்குமரன்,
ஈ,ஈகக்குரிசில்,
ஈ,ஈகக்கேள்வன்,
ஈ,ஈகக்கொடி,
ஈ,ஈகக்கோ,
ஈ,ஈகக்கோடன்,
ஈ,ஈகக்கோன்,
ஈ,ஈகக்கோமான்,
ஈ,ஈகக்கோவன்,
ஈ,ஈகச்சான்றோன்,
ஈ,ஈகச்சுடரோன்,
ஈ,ஈகச்சுடர்,
ஈ,ஈகச்செந்தில்,
ஈ,ஈகச்சென்னி,
ஈ,ஈகச்செம்மல்,
ஈ,ஈகச்செல்வன்,
ஈ,ஈகச்செழியன்,
ஈ,ஈகச்சேந்தன்,
ஈ,ஈகச்சேய்,
ஈ,ஈகச்சேரன்,
ஈ,ஈகச்சோழன்,
ஈ,ஈகத்தகை,
ஈ,ஈகத்தகையன்,
ஈ,ஈகத்தனையன்,
ஈ,ஈகத்தமிழன்,
ஈ,ஈகத்தமிழ்,
ஈ,ஈகத்தம்பி,
ஈ,ஈகத்தலைவன்,
ஈ,ஈகத்தானையன்,
ஈ,ஈகத்தாரான்,
ஈ,ஈகத்தாரோன்,
ஈ,ஈகத்திண்ணன்,
ஈ,ஈகத்திருவன்,
ஈ,ஈகத்திறத்தன்,
ஈ,ஈகத்திறலோன்,
ஈ,ஈகத்திறல்,
ஈ,ஈகத்தீ,
ஈ,ஈகத்துரை,
ஈ,ஈகத்துறைவன்,
ஈ,ஈகத்தென்னன்,
ஈ,ஈகத்தேவன்,
ஈ,ஈகத்தோன்றல்,
ஈ,ஈகத்தோழன்,
ஈ,ஈகநன்னன்,
ஈ,ஈகநம்பி,
ஈ,ஈகநல்லன்,
ஈ,ஈகநல்லோன்,
ஈ,ஈகப்பொறையன்,
ஈ,ஈகமகன்,
ஈ,ஈகமணி,
ஈ,ஈகமதி,
ஈ,ஈகமன்னன்,
ஈ,ஈகமருகன்,
ஈ,ஈகமருதன்,
ஈ,ஈகமறவன்,
ஈ,ஈகமள்ளன்,
ஈ,ஈகமாண்பன்,
ஈ,ஈகமானன்,
ஈ,ஈகமாறன்,
ஈ,ஈகமுகன்,
ஈ,ஈகமுதல்வன்,
ஈ,ஈகமுத்தன்,
ஈ,ஈகமுனைவன்,
ஈ,ஈகமுரசு,
ஈ,ஈகமுருகன்,
ஈ,ஈகமெய்யன்,
ஈ,ஈகமைந்தன்,
ஈ,ஈகம்,
ஈ,ஈகவண்ணன்,
ஈ,ஈகவண்ணல்,
ஈ,ஈகவமுதன்,
ஈ,ஈகவரசன்,
ஈ,ஈகவல்லோன்,
ஈ,ஈகவளத்தன்,
ஈ,ஈகவளவன்,
ஈ,ஈகவள்ளல்,
ஈ,ஈகவழகன்,
ஈ,ஈகவழுதி,
ஈ,ஈகவாகை,
ஈ,ஈகவாணன்,
ஈ,ஈகவாரி,
ஈ,ஈகவாளன்,
ஈ,ஈகவாழி,
ஈ,ஈகவின்பன்,
ஈ,ஈகவிறலோன்,
ஈ,ஈகவீரன்,
ஈ,ஈகவுரவோன்,
ஈ,ஈகவூரன்,
ஈ,ஈகவெரி,
ஈ,ஈகவெற்பன்,
ஈ,ஈகவெற்றி,
ஈ,ஈகவெழிலன்,
ஈ,ஈகவேங்கை,
ஈ,ஈகவேந்தன்,
ஈ,ஈகவேந்தல்,
ஈ,ஈகவேலன்,
ஈ,ஈகை,
ஈ,ஈகைகோடன்,
ஈ,ஈகைக்கடல்,
ஈ,ஈகைக்கண்ணன்,
ஈ,ஈகைக்கண்ணு,
ஈ,ஈகைக்கதிர்,
ஈ,ஈகைக்கனல்,
ஈ,ஈகைக்கலைஞன்,
ஈ,ஈகைக்காடன்,
ஈ,ஈகைக்காவலன்,
ஈ,ஈகைக்கிளி,
ஈ,ஈகைக்கிள்ளி,
ஈ,ஈகைக்கிழான்,
ஈ,ஈகைக்கீரன்,
ஈ,ஈகைக்குடிமகன்,
ஈ,ஈகைக்குன்றன்,
ஈ,ஈகைக்குமரன்,
ஈ,ஈகைக்குரிசில்,
ஈ,ஈகைக்கூடலன்,
ஈ,ஈகைக்கூத்தன்,
ஈ,ஈகைக்கேள்வன்,
ஈ,ஈகைக்கொடி,
ஈ,ஈகைக்கொடியோன்,
ஈ,ஈகைக்கொடை,
ஈ,ஈகைக்கொன்றை,
ஈ,ஈகைக்கொழுந்து,
ஈ,ஈகைக்கோ,
ஈ,ஈகைக்கோன்,
ஈ,ஈகைக்கோமான்,
ஈ,ஈகைக்கோவன்,
ஈ,ஈகைச்சென்னி,
ஈ,ஈகைச்செழியன்,
ஈ,ஈகைச்சேந்தன்,
ஈ,ஈகைச்சேய்,
ஈ,ஈகைச்சேரன்,
ஈ,ஈகைச்சேரலாதன்,
ஈ,ஈகைச்சோலை,
ஈ,ஈகைச்சோலையன்,
ஈ,ஈகைச்சோழன்,
ஈ,ஈகைத்தகை,
ஈ,ஈகைத்தகையன்,
ஈ,ஈகைத்தனையன்,
ஈ,ஈகைத்தமிழன்,
ஈ,ஈகைத்தமிழ்,
ஈ,ஈகைத்தம்பி,
ஈ,ஈகைத்தலைவன்,
ஈ,ஈகைத்தானையன்,
