"தொடங்கும் எழுத்து",பெயர்,பொருள்
உ,உடையான்,
உ,உணர்வண்ணல்,
உ,உணர்வமுதன்,
உ,உணர்வரசன்,
உ,உணர்வழகன்,
உ,உணர்வாளன்,
உ,உணர்வாழி,
உ,உணர்வு,
உ,உணர்வுக்கடல்,
உ,உணர்வுக்கனல்,
உ,உணர்வுக்கீரன்,
உ,உணர்வுக்குன்றன்,
உ,உணர்வுக்குமரன்,
உ,உணர்வுக்குரிசில்,
உ,உணர்வுக்கோ,
உ,உணர்வுக்கோன்,
உ,உணர்வுச்செல்வன்,
உ,உணர்வுச்செழியன்,
உ,உணர்வுச்சேய்,
உ,உணர்வுச்சேரன்,
உ,உணர்வுச்சோலை,
உ,உணர்வுச்சோழன்,
உ,உணர்வுத்தோழன்,
உ,உணர்வுநம்பி,
உ,உணர்வுநெஞ்சன்,
உ,உணர்வுநேயன்,
உ,உணர்வுமகன்,
உ,உணர்வுமன்னன்,
உ,உணர்வுமருகன்,
உ,உணர்வுமறவன்,
உ,உணர்வுமல்லன்,
உ,உணர்வுமள்ளன்,
உ,உணர்வுமாண்பன்,
உ,உணர்வுமானன்,
உ,உணர்வுமாறன்,
உ,உணர்வுவளத்தன்,
உ,உணர்வுவள்ளல்,
உ,உணர்வுவழுதி,
உ,உணர்வுவீரன்,
உ,உணர்வுவேங்கை,
உ,உணர்வுவேந்தன்,
உ,உணர்வெழிலன்,
உ,உணர்வேந்தல்,
உ,உணர்வேந்தி,
உ,உதயின்மதி,
உ,உதியஞ்சேரல்,
உ,உதியனன்னன்,
உ,உதியனம்பி,
உ,உதியனறவோன்,
உ,உதியனறிவன்,
உ,உதியனல்லன்,
உ,உதியனழகன்,
உ,உதியனாகன்,
உ,உதியனாழி,
உ,உதியனிலவன்,
உ,உதியனெஞ்சன்,
உ,உதியனெறியன்,
உ,உதியனேயன்,
உ,உதியனையன்,
உ,உதியன்கனி,
உ,உதியன்கிளி,
உ,உதியன்கிள்ளி,
உ,உதியன்கிழான்,
உ,உதியன்கீரன்,
உ,உதியன்குன்றன்,
உ,உதியன்குமரன்,
உ,உதியன்குரிசில்,
உ,உதியன்கோன்,
உ,உதியன்சென்னி,
உ,உதியன்செல்வன்,
உ,உதியன்செழியன்,
உ,உதியன்சேந்தன்,
உ,உதியன்சேய்,
உ,உதியன்சேரன்,
உ,உதியன்சேரலாதன்,
உ,உதியன்சோழன்,
உ,உதியன்பரிதி,
உ,உதியன்பாரி,
உ,உதியன்பூவன்,
உ,உதியன்பேகன்,
உ,உதியன்பொறை,
உ,உதியன்பொறையன்,
உ,உதியன்போரோன்,
உ,உதியன்போர்,
உ,உதியன்மகன்,
உ,உதியன்மணி,
உ,உதியன்மன்னன்,
உ,உதியன்மருகன்,
உ,உதியன்மருதன்,
உ,உதியன்மறவன்,
உ,உதியன்மலை,
உ,உதியன்மல்லன்,
உ,உதியன்மள்ளன்,
உ,உதியன்மழவன்,
உ,உதியன்மானன்,
உ,உதியன்மாறன்,
உ,உதியன்மின்னல்,
உ,உதியன்முதல்வன்,
உ,உதியன்முத்தன்,
உ,உதியன்முத்து,
உ,உதியன்முனைவன்,
உ,உதியன்முரசு,
உ,உதியன்முருகன்,
உ,உதியன்மெய்யன்,
உ,உதியன்மைந்தன்,
உ,உதியன்யாழோன்,
உ,உதியன்வடிவேல்,
உ,உதியன்வரம்பன்,
உ,உதியன்வளவன்,
உ,உதியன்வழுதி,
உ,உதியன்வாகை,
உ,உதியன்வாளன்,
உ,உதியன்வீரன்,
உ,உதியன்வெற்பன்,
உ,உதியன்வேங்கை,
உ,உதியன்வேந்தன்,
உ,உதியன்வேலன்,
உ,உதியன்வேல்,
உ,உதியன்வேளிர்,
உ,உதியன்வேள்,
உ,உயிரஞ்சான்,
உ,உயிரண்ணல்,
உ,உயிரினியன்,
உ,உயிருரவோன்,
உ,உயிரேந்தல்,
உ,உயிரேந்தி,
உ,உயிரையன்,
உ,உயிரொலி,
உ,உயிர்,
உ,உயிர்க்கடல்,
உ,உயிர்க்கணை,
உ,உயிர்க்கதிர்,
உ,உயிர்க்குன்றன்,
உ,உயிர்க்கூத்தன்,
உ,உயிர்க்கேள்வன்,
உ,உயிர்க்கோவன்,
உ,உயிர்ச்சான்றோன்,
உ,உயிர்ச்சீரோன்,
உ,உயிர்ச்சுடரோன்,
உ,உயிர்ச்சுடர்,
உ,உயிர்ச்சென்னி,
உ,உயிர்ச்செல்வன்,
உ,உயிர்ச்செழியன்,
உ,உயிர்ச்சேந்தன்,
உ,உயிர்ச்சேரன்,
உ,உயிர்ச்சோலை,
உ,உயிர்ச்சோழன்,
உ,உயிர்த்தகையன்,
உ,உயிர்த்தங்கன்,
உ,உயிர்த்தனையன்,
உ,உயிர்த்தமிழன்,
உ,உயிர்த்தம்பி,
உ,உயிர்த்தலைவன்,
உ,உயிர்த்தீ,
உ,உயிர்த்துணை,
உ,உயிர்த்துணைவன்,
உ,உயிர்த்துறைவன்,
உ,உயிர்த்தென்னன்,
உ,உயிர்த்தென்றல்,
உ,உயிர்த்தேன்,
