"தொடங்கும் எழுத்து",பெயர்,பொருள்
ஊ,ஊக்கமுனைவன்,
ஊ,ஊக்கமெய்யன்,
ஊ,ஊக்கவலவன்,
ஊ,ஊக்கவள்ளல்,
ஊ,ஊக்கவாணன்,
ஊ,ஊக்கவாளன்,
ஊ,ஊக்கவீரன்,
ஊ,ஊரகன்,
ஊ,ஊரண்ணல்,
ஊ,ஊரன்,
ஊ,ஊரன்பன்,
ஊ,ஊரப்பன்,
ஊ,ஊரமுதன்,
ஊ,ஊரமுது,
ஊ,ஊரறிஞன்,
ஊ,ஊரறிவன்,
ஊ,ஊரலை,
ஊ,ஊரழகன்,
ஊ,ஊரழகு,
ஊ,ஊரான்,
ஊ,ஊராற்றல்,
ஊ,ஊராளன்,
ஊ,ஊராழி,
ஊ,ஊரிசை,
ஊ,ஊரினியன்,
ஊ,ஊரின்பம்,
ஊ,ஊருடையான்,
ஊ,ஊருணி,
ஊ,ஊருணிக்காவலன்,
ஊ,ஊருணிக்கிள்ளி,
ஊ,ஊருணிக்கிழான்,
ஊ,ஊருணிக்கீரன்,
ஊ,ஊருணித்துரை,
ஊ,ஊருணிநம்பி,
ஊ,ஊருணிநாகன்,
ஊ,ஊருணிநாடன்,
ஊ,ஊருணிநிலவன்,
ஊ,ஊருணிமருதன்,
ஊ,ஊருணிமுத்தன்,
ஊ,ஊருணியன்பன்,
ஊ,ஊருணியப்பன்,
ஊ,ஊருருவன்,
ஊ,ஊரெழினி,
ஊ,ஊரெழிலன்,
ஊ,ஊரெழிலோன்,
ஊ,ஊரையன்,
ஊ,ஊரொலி,
ஊ,ஊரோன்,
ஊ,ஊர்," குடி"
ஊ,ஊர்க்கண்ணு,
ஊ,ஊர்க்கனல்,
ஊ,ஊர்க்கனி,
ஊ,ஊர்க்காவலன்,
ஊ,ஊர்க்கிளி,
ஊ,ஊர்க்கிள்ளி,
ஊ,ஊர்க்கிழான்,
ஊ,ஊர்க்கீரன்,
ஊ,ஊர்க்குன்றன்,
ஊ,ஊர்க்குமரன்,
ஊ,ஊர்க்குரிசில்,
ஊ,ஊர்க்குளத்தன்,
ஊ,ஊர்க்கூத்தன்,
ஊ,ஊர்க்கேள்வன்,
ஊ,ஊர்க்கோ,
ஊ,ஊர்க்கோடன்,
ஊ,ஊர்க்கோன்,
ஊ,ஊர்க்கோமான்,
ஊ,ஊர்க்கோவன்,
ஊ,ஊர்ச்சந்தனம்,
ஊ,ஊர்ச்சான்றோன்,
ஊ,ஊர்ச்சீரோன்,
ஊ,ஊர்ச்சுடரோன்,
ஊ,ஊர்ச்சுடர்,
ஊ,ஊர்ச்சுனையான்,
ஊ,ஊர்ச்செம்மல்,
ஊ,ஊர்ச்செல்வன்,
ஊ,ஊர்ச்செழியன்,
ஊ,ஊர்ச்சேந்தன்,
ஊ,ஊர்ச்சேரன்,
ஊ,ஊர்ச்சோலை,
ஊ,ஊர்ச்சோழன்,
ஊ,ஊர்த்தங்கன்,
ஊ,ஊர்த்திருவன்,
ஊ,ஊர்த்தீ,
ஊ,ஊர்த்துணை,
ஊ,ஊர்த்துணைவன்,
ஊ,ஊர்த்துரை,
ஊ,ஊர்த்துறைவன்,
ஊ,ஊர்த்தேவன்,
ஊ,ஊர்த்தோன்றல்,
ஊ,ஊர்த்தோழன்,
ஊ,ஊர்நம்பி,
ஊ,ஊர்நல்லன்,
ஊ,ஊர்நாகன்,
ஊ,ஊர்நெஞ்சன்,
ஊ,ஊர்நெறியன்,
ஊ,ஊர்நேயன்,
ஊ,ஊர்ப்பரிதி,
ஊ,ஊர்ப்பாவலன்,
ஊ,ஊர்ப்பிள்ளை,
ஊ,ஊர்ப்புகழன்,
ஊ,ஊர்ப்புலவன்,
ஊ,ஊர்ப்பெரியன்,
ஊ,ஊர்ப்பொருநன்,
ஊ,ஊர்ப்பொருப்பன்,
ஊ,ஊர்ப்பொறை,
ஊ,ஊர்ப்பொறையன்,
ஊ,ஊர்ப்பொழிலன்,
ஊ,ஊர்மணி,
ஊ,ஊர்மதி,
ஊ,ஊர்மருதன்,
ஊ,ஊர்மறவன்,
ஊ,ஊர்மல்லன்,
ஊ,ஊர்மள்ளன்,
ஊ,ஊர்மாண்பன்,
ஊ,ஊர்மாறன்,
ஊ,ஊர்முகன்,
ஊ,ஊர்முடி,
ஊ,ஊர்முதல்வன்,
ஊ,ஊர்முத்தன்,
ஊ,ஊர்முத்து,
ஊ,ஊர்வாணன்,
ஊ,ஊர்வீரன்,
ஊ,ஊர்வெற்பன்,
ஊ,ஊர்வெற்றி,
ஊ,ஊர்வேங்கை,
ஊ,ஊர்வேலன்,
ஊ,ஊர்வேல்,
ஊ,ஊர்வைகை,
ஊ,ஊற்றண்ணல்,
ஊ,ஊற்றன்பன்,
