"தொடங்கும் எழுத்து",பெயர்,பொருள்
எ,எipன்மலை,
எ,என்மணி,
எ,என்மதி,
எ,என்மருதன்,
எ,என்மறவன்,
எ,என்மலை,
எ,என்மாறன்,
எ,என்முகன்,
எ,என்முகிலன்,
எ,என்முத்தன்,
எ,என்முத்து,
எ,எயினன்,
எ,எயின்,மறவன்
எ,எரி,
எ,எரிகணை,
எ,எரிகதிர்,
எ,எரிகனல்,
எ,எரிகாடன்,
எ,எரிசுடரோன்,
எ,எரிசுடர்,
எ,எரிமலை,
எ,எரிமாறன்,
எ,எரிமின்னல்,
எ,எரியஞ்சான்,
எ,எரியண்ணல்,
எ,எரியப்பன்,
எ,எரியரசன்,
எ,எரியரசு,
எ,எரியலை,
எ,எரியாளன்,
எ,எரியேந்தி,
எ,எரியையன்,
எ,எரியொளி,
எ,எரிவழுதி,
எ,எரிவிறல்,
எ,எரிவீரன்,
எ,எரிவெற்பன்,
எ,எரிவேங்கை,
எ,எரிவேந்தன்,
எ,எரிவேலன்,
எ,எரிவேல்,
எ,எறிசுடரோன்,
எ,எறிசுடர்,
எ,எறிநிலவன்,
எ,எறிநிலவு,
எ,எறிவேலன்,
எ,எறிவேல்,
எ,எற்கோ,
எ,எற்கோன்,
எ,எற்பகலோன்,
எ,எற்பரிதி,
எ,எற்பாரி,
எ,எற்பிறை,
எ,எற்பூவன்,
எ,எற்பேகன்,
எ,எற்பொறை,
எ,எற்பொழிலன்,
எ,எற்பொழில்,
எ,எல்,
எ,எல்லண்ணல்,
எ,எல்லன்,
எ,எல்லப்பன்,
எ,எல்லமுதன்,
எ,எல்லரசன்,
எ,எல்லரசு,
எ,எல்லருவி,
எ,எல்லறிவன்,
எ,எல்லறிவு,
எ,எல்லழகன்,
எ,எல்லழகு,
எ,எல்லாளன்,
எ,எல்லாழி,
எ,எல்லினியன்,
எ,எல்லின்பன்,
எ,எல்லின்பம்,
எ,எல்லுருவன்,
எ,எல்லூரன்,
எ,எல்லெரி,
எ,எல்லெழினி,
எ,எல்லெழிலன்,
எ,எல்லேந்தல்,
எ,எல்லேந்தி,
எ,எல்லையன்,
எ,எல்லோன்,
எ,எல்வண்ணன்,
எ,எல்வழுதி,
எ,எல்வாகை,
எ,எல்வாரி,
எ,எல்வாளன்,
எ,எல்வெற்பன்,
எ,எல்வேலன்,
எ,எல்வேல்,
எ,எல்வைகை,
எ,எளிமை,எளியன்
எ,எளியன்," எளிமையானவன்"
எ,எளியோன்,
எ,எள்,ஒருவகைக்கூலம்
எ,எள்ளமுதன்,
எ,எள்ளமுது,
எ,எழச்சிகலை,
எ,எழற்சேந்தன்,
எ,எழினி,
எ,எழினிலவன்,
எ,எழின்மகன்,
எ,எழின்மணி,
எ,எழின்மதி,
எ,எழின்மன்னன்,
எ,எழின்மருகன்,
எ,எழின்மருதன்,
எ,எழின்மறவன்,
எ,எழின்மலையன்,
எ,எழின்மல்லன்,
எ,எழின்மள்ளன்,
எ,எழின்மழவன்,
எ,எழின்மா,
எ,எழின்மாண்பன்,
எ,எழின்மானன்,
எ,எழின்மான்,
எ,எழின்மார்பன்,
எ,எழின்மாறன்,
எ,எழின்மின்னல்,
எ,எழின்முகன்,
எ,எழின்முகிலன்,
எ,எழின்முடி,
எ,எழின்முதல்வன்,
எ,எழின்முத்தன்,
எ,எழின்முத்து,
எ,எழின்முனைவன்,
எ,எழின்முரசு,
எ,எழின்முருகன்,
எ,எழின்முருகு,
எ,எழின்முறுவல்,
எ,எழின்மெய்யன்,
எ,எழின்மேழி,
எ,எழின்மைந்தன்,
எ,எழின்மொழி,
எ,எழின்மௌவல்,
எ,எழிற்கடல்,
எ,எழிற்கணை,
எ,எழிற்கண்ணன்,
எ,எழிற்கண்ணு,
எ,எழிற்கதிர்,
எ,எழிற்கனல்,
எ,எழிற்கனி,
எ,எழிற்கலை,
எ,எழிற்கலைஞன்,
எ,எழிற்காடன்,
எ,எழிற்காரி,
எ,எழிற்கிளி,
எ,எழிற்கிள்ளி,
எ,எழிற்கிழான்,
எ,எழிற்கீரன்,
எ,எழிற்குன்றன்,
எ,எழிற்குமரன்,
எ,எழிற்குரிசில்,
எ,எழிற்குளத்தன்,
எ,எழிற்கூத்தன்,
எ,எழிற்கேள்வன்,
எ,எழிற்கொடி,
எ,எழிற்கொடியோன்,
எ,எழிற்கொன்றை,
எ,எழிற்கொழுந்து,
எ,எழிற்கோ,
எ,எழிற்சுடரோன்,
எ,எழிற்சுனையான்,
எ,எழிற்செந்தில்,
எ,எழிற்சென்னி,
எ,எழிற்செம்மல்,
எ,எழிற்செல்வன்,
எ,எழிற்செழியன்,
எ,எழிற்சேயன்,
எ,எழிற்சேய்,
எ,எழிற்சேரன்,
எ,எழிற்சேரலாதன்,
எ,எழிற்சோலை,
எ,எழிற்சோலையன்,
எ,எழிற்சோழன்,
எ,எழிற்பகலோன்,
எ,எழிற்பரிதி,
எ,எழிற்பா,
எ,எழிற்பாடி,
எ,எழிற்பாரி,
எ,எழிற்பாவலன்,
எ,எழிற்பிறை,
எ,எழிற்பிள்ளை,
எ,எழிற்புகழன்,
எ,எழிற்புலவன்,
எ,எழிற்பூவன்,
எ,எழிற்பெரியன்,
எ,எழிற்பேகன்,
எ,எழிற்பேரோன்,
எ,எழிற்பொன்னன்,
