"தொடங்கும் எழுத்து",பெயர்,பொருள்
ஏ,ஏந்தன்மகன்,
ஏ,ஏந்தன்மருகன்,
ஏ,ஏந்தன்மாண்பன்,
ஏ,ஏந்தற்கீரன்,
ஏ,ஏந்தற்கேள்வன்,
ஏ,ஏந்தலமுது,
ஏ,ஏந்தலலை,
ஏ,ஏந்தலழகு,
ஏ,ஏந்தல்,
ஏ,ஏந்தி," மேலோன், தலைமைப்பண்புடையவன், உயர்ந்தோன்"
ஏ,ஏந்தெழில்,
ஏ,ஏரகன்,
ஏ,ஏரண்ணல்,
ஏ,ஏரன்,
ஏ,ஏரமுதன்,
ஏ,ஏரம்பன்,
ஏ,ஏரரசன்,
ஏ,ஏரரசு,
ஏ,ஏராளன்,
ஏ,ஏருடையான்,
ஏ,ஏரூரன்,
ஏ,ஏர்,
ஏ,ஏர்க்காரி,
ஏ,ஏர்க்காவலன்,
ஏ,ஏர்க்கிள்ளி,
ஏ,ஏர்க்கிழான்,
ஏ,ஏர்க்கீரன்,
ஏ,ஏர்க்குடிமகன்,
ஏ,ஏர்க்குமரன்,
ஏ,ஏர்க்குரிசில்,
ஏ,ஏர்க்கேள்வன்,
ஏ,ஏர்க்கொடி,
ஏ,ஏர்க்கொடை,
ஏ,ஏர்க்கோ,
ஏ,ஏர்க்கோன்,
ஏ,ஏர்க்கோமான்,
ஏ,ஏர்க்கோவன்,
ஏ,ஏர்ச்சீரன்,
ஏ,ஏர்ச்சென்னி,
ஏ,ஏர்ச்செல்வன்,
ஏ,ஏர்ச்செழியன்,
ஏ,ஏர்ச்சேரன்,
ஏ,ஏர்ச்சேரலாதன்,
ஏ,ஏர்ச்சோழன்,
ஏ,ஏர்த்தலைவன்,
ஏ,ஏர்த்திருவன்,
ஏ,ஏர்த்திறலோன்,
ஏ,ஏர்த்துணைவன்,
ஏ,ஏர்த்தென்னன்,
ஏ,ஏர்த்தேவன்,
ஏ,ஏர்த்தோழன்,
ஏ,ஏர்நம்பி,
ஏ,ஏர்நல்லன்,
ஏ,ஏர்நாகன்,
ஏ,ஏர்நாடன்,
ஏ,ஏர்ப்பாரி,
ஏ,ஏர்ப்புகழன்,
ஏ,ஏர்ப்பெரியன்,
ஏ,ஏர்ப்பேகன்,
ஏ,ஏர்மகன்,
ஏ,ஏர்மருகன்,
ஏ,ஏர்மருதன்,
ஏ,ஏர்முதல்வன்,
ஏ,ஏர்மைந்தன்,
ஏ,ஏர்வளத்தன்,
ஏ,ஏர்வளவன்,
ஏ,ஏர்வழுதி,
ஏ,ஏர்வாணன்,
ஏ,ஏறகன்,
ஏ,ஏறாளன்,
ஏ,ஏறு,
ஏ,ஏறுருவன்,
ஏ,ஏழாழி,
ஏ,ஏழிசைக்கோ,
ஏ,ஏழிசைக்கோன்,
ஏ,ஏழிசைக்கோமான்,
ஏ,ஏழிசைச்சென்னி,
ஏ,ஏழிசைச்செம்மல்,
ஏ,ஏழிசைச்செல்வன்,
ஏ,ஏழிசைச்செழியன்,
ஏ,ஏழிசைச்சேந்தன்,
ஏ,ஏழிசைச்சேரன்,
ஏ,ஏழிசைச்சோழன்,
ஏ,ஏழிசைத்தமிழன்,
ஏ,ஏழிசைத்தலைவன்,
ஏ,ஏழிசைத்தேவன்,
ஏ,ஏழிசைநம்பி,
ஏ,ஏழிசைநாகன்,
ஏ,ஏழிசைநெஞ்சன்,
ஏ,ஏழிசைப்பித்தன்,
ஏ,ஏழிசைப்புலவன்,
ஏ,ஏழிசைப்பேகன்,
ஏ,ஏழிசைமகன்,
ஏ,ஏழிசைமணி,
ஏ,ஏழிசையண்ணல்,
ஏ,ஏழிசையறிஞன்,
ஏ,ஏழிசையாளன்,
ஏ,ஏழிசையினியன்,
ஏ,ஏழிசையின்பன்,
ஏ,ஏழிசையையன்,
ஏ,ஏழிசையொலி,
ஏ,ஏழிசைவண்ணன்,
ஏ,ஏழிசைவல்லோன்,
ஏ,ஏழிசைவழுதி,
ஏ,ஏழிசைவாணன்,
ஏ,ஏழிசைவாரி,
ஏ,ஏழிசைவீரன்,
ஏ,ஏழிசைவேந்தன்,
ஏ,ஏழு,ஓரேண்
ஏ,ஏழுமலை,
ஏ,ஏழுமலையான்,
ஏ,ஏழ்கடல்,
ஏ,ஏழ்வெற்பன்,
