"தொடங்கும் எழுத்து",பெயர்,பொருள்
ஒ,ஒசைமணி,
ஒ,ஒட்டக்கூத்தன்,
ஒ,ஒண்பொருப்பன்,
ஒ,ஒண்பொழிலன்,
ஒ,ஒண்பொழில்,
ஒ,ஒண்மணி,
ஒ,ஒண்மதி,
ஒ,ஒண்மார்பன்,
ஒ,ஒண்முத்தன்,
ஒ,ஒண்முத்து,
ஒ,ஒண்முரசு,
ஒ,ஒண்மை,
ஒ,ஒண்மையன்,
ஒ,ஒண்மொழி,
ஒ,ஒப்பகன்,
ஒ,ஒப்பமுதன்,
ஒ,ஒப்பமுது,
ஒ,ஒப்பாளன்,
ஒ,ஒப்பின்முத்து,
ஒ,ஒப்பிலண்ணல்,
ஒ,ஒப்பிலன்பன்,
ஒ,ஒப்பிலன்பு,
ஒ,ஒப்பிலப்பன்,
ஒ,ஒப்பிலரசன்,
ஒ,ஒப்பிலரசு,
ஒ,ஒப்பிலருவி,
ஒ,ஒப்பிலறவோன்,
ஒ,ஒப்பிலறிஞன்,
ஒ,ஒப்பிலறிவன்,
ஒ,ஒப்பிலறிவு,
ஒ,ஒப்பிலாக்கனி,
ஒ,ஒப்பிலாக்கோ,
ஒ,ஒப்பிலாக்கோன்,
ஒ,ஒப்பிலாச்சுடர்,
ஒ,ஒப்பிலாத்தம்பி,
ஒ,ஒப்பிலாத்தீ,
ஒ,ஒப்பிலாத்துரை,
ஒ,ஒப்பிலாத்தேன்,
ஒ,ஒப்பிலாத்தேவன்,
ஒ,ஒப்பிலாநம்பி,
ஒ,ஒப்பிலாநெஞ்சன்,
ஒ,ஒப்பிலாநேயன்,
ஒ,ஒப்பிலான்,
ஒ,ஒப்பிலாப்பரிதி,
ஒ,ஒப்பிலாமகன்,
ஒ,ஒப்பிலாமணி,
ஒ,ஒப்பிலாமதி,
ஒ,ஒப்பிலாமலை,
ஒ,ஒப்பிலாமுடி,
ஒ,ஒப்பிலாமுத்து,
ஒ,ஒப்பிலாமுரசு,
ஒ,ஒப்பிலாமொழி,
ஒ,ஒப்பிலாளன்,
ஒ,ஒப்பிலாழி,
ஒ,ஒப்பிலாவண்ணன்,
ஒ,ஒப்பிலாவழுதி,
ஒ,ஒப்பிலினியன்,
ஒ,ஒப்பிலின்பன்,
ஒ,ஒப்பிலூரன்,
ஒ,ஒப்பிலெழிலன்,
ஒ,ஒப்பிலெழில்,
ஒ,ஒப்பிலேந்தல்,
ஒ,ஒப்பிலேரன்,
ஒ,ஒப்பிலேறு,
ஒ,ஒப்பிலையன்,
ஒ,ஒப்பிலொலி,
ஒ,ஒப்பிலொளி,
ஒ,ஒப்பில்சுடரோன்,
ஒ,ஒப்பில்சுடர்,
ஒ,ஒப்பில்செல்வன்,
ஒ,ஒப்பில்சேய்,
ஒ,ஒப்பில்புகழன்,
ஒ,ஒப்பில்புலவன்,
ஒ,ஒப்பில்பொறையன்,
ஒ,ஒப்பில்வாணன்,
ஒ,ஒப்பில்வாரி,
ஒ,ஒப்பில்வீரன்,
ஒ,ஒப்பில்வைகை,
ஒ,ஒப்பிழகன்,
ஒ,ஒப்பு,
ஒ,ஒலி," ஓசை"
ஒ,ஒலிமணி,
ஒ,ஒலிமலை,
ஒ,ஒலிமுரசு,
ஒ,ஒலியகன்,
ஒ,ஒலியண்ணல்,
ஒ,ஒலியன்,
ஒ,ஒலியருவி,
ஒ,ஒலியலை,
ஒ,ஒலியாற்றல்,
ஒ,ஒலியாளன்,
ஒ,ஒலியாழி,
ஒ,ஒலியினியன்,
ஒ,ஒலியெரி,
ஒ,ஒலியேந்தி,
ஒ,ஒலியையன்,
ஒ,ஒலிவண்ணன்,
ஒ,ஒலிவாணன்,
ஒ,ஒலிவெற்பன்,
ஒ,ஒலிவைகை,
ஒ,ஒளி,
ஒ,ஒளிக்கடல்,
ஒ,ஒளிக்கணை,
ஒ,ஒளிக்கண்ணு,
ஒ,ஒளிக்கதிர்,
ஒ,ஒளிக்கரை,
ஒ,ஒளிக்குன்றன்,
ஒ,ஒளிக்குமரன்,
ஒ,ஒளிக்குரிசில்,
ஒ,ஒளிக்குளத்தன்,
ஒ,ஒளிக்கொன்றை,
ஒ,ஒளிக்கோ,
ஒ,ஒளிக்கோடன்,
ஒ,ஒளிக்கோன்,
ஒ,ஒளிக்கோமான்,
ஒ,ஒளிக்கோவன்,
ஒ,ஒளிச்சாரல்,
ஒ,ஒளிச்சுடரோன்,
ஒ,ஒளிச்சுடர்,
ஒ,ஒளிச்சுனையான்,
ஒ,ஒளிச்சென்னி,
ஒ,ஒளிச்செம்மல்,
ஒ,ஒளிச்செல்வன்,
ஒ,ஒளிச்செழியன்,
ஒ,ஒளிச்சேந்தன்,
ஒ,ஒளிச்சேய்,
ஒ,ஒளிச்சேரன்,
ஒ,ஒளிச்சோலை,
ஒ,ஒளிச்சோழன்,
ஒ,ஒளித்தங்கன்,
ஒ,ஒளித்தங்கம்,
ஒ,ஒளித்திருவன்,
