"தொடங்கும் எழுத்து",பெயர்,பொருள்
க,கடனம்பி,
க,கடனாகன்,
க,கடனாடன்,
க,கடப்பஞ்சோலை,
க,கடப்பந்தார்,
க,கடப்பந்தென்றல்,
க,கடப்பமார்பன்,
க,கடப்பமாறன்,
க,கடப்பமைந்தன்,
க,கடம்பண்ணல்,
க,கடம்பநன்னன்,
க,கடம்பநம்பி,
க,கடம்பநல்லன்,
க,கடம்பநல்லோன்,
க,கடம்பநாகன்,
க,கடம்பநாடன்,
க,கடம்பநிலவன்,
க,கடம்பநிலவு,
க,கடம்பநெஞ்சன்,
க,கடம்பன்,
க,கடம்பன்பன்,
க,கடம்பமணி,
க,கடம்பமன்னன்,
க,கடம்பமறவன்,
க,கடம்பமுதன்,
க,கடம்பமுது,
க,கடம்பரசன்,
க,கடம்பரசு,
க,கடம்பழகன்,
க,கடம்பழகு,
க,கடம்பவளத்தன்,
க,கடம்பவளவன்,
க,கடம்பவள்ளல்,
க,கடம்பவழுதி,
க,கடம்பவாணன்,
க,கடம்பவிறலோன்,
க,கடம்பவிறல்,
க,கடம்பவீரன்,
க,கடம்பவெற்பன்,
க,கடம்பவேந்தன்,
க,கடம்பவேலன்,
க,கடம்பவேள்,
க,கடம்பாளன்,
க,கடம்பாழி,
க,கடம்பினியன்,
க,கடம்பின்பன்,
க,கடம்பு,
க,கடம்புடையான்,
க,கடம்பூரன்,
க,கடம்பெழினி,
க,கடம்பெழிலன்,
க,கடம்பெழிலோன்,
க,கடம்பையன்,
க,கடற்கதிர்,
க,கடற்கலை,
க,கடற்கலைஞன்,
க,கடற்காவலன்,
க,கடற்கிள்ளை,
க,கடற்கிழான்,
க,கடற்கீரன்,
க,கடற்குமரன்,
க,கடற்குரிசில்,
க,கடற்கூத்தன்,
க,கடற்கேள்வன்,
க,கடற்கோ,
க,கடற்கோடன்,
க,கடற்கோதை,
க,கடற்கோன்,
க,கடற்கோமான்,
க,கடற்கோவன்,
க,கடற்சாரல்,
க,கடற்சுடரேன்,
க,கடற்சுடர்,
க,கடற்சென்னி,
க,கடற்செம்மல்,
க,கடற்செல்வன்,
க,கடற்செழியன்,
க,கடற்சேந்தன்,
க,கடற்சேய்,
க,கடற்சேரன்,
க,கடற்சோழன்,
க,கடற்பகலோன்,
க,கடற்பரிதி,
க,கடற்பாண்டியன்,
க,கடற்பாரி,
க,கடற்பாவலன்,
க,கடற்பித்தன்,
க,கடற்பிறை,
க,கடற்புகழன்,
க,கடற்புலவன்,
க,கடற்பூவன்,
க,கடற்பெரியன்,
க,கடற்பேகன்,
க,கடற்பொன்னன்,
க,கடற்பொருநன்,
க,கடற்பொருப்பன்,
க,கடற்பொறை,
க,கடற்பொறையன்,
க,கடற்பொழிலன்,
க,கடற்பொழில்,
க,கடற்போரோன்,
க,கடலஞ்சான்,
க,கடலண்ணல்,
க,கடலன்,
க,கடலன்பன்,
க,கடலப்பன்,
க,கடலமுதன்,
க,கடலமுது,
க,கடலரசன்,
க,கடலருவி,
க,கடலறிஞன்,
க,கடலறிவன்,
க,கடலலை,
க,கடலழகன்,
க,கடலழகு,
க,கடலாளன்,
க,கடலிசை,
க,கடலினியன்,
க,கடலின்பன்,
க,கடலூரன்,
க,கடலூரான்,
க,கடலெளியன்,
க,கடலெளியோன்,
க,கடலெழினி,
க,கடலெழிலன்,
க,கடலெழிலோன்,
க,கடலேந்தல்,
க,கடலேந்தி,
க,கடலையன்,
க,கடலொலி,
க,கடலொளி,
க,கடலோலியன்,
க,கடல்,
க,கடல்வண்ணன்,
க,கடல்வரம்பன்,
க,கடல்வலவன்,
க,கடல்வல்லோன்,
க,கடல்வேள்,
க,கணி,
க,கணிக்கடல்,
க,கணிக்கதிர்,
க,கணிக்கனல்,
க,கணிக்கலை,
க,கணிக்கிள்ளி,
க,கணிக்கிழான்,
க,கணிக்கீரன்,
க,கணிக்குன்றன்,
க,கணிக்குமரன்,
க,கணிக்குரிசில்,
க,கணிக்கோ,
க,கணிக்கோடன்,
க,கணிக்கோதை,
க,கணிக்கோன்,
க,கணிக்கோமான்,
க,கணிச்சுடரோன்,
க,கணிச்சுடர்,
க,கணிச்சென்னி,
க,கணிச்செம்மல்,
க,கணிச்செல்வன்,
க,கணிச்செல்வம்,
க,கணிச்செழியன்,
க,கணிச்சேந்தன்,
க,கணிச்சேய்,
க,கணிச்சேரன்,
க,கணிச்சோழன்,
க,கணித்தகை,
க,கணித்தகையன்,
க,கணித்தனையன்,
க,கணித்தம்பி,
க,கணித்தலைவன்,
க,கணித்திறல்,
