"தொடங்கும் எழுத்து",பெயர்,பொருள்
கா,கா,"சோலை, காத்தல்"
கா,காஞ்சி,
கா,காஞ்சிக்கண்ணன்,
கா,காஞ்சிக்கதிர்,
கா,காஞ்சிக்கனல்,
கா,காஞ்சிக்கனி,
கா,காஞ்சிக்காரி,
கா,காஞ்சிக்காவலன்,
கா,காஞ்சிக்கிள்ளி,
கா,காஞ்சிக்கிழான்,
கா,காஞ்சிக்கீரன்,
கா,காஞ்சிக்குடிமகன்,
கா,காஞ்சிக்குன்றன்,
கா,காஞ்சிக்குமரன்,
கா,காஞ்சிக்குரிசில்,
கா,காஞ்சிக்கூத்தன்,
கா,காஞ்சிக்கேள்வன்,
கா,காஞ்சிக்கோ,
கா,காஞ்சிக்கோடன்,
கா,காஞ்சிக்கோதை,
கா,காஞ்சிக்கோன்,
கா,காஞ்சிக்கோமான்,
கா,காஞ்சிக்கோவன்,
கா,காஞ்சிச்சுடர்,
கா,காஞ்சிச்சென்னி,
கா,காஞ்சிச்செம்மல்,
கா,காஞ்சிச்செல்வன்,
கா,காஞ்சிச்செழியன்,
கா,காஞ்சிச்சேந்தன்,
கா,காஞ்சித்தனையன்,
கா,காஞ்சித்திண்ணன்,
கா,காஞ்சித்திருவன்,
கா,காஞ்சித்திறத்தன்,
கா,காஞ்சித்திறலோன்,
கா,காஞ்சித்திறல்,
கா,காஞ்சித்துணைவன்,
கா,காஞ்சித்துரை,
கா,காஞ்சித்தென்னன்,
கா,காஞ்சித்தென்றல்,
கா,காஞ்சித்தேவன்,
கா,காஞ்சித்தோன்றல்,
கா,காஞ்சித்தோழன்,
கா,காஞ்சிநன்னன்,
கா,காஞ்சிநம்பி,
கா,காஞ்சிநல்லன்,
கா,காஞ்சிநாகன்,
கா,காஞ்சிநாடன்,
கா,காஞ்சிநிலவன்,
கா,காஞ்சிநிலவு,
கா,காஞ்சிநெஞ்சன்,
கா,காஞ்சிநேயன்,
கா,காஞ்சிப்பரிதி,
கா,காஞ்சிப்பாரி,
கா,காஞ்சிப்பாவலன்,
கா,காஞ்சிப்பித்தன்,
கா,காஞ்சிப்பிறை,
கா,காஞ்சிப்புகழன்,
கா,காஞ்சிப்புலவன்,
கா,காஞ்சிப்பொன்னன்,
கா,காஞ்சிப்பொருநன்,
கா,காஞ்சிப்பொழிலன்,
கா,காஞ்சிப்பொழில்,
கா,காஞ்சிமகன்,
கா,காஞ்சிமணி,
கா,காஞ்சிமதி,
கா,காஞ்சிமன்னன்,
கா,காஞ்சிமருகன்,
கா,காஞ்சிமருதன்,
கா,காஞ்சிமறவன்,
கா,காஞ்சிமலை,
கா,காஞ்சிமலையன்,
கா,காஞ்சிமல்லன்,
கா,காஞ்சிமள்ளன்,
கா,காஞ்சிமழவன்,
கா,காஞ்சிமாண்பன்,
கா,காஞ்சிமானன்,
கா,காஞ்சிமாறன்,
கா,காஞ்சிமுகிலன்,
கா,காஞ்சிமுதல்வன்,
கா,காஞ்சிமுத்தன்,
கா,காஞ்சிமுத்து,
கா,காஞ்சிமுரசு,
கா,காஞ்சிமுருகன்,
கா,காஞ்சிமுருகு,
கா,காஞ்சிமுறுவல்,
கா,காஞ்சிமைந்தன்,
கா,காஞ்சிமொழி,
கா,காஞ்சிய10ரன்,
கா,காஞ்சிய10ரான்,
கா,காஞ்சியன்பன்,
கா,காஞ்சியன்பு,
கா,காஞ்சியப்பன்,
கா,காஞ்சியமுதன்,
கா,காஞ்சியமுது,
கா,காஞ்சியரசன்,
கா,காஞ்சியரசு,
கா,காஞ்சியருவி,
கா,காஞ்சியறிஞன்,
கா,காஞ்சியறிவு,
கா,காஞ்சியழகன்,
கா,காஞ்சியழகு,
கா,காஞ்சியினியன்,
கா,காஞ்சியின்பன்,
கா,காஞ்சியுழவன்,
கா,காஞ்சியெளியன்,
கா,காஞ்சியெளியோன்,
கா,காஞ்சியெழினி,
கா,காஞ்சியெழிலன்,
கா,காஞ்சியெழிலோன்,
கா,காஞ்சியெழில்,
கா,காஞ்சியேந்தல்,
கா,காஞ்சியையன்,
கா,காஞ்சிவளத்தன்,
