"தொடங்கும் எழுத்து",பெயர்,பொருள்
கு,குகன்,
கு,"குட, குடகு","மேற்கு, வளைவு"
கு,குடகடல்,
கு,குடகன்,
கு,குடகரை,
கு,குடகலை,
கு,குடக்குன்றன்,
கு,குடக்குமரன்,
கு,குடக்குரிசில்,
கு,குடக்குளத்தன்,
கு,குடக்கூத்தன்,
கு,குடக்கொற்றன்,
கு,குடக்கோ,
கு,குடக்கோடன்,
கு,குடக்கோதை,
கு,குடக்கோன்,
கு,குடக்கோமான்,
கு,குடக்கோவன்,
கு,குடநாகன்,
கு,குடநாடன்,
கு,குடநிலவன்,
கு,குடமறவன்,
கு,குடமலை,
கு,குடமலையன்,
கு,குடமலையான்,
கு,குடமலையோன்,
கு,குடமியன்,
கு,குடவரசன்,
கு,குடவரசு,
கு,குடவீரன்,
கு,குடவூரன்,
கு,குடவூரான்,
கு,குடவூரோன்,
கு,குடவெற்பன்,
கு,குடவேங்கை,
கு,குடவேந்தன்,
கு,குடி,
கு,குடிக்கதிர்,
கு,குடிச்சுடரோன்,
கு,குடிச்சுடர்,
கு,குடிச்செம்மல்,
கு,குடிச்செல்வன்,
கு,குடித்தகை,
கு,குடித்தகையன்,
கு,குடித்தனையன்,
கு,குடித்தலைவன்,
கு,குடித்திறலோன்,
கு,குடித்திறல்,
கு,குடித்துணை,
கு,குடித்தோன்றல்,
கு,குடித்தோழன்,
கு,குடிநேயன்,
கு,குடிமகன்,
கு,குடிமருகன்,
கு,குடியன்பன்,
கு,குடியெளியன்,
கு,குடியெழினி,
கு,குடியெழிலன்,
கு,குடியெழிலோன்,
கு,குடியேந்தல்,
கு,குடிவண்ணன்,
கு,குடிவள்ளல்,
கு,குடிவாணன்,
கு,குடிவீரன்,
கு,குடிவேந்தன்,
கு,குட்டி,
கு,குட்டிக்கண்ணன்,
கு,குட்டிக்கிழான்,
கு,குட்டிக்கீரன்,
கு,குட்டிக்கூத்தன்,
கு,குட்டிக்கேள்வன்,
கு,குட்டிக்கோ,
கு,குட்டிக்கோதை,
கு,குட்டிக்கோன்,
கு,குட்டிக்கோவன்,
கு,குட்டிச்சென்னி,
கு,குட்டிச்செல்வன்,
கு,குட்டிச்செழியன்,
கு,குட்டிச்சேந்தன்,
கு,குட்டிச்சோலை,
கு,குட்டித்தங்கன்,
கு,குட்டித்தங்கம்,
கு,குட்டித்தம்பி,
கு,குட்டித்திருவன்,
கு,குட்டித்துரை,
கு,குட்டித்தேவன்,
கு,குட்டித்தோழன்,
கு,குட்டிநாகன்,
கு,குட்டிமணி,
கு,குட்டிமறவன்,
கு,குட்டிமலையன்,
கு,குட்டிமழவன்,
கு,குட்டிமாறன்,
கு,குட்டிமுகிலன்,
கு,குட்டிமுத்தன்,
கு,குட்டிமுத்து,
கு,குட்டிமுரசு,
கு,குட்டிமுருகன்,
கு,குட்டிமுருகு,
கு,குட்டியன்,
கு,குட்டியன்பன்,
கு,குட்டியன்பு,
கு,குட்டியப்பன்,
கு,குட்டியமுதன்,
கு,குட்டியமுது,
கு,குட்டியரசன்,
கு,குட்டியரசு,
கு,குட்டியருவி,
கு,குட்டியழகன்,
கு,குட்டியழகு,
கு,குட்டியெழினி,
கு,குட்டியெழிலன்,
கு,குட்டியெழிலோன்,
கு,குட்டியையன்,
