"தொடங்கும் எழுத்து",பெயர்,பொருள்
கூ,கூடற்கண்ணன்,
கூ,கூடற்கதிர்,
கூ,கூடற்கனல்,
கூ,கூடற்கனி,
கூ,கூடற்கலைஞன்,
கூ,கூடற்காரி,
கூ,கூடற்காவலன்,
கூ,கூடற்கிள்ளி,
கூ,கூடற்கிழான்,
கூ,கூடற்கீரன்,
கூ,கூடற்குன்றன்,
கூ,கூடற்குமரன்,
கூ,கூடற்குரிசில்,
கூ,கூடற்கூத்தன்,
கூ,கூடற்கேள்வன்,
கூ,கூடற்கோ,
கூ,கூடற்கோடன்,
கூ,கூடற்கோதை,
கூ,கூடற்கோன்,
கூ,கூடற்கோமான்,
கூ,கூடற்கோவன்,
கூ,கூடற்சீரன்,
கூ,கூடற்சீரோன்,
கூ,கூடற்சுடரோன்,
கூ,கூடற்சுடர்,
கூ,கூடற்சென்னி,
கூ,கூடற்செம்மல்,
கூ,கூடற்செல்வன்,
கூ,கூடற்செழியன்,
கூ,கூடற்சேந்தன்,
கூ,கூடற்சேய்,
கூ,கூடற்பரிதி,
கூ,கூடற்பாண்டியன்,
கூ,கூடற்பாவலன்,
கூ,கூடற்பித்தன்,
கூ,கூடற்புகழன்,
கூ,கூடற்புலவன்,
கூ,கூடற்பெரியன்,
கூ,கூடலண்ணல்,
கூ,கூடலன்,
கூ,கூடலன்பன்,
கூ,கூடலன்பு,
கூ,கூடலப்பன்,
கூ,கூடலமுதன்,
கூ,கூடலமுது,
கூ,கூடலரசன்,
கூ,கூடலரசு,
கூ,கூடலருவி,
கூ,கூடலறிஞன்,
கூ,கூடலறிவன்,
கூ,கூடலறிவு,
கூ,கூடலழகன்,
கூ,கூடலழகு,
கூ,கூடலினியன்,
கூ,கூடலின்பன்,
கூ,கூடலுழவன்,
கூ,கூடலூரன்,
கூ,கூடலூரான்,
கூ,கூடலெளியன்,
கூ,கூடலெளியோன்,
கூ,கூடலெழினி,
கூ,கூடலெழிலன்,
கூ,கூடலெழிலோன்,
கூ,கூடலேந்தல்,
கூ,கூடலையன்,
கூ,கூடல்,"தோப்பு, மதுரை"
கூ,கூடல்வண்ணன்,
கூ,கூடல்வளத்தன்,
கூ,கூடல்வளவன்,
கூ,கூடல்வள்ளல்,
கூ,கூடல்வழுதி,
கூ,கூடல்வாணன்,
கூ,கூடல்விறலன்,
கூ,கூடல்விறலோன்,
கூ,கூடல்வீரன்,
கூ,கூடல்வெற்பன்,
கூ,கூடல்வேங்கை,
கூ,கூடல்வேந்தன்,
கூ,கூடல்வேலன்,
கூ,கூடல்வேலோன்,
கூ,கூத்தனார்,
கூ,கூத்தன்,
கூ,கூத்தன்பன்,
கூ,கூத்தபிரான்,
கூ,கூத்தமுதன்,
கூ,கூத்தரசன்,
கூ,கூத்தரசு,
கூ,கூத்தறிஞன்,
கூ,கூத்தறிவன்,
கூ,கூத்தறிவு,
கூ,கூத்தழகன்,
கூ,கூத்தழகு,
கூ,கூத்தாளன்,
கூ,கூத்தினியன்,
கூ,கூத்தின்பன்,
கூ,கூத்து,ஆடல்
கூ,கூத்துமகன்,
கூ,கூத்துமணி,
கூ,கூத்துமருகன்,
கூ,கூத்துமருதன்,
கூ,கூத்துமறவன்,
கூ,கூத்துமல்லன்,
கூ,கூத்துமள்ளன்,
கூ,கூத்துமழவன்,
கூ,கூத்துவீரன்,
கூ,கூத்துவேந்தன்,
கூ,கூத்துவேலன்,
கூ,கூத்துவேலோன்,
கூ,கூத்தெளியன்,
கூ,கூத்தெளியோன்,
கூ,கூத்தெழினி,
கூ,கூத்தெழிலன்,
கூ,கூத்தெழிலோன்,
கூ,கூத்தையன்,
கூ,கூரொளி,
கூ,கூரொளியன்,
கூ,கூர்,"மிகுதல், நுனி"
கூ,கூர்கதிர்,
கூ,கூர்சுடர்,
கூ,கூர்தகை,
கூ,கூர்திறலன்,
கூ,கூர்திறல்,
கூ,கூர்புகழன்,
கூ,கூர்வாளன்,
கூ,கூர்வாள்,
கூ,கூர்விழியன்,
கூ,கூர்வேலன்,
கூ,கூர்வேல்,
கூ,கூலக்கடல்,
கூ,கூலக்கதிர்,
கூ,கூலக்காவலன்,
கூ,கூலக்கிழான்,
கூ,கூலக்குன்றன்,
கூ,கூலச்செல்வன்,
கூ,கூலத்திருவன்,
கூ,கூலநாடன்,
கூ,கூலன்,
கூ,கூலமணி,
கூ,கூலமலை,
கூ,கூலமலையன்,
கூ,கூலம்,
கூ,கூலவளத்தன்,
கூ,கூலவளவன்,
கூ,கூலவெற்பன்,
கூ,கூலவேந்தன்,
