"தொடங்கும் எழுத்து",பெயர்,பொருள்
கே,கேண்மை,
கே,கேண்மைக்கடல்,
கே,கேண்மைக்கதிர்,
கே,கேண்மைக்காரி,
கே,கேண்மைக்காவலன்,
கே,கேண்மைக்கிழான்,
கே,கேண்மைக்குன்றன்,
கே,கேண்மைக்குரிசில்,
கே,கேண்மைக்கொடி,
கே,கேண்மைக்கொழுந்து,
கே,கேண்மைக்கோ,
கே,கேண்மைக்கோடன்,
கே,கேண்மைக்கோதை,
கே,கேண்மைக்கோன்,
கே,கேண்மைக்கோமான்,
கே,கேண்மைக்கோவன்,
கே,கேண்மைச்சீரன்,
கே,கேண்மைச்சீரோன்,
கே,கேண்மைச்சுடரவன்,
கே,கேண்மைச்சுடர்,
கே,கேண்மைச்செம்மல்,
கே,கேண்மைச்செல்வன்,
கே,கேண்மைத்தகை,
கே,கேண்மைத்தங்கம்,
கே,கேண்மைத்தலைவன்,
கே,கேண்மைத்திருவன்,
கே,கேண்மைத்தென்றல்,
கே,கேண்மைநம்பி,
கே,கேண்மைநெஞ்சன்,
கே,கேண்மைநெறியன்,
கே,கேண்மைப்பரிதி,
கே,கேண்மைப்பித்தன்,
கே,கேண்மைமார்பன்,
கே,கேண்மைமுதல்வன்,
கே,கேண்மைமுரசு,
கே,கேண்மையண்ணல்,
கே,கேண்மையன்,
கே,கேண்மையப்பன்,
கே,கேண்மையமுதன்,
கே,கேண்மையமுது,
கே,கேண்மையரசன்,
கே,கேண்மையரசு,
கே,கேண்மையருவி,
கே,கேண்மையழகன்,
கே,கேண்மையழகு,
கே,கேண்மையாளன்,
கே,கேண்மையாழி,
கே,கேண்மையினியன்,
கே,கேண்மையின்பன்,
கே,கேண்மையெழினி,
கே,கேண்மையெழிலன்,
கே,கேண்மையெழிலோன்,
கே,கேண்மையேந்தல்,
கே,கேண்மையேந்தி,
கே,கேண்மைவளத்தன்,
கே,கேண்மைவளவன்,
கே,கேண்மைவிரும்பி,
கே,கேண்மைவிழியன்,
கே,கேண்மைவேந்தன்,
கே,கேள்வன்,
கே,கேழன்," நிறத்தன்"
