"தொடங்கும் எழுத்து",பெயர்,பொருள்
கொ,கொங்கன்,
கொ,கொங்கு,"ஒருநாடு, தேன்"
கொ,கொங்குச்சீரன்,
கொ,கொங்குச்சீரோன்,
கொ,கொங்குச்சுடர்,
கொ,கொங்குச்செம்மல்,
கொ,கொங்குச்செல்வன்,
கொ,கொங்குச்சேந்தன்,
கொ,கொங்குச்சேய்,
கொ,கொங்குச்சோலை,
கொ,கொங்குத்தகை,
கொ,கொங்குத்தங்கன்,
கொ,கொங்குத்தங்கம்,
கொ,கொங்குத்தனையன்,
கொ,கொங்குத்தமிழன்,
கொ,கொங்குத்தமிழ்,
கொ,கொங்குத்தம்பி,
கொ,கொங்குத்தலைவன்,
கொ,கொங்குத்திண்ணன்,
கொ,கொங்குத்திருவன்,
கொ,கொங்குத்திறல்,
கொ,கொங்குத்துரை,
கொ,கொங்குத்தென்றல்,
கொ,கொங்குத்தேவன்,
கொ,கொங்குத்தோன்றல்,
கொ,கொங்குத்தோழன்,
கொ,கொங்குநன்னன்,
கொ,கொங்குநம்பி,
கொ,கொங்குநல்லன்,
கொ,கொங்குநல்லோன்,
கொ,கொங்குநாடன்,
கொ,கொங்குநிலவன்,
கொ,கொங்குநெஞ்சன்,
கொ,கொங்குநேயன்,
கொ,கொங்குப்புலவன்,
கொ,கொங்குமகன்,
கொ,கொங்குமணி,
கொ,கொங்குமதி,
கொ,கொங்குமன்னன்,
கொ,கொங்குமருகன்,
கொ,கொங்குமருதன்,
கொ,கொங்குமறவன்,
கொ,கொங்குமலை,
கொ,கொங்குமலையன்,
கொ,கொங்குமல்லன்,
கொ,கொங்குமள்ளன்,
கொ,கொங்குமழவன்,
கொ,கொங்குமானன்,
கொ,கொங்குமுத்தன்,
கொ,கொங்குமுத்து,
கொ,கொங்குவேலன்,
கொ,கொடி," கொடி"
கொ,கொடியோன்," கொடியையுடையவன்"
கொ,கொடை,
கொ,கொடைக்கடல்,
கொ,கொடைக்கண்ணன்,
கொ,கொடைக்கிள்ளி,
கொ,கொடைக்கிழான்,
கொ,கொடைக்கீரன்,
கொ,கொடைக்குன்றன்,
கொ,கொடைக்குமரன்,
கொ,கொடைக்குரிசில்,
கொ,கொடைக்கோ,
கொ,கொடைக்கோடன்,
கொ,கொடைக்கோதை,
கொ,கொடைக்கோன்,
கொ,கொடைக்கோமான்,
கொ,கொடைக்கோவன்,
கொ,கொடைச்சீரன்,
கொ,கொடைச்சீரோன்,
கொ,கொடைச்சுடரோன்,
கொ,கொடைச்சுடர்,
கொ,கொடைச்சென்னி,
கொ,கொடைச்செம்மல்,
கொ,கொடைச்செல்வன்,
கொ,கொடைச்செழியன்,
கொ,கொடைச்சேந்தன்,
கொ,கொடைச்சேரன்,
கொ,கொடைச்சோழன்,
கொ,கொடைத்தலைவன்,
கொ,கொடைத்திருவன்,
கொ,கொடைத்திறல்,
கொ,கொடைத்தோன்றல்,
கொ,கொடைநாடன்,
கொ,கொடைநிலவன்,
கொ,கொடைநெஞ்சன்,
கொ,கொடைநேயன்,
கொ,கொடைப்பரிதி,
கொ,கொடைப்பாரி,
கொ,கொடைப்பித்தன்,
கொ,கொடைப்பிறை,
கொ,கொடைப்புகழன்,
கொ,கொடைப்புலவன்,
கொ,கொடைமகன்,
கொ,கொடைமணி,
கொ,கொடைமதி,
கொ,கொடைமன்னன்,
கொ,கொடைமறவன்,
கொ,கொடைமலை,
கொ,கொடைமாண்பன்,
கொ,கொடைமானன்,
கொ,கொடைமார்பன்,
கொ,கொடைமாறன்,
கொ,கொடைமுதல்வன்,
கொ,கொடைமுத்தன்,
கொ,கொடைமுத்து,
கொ,கொடைமுரசு,
கொ,கொடைமைந்தன்,
