"தொடங்கும் எழுத்து",பெயர்,பொருள்
கோ,கோ," அரசு, தலைமை"
கோ,கோக்கடல்,
கோ,கோக்கணை,
கோ,கோக்கண்ணன்,
கோ,கோக்கண்ணு,
கோ,கோக்கதிர்,
கோ,கோக்கனல்,
கோ,கோக்கனி,
கோ,கோக்கலை,
கோ,கோக்கலையன்,
கோ,கோக்காடன்,
கோ,கோக்காவலன்,
கோ,கோக்கிளி,
கோ,கோக்கிள்ளி,
கோ,கோக்கிழான்,
கோ,கோக்கீரன்,
கோ,கோக்குடிமகன்,
கோ,கோக்குன்றன்,
கோ,கோக்குமரன்,
கோ,கோக்குரிசில்,
கோ,கோக்குளத்தன்,
கோ,கோக்கூடலன்,
கோ,கோக்கூத்தன்,
கோ,கோக்கொடி,
கோ,கோக்கொன்றை,
கோ,கோக்கொற்றவன்,
கோ,கோக்கொழுந்து,
கோ,கோக்கோடன்,
கோ,கோக்கோதை,
கோ,கோக்கோமான்,
கோ,கோக்கோவன்,
கோ,கோச்சான்றோன்,
கோ,கோச்சீரன்,
கோ,கோச்சீராளன்,
கோ,கோச்சீரோன்,
கோ,கோச்சுடரோன்,
கோ,கோச்சுடர்,
கோ,கோச்சுனை,
கோ,கோச்சுனையான்,
கோ,கோச்செந்தில்,
கோ,கோச்சென்னி,
கோ,கோச்செம்மல்,
கோ,கோச்செல்வன்,
கோ,கோச்செழியன்,
கோ,கோச்சேந்தன்,
கோ,கோச்சேய்,
கோ,கோச்சேரன்,
கோ,கோச்சேரலாதன்,
கோ,கோச்சோலை,
கோ,கோச்சோலையன்,
கோ,கோச்சோழன்,
கோ,கோடன்,
கோ,கோடு,மலை
கோ,கோடை,
கோ,கோடைக்கனல்,
கோ,கோடைச்சுடர்,
கோ,கோடைச்சோலை,
கோ,கோடைத்தென்றல்,
கோ,கோடைநிலவன்,
கோ,கோடைப்பரிதி,
கோ,கோடைப்பொழிலோன்,
கோ,கோடைப்பொழில்,
கோ,கோடைமதி,
கோ,கோதை," மாலை"
கோ,கோதைக்கடல்,
கோ,கோதைக்கணை,
கோ,கோதைக்கண்ணன்,
கோ,கோதைக்கண்ணு,
கோ,கோதைக்கதிர்,
கோ,கோதைக்கனி,
கோ,கோதைக்கலை,
கோ,கோதைக்கலைஞன்,
கோ,கோதைக்கிளி,
கோ,கோதைக்கிள்ளி,
கோ,கோதைக்கிழான்,
கோ,கோதைக்கீரன்,
கோ,கோதைக்குடிமகன்,
கோ,கோதைக்குன்றன்,
கோ,கோதைக்குமரன்,
கோ,கோதைக்குரிசில்,
கோ,கோதைக்குளத்தன்,
கோ,கோதைக்கூத்தன்,
கோ,கோதைக்கேள்வன்,
கோ,கோதைக்கொடி,
கோ,கோதைக்கொடியோன்,
கோ,கோதைக்கொன்றை,
கோ,கோதைக்கொற்றன்,
கோ,கோதைக்கொற்றவன்,
கோ,கோதைக்கொழுந்து,
கோ,கோதைக்கோ,
கோ,கோதைக்கோடன்,
கோ,கோதைக்கோன்,
கோ,கோதைக்கோமான்,
கோ,கோதைக்கோவன்,
கோ,கோதைசூடி,
கோ,கோதைச்சான்றோன்,
கோ,கோதைச்சீரன்,
கோ,கோதைச்சீராளன்,
கோ,கோதைச்சீரோன்,
கோ,கோதைச்சுடரோன்,
கோ,கோதைச்சுடர்,
கோ,கோதைச்சுனை,
கோ,கோதைச்சுனையான்,
கோ,கோதைச்செந்தில்,
கோ,கோதைச்சென்னி,
கோ,கோதைச்செம்மல்,
கோ,கோதைச்செல்வன்,
கோ,கோதைச்செழியன்,
கோ,கோதைச்சேந்தன்,
கோ,கோதைச்சேய்,
கோ,கோதைச்சேரன்,
கோ,கோதைச்சோழன்,
கோ,கோதைத்தகை,
கோ,கோதைத்தகையன்,
கோ,கோதைத்தங்கன்,
கோ,கோதைத்தங்கம்,
கோ,கோதைத்தனையன்,
கோ,கோதைத்தமிழன்,
கோ,கோதைத்தமிழ்,
கோ,கோதைத்தம்பி,
கோ,கோதைத்தலைவன்,
கோ,கோதைத்தானையன்,
கோ,கோதைத்தாளன்,
கோ,கோதைத்திண்ணன்,
கோ,கோதைத்திருவன்,
கோ,கோதைத்திறத்தன்,
கோ,கோதைத்திறலோன்,
கோ,கோதைத்திறல்,
கோ,கோதைத்துணை,
கோ,கோதைத்துணைவன்,
கோ,கோதைத்துரை,
கோ,கோதைத்துறை,
கோ,கோதைத்துறைவன்,
கோ,கோதைத்தூயன்,
கோ,கோதைத்தூயவன்,
கோ,கோதைத்தூயோன்,
கோ,கோதைத்தென்னன்,
கோ,கோதைத்தென்னவன்,
கோ,கோதைத்தென்றல்,
கோ,கோதைத்தெய்வம்,
கோ,கோதைத்தேன்,
கோ,கோதைத்தேறல்,
கோ,கோதைத்தேவன்,
கோ,கோதைத்தோன்றல்,
கோ,கோதைத்தோழன்,
கோ,கோதைநன்னன்,
கோ,கோதைநம்பி,
கோ,கோதைநல்லன்,
கோ,கோதைநல்லோன்,
கோ,கோதைநாகன்,
கோ,கோதைநாடன்,
கோ,கோதைநாவன்,
கோ,கோதைநிலவன்,
கோ,கோதைநிலவு,
கோ,கோதைநெஞ்சன்,
கோ,கோதைநெடியோன்,
கோ,கோதைநெறியன்,
கோ,கோதைநேயன்,
கோ,கோதைநேரியன்,
கோ,கோதைப்பகலோன்,
கோ,கோதைப்பரிதி,
கோ,கோதைப்பா,
கோ,கோதைப்பாடி,
கோ,கோதைப்பாண்டியன்,
கோ,கோதைப்பாரி,
கோ,கோதைப்பாவலன்,
கோ,கோதைப்பிறை,
கோ,கோதைப்பிள்ளை,
கோ,கோதைப்புகழன்,
கோ,கோதைப்புகழோன்,
கோ,கோதைப்புகழ்,
கோ,கோதைப்புலவன்,
கோ,கோதைப்பூவன்,
கோ,கோதைப்பெரியன்,
கோ,கோதைப்பேகன்,
கோ,கோதைப்பொன்னன்,
கோ,கோதைப்பொருநன்,
கோ,கோதைப்பொருப்பன்,
கோ,கோதைப்பொறை,
கோ,கோதைப்பொறையன்,
கோ,கோதைப்பொழிலன்,
கோ,கோதைப்பொழில்,
கோ,கோதைமன்னன்,
கோ,கோதைமாண்பன்,
கோ,கோதைமானன்,
கோ,கோதைமான்,
கோ,கோதைமார்பன்,
கோ,கோதைமாறன்,
கோ,கோதைமின்னல்,
கோ,கோதைமுகிலன்,
கோ,கோதைமுடி,
கோ,கோதைமுதல்வன்,
கோ,கோதைமுத்தன்,
கோ,கோதைமுத்து,
கோ,கோதைமுனைவன்,
கோ,கோதைமுரசு,
கோ,கோதைமுருகன்,
கோ,கோதைமுருகு,
கோ,கோதைமுறுவல்,
கோ,கோதைமுறையோன்,
கோ,கோதைமெய்யன்,
கோ,கோதைமேழி,
கோ,கோதைமைந்தன்,
கோ,கோதைமொழி,
கோ,கோதைமௌவல்,
கோ,கோதையண்ணல்,
கோ,கோதையன்,
கோ,கோதையன்பன்,
கோ,கோதையன்பு,
கோ,கோதையப்பன்,
கோ,கோதையமுதன்,
கோ,கோதையமுது,
கோ,கோதையரசன்,
கோ,கோதையரசு,
கோ,கோதையரியன்,
கோ,கோதையருவி,
கோ,கோதையறவன்,
கோ,கோதையறவோன்,
கோ,கோதையறிஞன்,
கோ,கோதையறிவன்,
கோ,கோதையறிவு,
கோ,கோதையழகன்,
கோ,கோதையழகு,
கோ,கோதையாற்றலன்,
கோ,கோதையாற்றல்,
கோ,கோதையாளன்,
கோ,கோதையாளி,
கோ,கோதையாழி,
கோ,கோதையாழோன்,
கோ,கோதையிசை,
கோ,கோதையிசைஞன்,
கோ,கோதையினியன்,
கோ,கோதையின்பன்,
கோ,கோதையுடையான்,
கோ,கோதையுரவோன்,
கோ,கோதையுருவன்,
கோ,கோதையுழவன்,
கோ,கோதையூரன்,
கோ,கோதையூரான்,
கோ,கோதையூரோன்,
கோ,கோதையெளியன்,
கோ,கோதையெளியோன்,
கோ,கோதையெழினி,
கோ,கோதையெழிலன்,
கோ,கோதையெழிலோன்,
கோ,கோதையேந்தல்,
கோ,கோதையேந்தி,
கோ,கோதையேரன்,
கோ,கோதையேறு,
கோ,கோதையையன்,
கோ,கோதையொளியன்,
கோ,கோதையோவியன்,
கோ,கோதைவடிவேல்,
கோ,கோதைவண்ணன்,
கோ,கோதைவரம்பன்,
கோ,கோதைவளத்தன்,
கோ,கோதைவளவன்,
கோ,கோதைவள்ளல்,
கோ,கோதைவழுதி,
கோ,கோதைவாணன்,
கோ,கோதைவாள்,
கோ,கோதைவிறலன்,
கோ,கோதைவிறலோன்,
கோ,கோதைவிறல்,
கோ,கோதைவில்,
கோ,கோதைவில்லவன்,
கோ,கோதைவில்லோன்,
கோ,கோதைவிழியன்,
கோ,கோதைவீரன்,
கோ,கோதைவெண்ணி,
கோ,கோதைவென்றி,
கோ,கோதைவென்றியன்,
கோ,கோதைவெற்பன்,
