"தொடங்கும் எழுத்து",பெயர்,பொருள்
ச,சங்கன்,
ச,சங்கருவி,
ச,சங்கிசை,
ச,சங்கிசைஞன்,
ச,சங்கிலி,
ச,சங்கு,"கடல்வாழ் உயிரினம்"
ச,சங்கூரன்,
ச,சங்கொலியன்,
ச,சந்தனக்கடல்,
ச,சந்தனக்கண்ணன்,
ச,சந்தனக்கண்ணு,
ச,சந்தனக்கதிர்,
ச,சந்தனக்கனி,
ச,சந்தனக்கலை,
ச,சந்தனக்காடன்,
ச,சந்தனக்கிளி,
ச,சந்தனக்கிள்ளி,
ச,சந்தனக்கிழான்,
ச,சந்தனக்குன்றன்,
ச,சந்தனக்குமரன்,
ச,சந்தனக்குரிசில்,
ச,சந்தனக்குளத்தன்,
ச,சந்தனக்கூத்தன்,
ச,சந்தனக்கோ,
ச,சந்தனக்கோதை,
ச,சந்தனக்கோன்,
ச,சந்தனக்கோமான்,
ச,சந்தனக்கோவன்,
ச,சந்தனச்சாரல்,
ச,சந்தனச்சீரன்,
ச,சந்தனச்சுடரோன்,
ச,சந்தனச்சுடர்,
ச,சந்தனச்சுனை,
ச,சந்தனச்சுனையான்,
ச,சந்தனச்சென்னி,
ச,சந்தனச்செம்மல்,
ச,சந்தனச்செல்வன்,
ச,சந்தனச்செழியன்,
ச,சந்தனச்சேந்தன்,
ச,சந்தனச்சேய்,
ச,சந்தனச்சேரன்,
ச,சந்தனச்சோலை,
ச,சந்தனச்சோழன்,
ச,சந்தனத்தகை,
ச,சந்தனத்தகையன்,
ச,சந்தனத்தமிழன்,
ச,சந்தனத்தமிழ்,
ச,சந்தனத்தம்பி,
ச,சந்தனத்தலைவன்,
ச,சந்தனத்தாரான்,
ச,சந்தனத்தாரோன்,
ச,சந்தனத்திண்ணன்,
ச,சந்தனத்திருவன்,
ச,சந்தனத்திறத்தன்,
ச,சந்தனத்திறல்,
ச,சந்தனத்தென்னன்,
ச,சந்தனத்தென்றல்,
ச,சந்தனத்தேவன்,
ச,சந்தனநன்னன்,
ச,சந்தனநம்பி,
ச,சந்தனநல்லன்,
ச,சந்தனநல்லோன்,
ச,சந்தனநாகன்,
ச,சந்தனநாடன்,
ச,சந்தனநிலவன்,
ச,சந்தனநெஞ்சன்,
ச,சந்தனநெடியோன்,
ச,சந்தனநெறியன்,
ச,சந்தனநேயன்,
ச,சந்தனநேரியன்,
ச,சந்தனப்பகலோன்,
ச,சந்தனப்பரிதி,
ச,சந்தனப்பா,
ச,சந்தனப்பாண்டியன்,
ச,சந்தனப்பாவலன்,
ச,சந்தனப்பிறை,
ச,சந்தனப்புகழன்,
ச,சந்தனப்புகழோன்,
ச,சந்தனப்புகழ்,
ச,சந்தனப்புலவன்,
ச,சந்தனப்பூவன்,
ச,சந்தனப்பெரியன்,
ச,சந்தனப்பொன்னன்,
ச,சந்தனப்பொருநன்,
ச,சந்தனப்பொருப்பன்,
ச,சந்தனப்பொறை,
ச,சந்தனப்பொறையன்,
ச,சந்தனப்பொழிலன்,
ச,சந்தனப்பொழில்,
ச,சந்தனமகன்,
ச,சந்தனமணி,
ச,சந்தனமதி,
ச,சந்தனமன்னன்,
ச,சந்தனமருகன்,
ச,சந்தனமருதன்,
ச,சந்தனமறவன்,
ச,சந்தனமலை,
ச,சந்தனமலையன்,
ச,சந்தனமலையோன்,
ச,சந்தனமல்லன்,
ச,சந்தனமள்ளன்,
ச,சந்தனமழவன்,
ச,சந்தனமாண்பன்,
ச,சந்தனமானன்,
ச,சந்தனமார்பன்,
ச,சந்தனமாறன்,
ச,சந்தனமுதல்வன்,
ச,சந்தனமுத்தன்,
ச,சந்தனமுத்து,
ச,சந்தனமுனைவன்,
ச,சந்தனமுரசு,
ச,சந்தனமுருகன்,
ச,சந்தனமுருகு,
ச,சந்தனமுறுவல்,
ச,சந்தனமுறையோன்,
ச,சந்தனமெய்யன்,
ச,சந்தனமேழி,
ச,சந்தனமைந்தன்,
ச,சந்தனமொழி,
ச,சந்தனம்,ஒருமரம்
ச,சந்தனயாழோன்,
ச,சந்தனவடிவேல்,
ச,சந்தனவண்ணன்,
ச,சந்தனவண்ணல்,
ச,சந்தனவமுதன்,
ச,சந்தனவமுது,
ச,சந்தனவரசன்,
ச,சந்தனவரசு,
ச,சந்தனவளத்தன்,
ச,சந்தனவளவன்,
ச,சந்தனவள்ளல்,
ச,சந்தனவழகன்,
ச,சந்தனவழகு,
ச,சந்தனவழுதி,
ச,சந்தனவாணன்,
ச,சந்தனவாழி,
ச,சந்தனவிழியன்,
ச,சந்தனவீரன்,
ச,சந்தனவுருவன்,
ச,சந்தனவூரன்,
ச,சந்தனவூரோன்,
ச,சந்தனவெற்பன்,
ச,சந்தனவெழினி,
ச,சந்தனவெழிலன்,
ச,சந்தனவெழிலோன்,
ச,சந்தனவேங்கை,
ச,சந்தனவேந்தன்,
ச,சந்தனவேலன்,
ச,சந்தனவேலோன்,
ச,சந்தனவேல்,
ச,சந்தனவேள்,
ச,சமரஞ்சான்,
ச,சமராளன்,
ச,சமரூரன்,
ச,சமர்,போர்
ச,சமர்க்கணை,
ச,சமர்க்கனல்,
ச,சமர்க்குமரன்,
ச,சமர்ச்செல்வன்,
ச,சமர்வாணன்,
ச,சமர்விறல்,
ச,சமர்வீரன்,
ச,சமர்வேங்கை,
ச,சமர்வேந்தன்,
ச,சமர்வேலன்,
ச,சமர்வேள்,
ச,சலச்செம்மல்,
