"தொடங்கும் எழுத்து",பெயர்,பொருள்
சா,சா,இறப்பு
சா,சாத்தனார்,
சா,சாத்தன்,
சா,சாந்து," சந்தனச்சாந்து"
சா,சான்றண்ணல்,
சா,சான்றன்,
சா,சான்றன்பன்,
சா,சான்றப்பன்,
சா,சான்றமுதன்,
சா,சான்றரசன்,
சா,சான்றருவி,
சா,சான்றழகன்,
சா,சான்று,
சா,சான்றுச்சுடர்,
சா,சான்றுச்செம்மல்,
சா,சான்றுச்செல்வன்,
சா,சான்றுத்தங்கம்,
சா,சான்றுத்திருவன்,
சா,சான்றுத்தென்றல்,
சா,சான்றுத்தேவன்,
சா,சான்றுத்தோன்றல்,
சா,சான்றுத்தோழன்,
சா,சான்றுமணி,
சா,சான்றுமதி,
சா,சான்றுமலை,
சா,சான்றோன்,
சா,சாரனன்னன்,
சா,சாரனம்பி,
சா,சாரனல்லன்,
சா,சாரனல்லோன்,
சா,சாரனாகன்,
சா,சாரனாடன்,
சா,சாரனாவன்,
சா,சாரனிலவன்,
சா,சாரனிலவு,
சா,சாரனெஞ்சன்,
சா,சாரனெடியோன்,
சா,சாரனெறியன்,
சா,சாரனேயன்,
சா,சாரனேரியன்,
சா,சாரன்மகன்,
சா,சாரன்மணி,
சா,சாரன்மதி,
சா,சாரன்மருகன்,
சா,சாரன்மருதன்,
சா,சாரன்மலை,
சா,சாரன்மல்லன்,
சா,சாரன்மின்னல்,
சா,சாரன்முகிலன்,
சா,சாரன்முடி,
சா,சாரன்முதல்வன்,
சா,சாரன்முத்தன்,
சா,சாரன்முத்து,
சா,சாரன்முனைவன்,
சா,சாரன்முரசு,
சா,சாரன்முருகன்,
சா,சாரன்முருகு,
சா,சாரன்முறுவல்,
சா,சாரன்முறையோன்,
சா,சாரன்மெய்யன்,
சா,சாரன்மேழி,
சா,சாரன்மைந்தன்,
சா,சாரன்மொழி,
சா,சாரன்மௌவல்,
சா,சாரற்கடல்,
சா,சாரற்கணை,
சா,சாரற்கண்ணன்,
சா,சாரற்கண்ணு,
