"தொடங்கும் எழுத்து",பெயர்,பொருள்
சு,சுடரண்ணல்,
சு,சுடரன்,
சு,சுடரன்பன்,
சு,சுடரன்பு,
சு,சுடரப்பன்,
சு,சுடரமுதன்,
சு,சுடரமுது,
சு,சுடரரசன்,
சு,சுடரரசு,
சு,சுடரருவி,
சு,சுடரறவோன்,
சு,சுடரறிஞன்,
சு,சுடரறிவன்,
சு,சுடரறிவு,
சு,சுடரழகன்,
சு,சுடரழகு,
சு,சுடரவன்,
சு,சுடராற்றல்,
சு,சுடராளன்,
சு,சுடராழி,
சு,சுடரினியன்,
சு,சுடரின்பன்,
சு,சுடரூரன்,
சு,சுடரெழிலன்,
சு,சுடரெழிலோன்,
சு,சுடரேந்தல்,
சு,சுடரேந்தி,
சு,சுடரையன்,
சு,சுடரொளி,
சு,சுடரொளியன்,
சு,சுடரோன்,
சு,சுடர்," ஞாயிறு, திங்கள், தீ, ஒளி"
சு,சுடர்க்கதிர்,
சு,சுடர்க்காரி,
சு,சுடர்க்கிள்ளி,
சு,சுடர்க்கிழான்,
சு,சுடர்க்கீரன்,
சு,சுடர்க்குன்றன்,
சு,சுடர்க்குமரன்,
சு,சுடர்க்குரிசில்,
சு,சுடர்க்கூத்தன்,
சு,சுடர்க்கேள்வன்,
சு,சுடர்க்கொடியோன்,
சு,சுடர்க்கோ,
சு,சுடர்க்கோடன்,
சு,சுடர்க்கோதை,
சு,சுடர்க்கோன்,
சு,சுடர்க்கோமான்,
சு,சுடர்க்கோவன்,
சு,சுடர்ச்சென்னி,
சு,சுடர்ச்செம்மல்,
சு,சுடர்ச்செல்வன்,
சு,சுடர்ச்செழியன்,
சு,சுடர்ச்சேந்தன்,
சு,சுடர்ச்சேய்,
சு,சுடர்ச்சேரன்,
சு,சுடர்ச்சோழன்,
சு,சுடர்த்தகை,
சு,சுடர்த்தகையன்,
சு,சுடர்த்தங்கன்,
சு,சுடர்த்தங்கம்,
சு,சுடர்த்தனையன்,
சு,சுடர்த்தம்பி,
சு,சுடர்த்தலைவன்,
சு,சுடர்த்திண்ணன்,
சு,சுடர்த்திருவன்,
சு,சுடர்த்திறத்தன்,
சு,சுடர்த்திறலோன்,
சு,சுடர்த்திறல்,
சு,சுடர்த்தீ,
சு,சுடர்த்துணை,
சு,சுடர்த்துரை,
சு,சுடர்த்தூயோன்,
சு,சுடர்த்தென்னன்,
சு,சுடர்த்தென்றல்,
சு,சுடர்த்தேவன்,
சு,சுடர்த்தோன்றல்,
சு,சுடர்நம்பி,
சு,சுடர்நல்லோன்,
சு,சுடர்நாகன்,
சு,சுடர்நாடன்,
சு,சுடர்நிலவன்,
சு,சுடர்நெஞ்சன்,
சு,சுடர்நேயன்,
சு,சுடர்ப்பகலோன்,
சு,சுடர்ப்பரிதி,
சு,சுடர்ப்பாரி,
சு,சுடர்ப்பிறை,
சு,சுடர்ப்புகழன்,
சு,சுடர்ப்புலவன்,
சு,சுடர்மகன்,
சு,சுடர்மணி,
சு,சுடர்மதி,
சு,சுடர்மன்னன்,
சு,சுடர்மருகன்,
சு,சுடர்மருதன்,
சு,சுடர்மறவன்,
சு,சுடர்மலை,
சு,சுடர்மலையன்,
சு,சுடர்மல்லன்,
சு,சுடர்மள்ளன்,
சு,சுடர்மழவன்,
சு,சுடர்மாண்பன்,
சு,சுடர்மானன்,
சு,சுடர்மார்பன்,
சு,சுடர்மாறன்,
சு,சுடர்மின்னல்,
சு,சுடர்முகன்,
சு,சுடர்முடி,
சு,சுடர்முதல்வன்,
சு,சுடர்முத்தன்,
சு,சுடர்முத்து,
சு,சுடர்முனைவன்,
சு,சுடர்முரசு,
சு,சுடர்முருகன்,
சு,சுடர்முருகு,
சு,சுடர்முறுவல்,
சு,சுடர்முறையோன்,
சு,சுடர்மெய்யோன்,
சு,சுடர்யாழோன்,
சு,சுடர்வண்ணன்,
சு,சுடர்வளத்தன்,
சு,சுடர்வளவன்,
சு,சுடர்வள்ளல்,
சு,சுடர்வழுதி,
சு,சுடர்வாகை,
சு,சுடர்வாணன்,
சு,சுடர்வாள்,
சு,சுடர்விறலோன்,
சு,சுடர்விழியன்,
சு,சுடர்வீரன்,
சு,சுடர்வெற்பன்,
சு,சுடர்வெற்றி,
சு,சுடர்வேங்கை,
சு,சுடர்வேந்தன்,
சு,சுடர்வேலன்,
சு,சுடர்வேலோன்,
சு,சுடர்வேல்,
சு,சுடர்வேள்,
சு,சுனை," நீர்ச்சுனை"
சு,சுனையான்," நீர்ச்சுனையையுடையவன்"
