"தொடங்கும் எழுத்து",பெயர்,பொருள்
செ,செங்கணான்,
செ,செங்கண்ணன்,
செ,செங்கதிரண்ணல்,
செ,செங்கதிரன்பன்,
செ,செங்கதிரப்பன்,
செ,செங்கதிரமுதன்,
செ,செங்கதிரமுது,
செ,செங்கதிரரசன்,
செ,செங்கதிரரசு,
செ,செங்கதிரருவி,
செ,செங்கதிரழகன்,
செ,செங்கதிரழகு,
செ,செங்கதிரினியன்,
செ,செங்கதிரின்பன்,
செ,செங்கதிருழவன்,
செ,செங்கதிரூரன்,
செ,செங்கதிரெழினி,
செ,செங்கதிரெழிலன்,
செ,செங்கதிரேந்தல்,
செ,செங்கதிரோன்,
செ,செங்கதிர்,
செ,செங்கதிர்க்காரி,
செ,செங்கதிர்க்கிள்ளி,
செ,செங்கதிர்க்கிழான்,
செ,செங்கதிர்க்கீரன்,
செ,செங்கதிர்க்குன்றன்,
செ,செங்கதிர்க்குமரன்,
செ,செங்கதிர்க்குரிசில்,
செ,செங்கதிர்க்கூத்தன்,
செ,செங்கதிர்க்கேள்வன்,
செ,செங்கதிர்க்கோ,
செ,செங்கதிர்க்கோடன்,
செ,செங்கதிர்க்கோதை,
செ,செங்கதிர்க்கோன்,
செ,செங்கதிர்க்கோமான்,
செ,செங்கதிர்க்கோவன்,
செ,செங்கதிர்ச்சீரன்,
செ,செங்கதிர்ச்சீரோன்,
செ,செங்கதிர்ச்சுடர்,
செ,செங்கதிர்ச்சென்னி,
செ,செங்கதிர்ச்செம்மல்,
செ,செங்கதிர்ச்செல்வன்,
செ,செங்கதிர்ச்செழியன்,
செ,செங்கதிர்ச்சேந்தன்,
செ,செங்கதிர்ச்சேய்,
செ,செங்கதிர்ச்சேரன்,
செ,செங்கதிர்ச்சோலை,
செ,செங்கதிர்ச்சோழன்,
செ,செங்கதிர்த்தம்பி,
செ,செங்கதிர்த்தாரன்,
செ,செங்கதிர்த்தாரோன்,
செ,செங்கதிர்த்திருவன்,
செ,செங்கதிர்த்தென்னன்,
செ,செங்கதிர்த்தென்றல்,
செ,செங்கதிர்த்தேவன்,
செ,செங்கதிர்நம்பி,
செ,செங்கதிர்நாகன்,
செ,செங்கதிர்நாடன்,
செ,செங்கதிர்நிலவன்,
செ,செங்கதிர்நெஞ்சன்,
செ,செங்கதிர்நேயன்,
செ,செங்கதிர்ப்பரிதி,
செ,செங்கதிர்ப்பாரி,
செ,செங்கதிர்ப்பித்தன்,
செ,செங்கதிர்ப்பிறை,
செ,செங்கதிர்ப்பொழில்,
செ,செங்கதிர்மகன்,
செ,செங்கதிர்மணி,
செ,செங்கதிர்மதி,
செ,செங்கதிர்மன்னன்,
செ,செங்கதிர்மானன்,
செ,செங்கதிர்மாறன்,
செ,செங்கதிர்முடி,
