"தொடங்கும் எழுத்து",பெயர்,பொருள்
சொ,சொன்மணி,
சொ,சொன்மதி,
சொ,சொன்மலை,
சொ,சொன்மாண்பன்,
சொ,சொன்மாறன்,
சொ,சொன்முத்தன்,
சொ,சொன்முரசு,
சொ,சொற்கடல்,
சொ,சொற்கணை,
சொ,சொற்கதிர்,
சொ,சொற்கனல்,
சொ,சொற்கிள்ளி,
சொ,சொற்கிழான்,
சொ,சொற்கீரன்,
சொ,சொற்குன்றன்,
சொ,சொற்குரிசில்,
சொ,சொற்கோ,
சொ,சொற்கோடன்,
சொ,சொற்கோதை,
சொ,சொற்கோன்,
சொ,சொற்கோமான்,
சொ,சொற்கோவன்,
சொ,சொற்சுடர்,
சொ,சொற்செம்மல்,
சொ,சொற்செல்வன்,
சொ,சொற்சேந்தன்,
சொ,சொற்சோலை,
சொ,சொல்,மொழி
சொ,சொல்லன்பன்,
சொ,சொல்லரசன்,
சொ,சொல்லரசு,
சொ,சொல்லழகன்,
சொ,சொல்லாளன்,
சொ,சொல்லாழி,
சொ,சொல்லினியன்,
சொ,சொல்லின்பன்,
சொ,சொல்லேருழவன்,
சொ,சொல்லோவியன்,
சொ,சொல்வண்ணன்,
சொ,சொல்வரம்பன்,
சொ,சொல்வல்லோன்,
சொ,சொல்வளத்தன்,
சொ,சொல்வளவன்,
சொ,சொல்வள்ளல்,
சொ,சொல்வழுதி,
சொ,சொல்வாகை,
சொ,சொல்வாணன்,
சொ,சொல்வேங்கை,
சொ,சொல்வேந்தன்,
