"தொடங்கும் எழுத்து",பெயர்,பொருள்
சோ,சோர்விலான்,
சோ,சோர்வு,அயர்ச்சி
சோ,சோலை,
சோ,சோலைக்கதிர்,
சோ,சோலைக்கனி,
சோ,சோலைக்கிளி,
சோ,சோலைக்கிள்ளி,
சோ,சோலைக்கிழான்,
சோ,சோலைக்கீரன்,
சோ,சோலைக்குன்றன்,
சோ,சோலைக்குமரன்,
சோ,சோலைக்குயில்,
சோ,சோலைக்கூத்தன்,
சோ,சோலைக்கோடன்,
சோ,சோலைக்கோன்,
சோ,சோலைக்கோமான்,
சோ,சோலைக்கோவன்,
சோ,சோலைச்சுடர்,
சோ,சோலைச்செம்மல்,
சோ,சோலைத்தம்பி,
சோ,சோலைத்தென்றல்,
சோ,சோலைத்தேவன்,
சோ,சோலைநம்பி,
சோ,சோலைநாடன்,
சோ,சோலைநிலவன்,
சோ,சோலைநிலவு,
சோ,சோலைநெஞ்சன்,
சோ,சோலைநேயன்,
சோ,சோலைமணி,
சோ,சோலைமதி,
சோ,சோலைமறவன்,
சோ,சோலைமலை,
சோ,சோலைமாண்பன்,
சோ,சோலைமுத்தன்,
சோ,சோலைமுத்து,
சோ,சோலைமுருகன்,
சோ,சோலையன்,
சோ,சோலையப்பன்,
சோ,சோலையரசன்,
சோ,சோலையரசு,
சோ,சோலையூரன்,
சோ,சோலையொளி,
சோ,சோலைவண்ணன்,
சோ,சோலைவரம்பன்,
சோ,சோலைவளத்தன்,
சோ,சோலைவளவன்,
சோ,சோலைவள்ளல்,
சோ,சோலைவழுதி,
சோ,சோலைவாகை,
சோ,சோலைவாணன்,
சோ,சோலைவிழியன்,
சோ,சோலைவீரன்,
சோ,சோலைவென்றி,
சோ,சோலைவென்றியன்,
சோ,சோலைவெற்பன்,
சோ,சோலைவெற்றி,
சோ,சோலைவெற்றியன்,
சோ,சோலைவேங்கை,
சோ,சோலைவேந்தன்,
சோ,சோலைவேலன்,
சோ,சோலைவேலவன்,
சோ,சோலைவேலோன்,
சோ,சோலைவேல்,
சோ,சோலைவேளிர்,
சோ,சோலைவேள்,
சோ,சோழக்கடல்,
சோ,சோழக்கணை,
சோ,சோழக்கதிரன்,
சோ,சோழக்கதிரவன்,
சோ,சோழக்கதிர்,
சோ,சோழக்கூத்தன்,
சோ,சோழக்கேள்வன்,
சோ,சோழக்கொடி,
சோ,சோழக்கொன்றை,
சோ,சோழக்கொற்றன்,
சோ,சோழக்கொற்றவன்,
சோ,சோழக்கொழுந்து,
சோ,சோழக்கோ,
சோ,சோழக்கோடன்,
சோ,சோழக்கோதை,
சோ,சோழக்கோன்,
சோ,சோழக்கோமான்,
சோ,சோழக்கோவன்,
சோ,சோழச்சாந்து,
சோ,சோழச்சான்றோன்,
சோ,சோழச்சாரல்,
சோ,சோழச்சீரன்,
சோ,சோழச்சீராளன்,
சோ,சோழச்சீரோன்,
சோ,சோழச்சுடரோன்,
சோ,சோழச்சுடர்,
சோ,சோழச்சென்னி,
சோ,சோழச்செம்மல்,
சோ,சோழச்செல்வன்,
சோ,சோழச்சேந்தன்,
சோ,சோழச்சேய்,
சோ,சோழத்தகை,
சோ,சோழத்தகையன்,
சோ,சோழத்தங்கன்,
சோ,சோழத்தனையன்,
சோ,சோழத்தமிழன்,
சோ,சோழத்தமிழ்,
சோ,சோழத்தம்பி,
சோ,சோழத்தலைவன்,
சோ,சோழத்தானையன்,
சோ,சோழத்திண்ணன்,
சோ,சோழத்திருவன்,
சோ,சோழத்திறத்தன்,
சோ,சோழத்திறலோன்,
சோ,சோழத்திறல்,
சோ,சோழத்துணைவன்,
சோ,சோழத்தூயன்,
சோ,சோழத்தூயவன்,
சோ,சோழத்தூயோன்,
சோ,சோழத்தென்றல்,
சோ,சோழத்தேவன்,
சோ,சோழத்தோன்றல்,
சோ,சோழத்தோழன்,
சோ,சோழநன்னன்,
சோ,சோழநம்பி,
சோ,சோழநல்லன்,
சோ,சோழநல்லோன்,
சோ,சோழநாகன்,
சோ,சோழநாடன்,
சோ,சோழநிலவன்,
சோ,சோழநெஞ்சன்,
சோ,சோழநெறியன்,
சோ,சோழநேயன்,
சோ,சோழநேரியன்,
சோ,சோழன்,
சோ,சோழப்பரிதி,
சோ,சோழப்பாவலன்,
சோ,சோழப்பிறை,
சோ,சோழப்புகழன்,
சோ,சோழப்புகழோன்,
சோ,சோழப்புகழ்,
சோ,சோழப்புலவன்,
சோ,சோழப்பூவன்,
சோ,சோழப்பொருநன்,
சோ,சோழப்பொருப்பன்,
சோ,சோழப்பொழிலன்,
சோ,சோழப்பொழில்,
சோ,சோழப்போரோன்,
சோ,சோழப்போர்,
சோ,சோழமகன்,
சோ,சோழமணி,
சோ,சோழமதி,
சோ,சோழமன்னன்,
சோ,சோழமருகன்,
சோ,சோழமருதன்,
சோ,சோழமறவன்,
சோ,சோழமலை,
சோ,சோழமலையன்,
சோ,சோழமல்லன்,
சோ,சோழமள்ளன்,
சோ,சோழமழவன்,
சோ,சோழமாண்பன்,
சோ,சோழமானன்,
சோ,சோழமான்,
சோ,சோழமார்பன்,
சோ,சோழமுகிலன்,
சோ,சோழமுடி,
சோ,சோழமுதல்வன்,
சோ,சோழமுத்தன்,
சோ,சோழமுத்து,
சோ,சோழமுனைவன்,
சோ,சோழமுரசு,
சோ,சோழமுருகன்,
சோ,சோழமுருகு,
சோ,சோழமுறுவல்,
சோ,சோழமெய்யன்,
சோ,சோழமேழி,
சோ,சோழமைந்தன்,
சோ,சோழமொழி,
சோ,சோழயாழோன்,
சோ,சோழவமுதன்,
சோ,சோழவமுது,
சோ,சோழவரசன்,
சோ,சோழவரசு,
சோ,சோழவரம்பன்,
சோ,சோழவளத்தன்,
சோ,சோழவளநாடன்,
சோ,சோழவளவன்,
சோ,சோழவள்ளல்,
சோ,சோழவழகன்,
சோ,சோழவழகு,
சோ,சோழவாகை,
சோ,சோழவாணன்,
சோ,சோழவாழி,
சோ,சோழவினியன்,
சோ,சோழவின்பன்,
சோ,சோழவிறலன்,
சோ,சோழவிறலோன்,
சோ,சோழவிறல்,
சோ,சோழவில்லோன்,
சோ,சோழவீரன்,
சோ,சோழவுழவன்,
சோ,சோழவூரன்,
சோ,சோழவூரான்,
சோ,சோழவூரோன்,
சோ,சோழவெற்பன்,
சோ,சோழவெழினி,
சோ,சோழவெழிலன்,
சோ,சோழவெழிலோன்,
சோ,சோழவேங்கை,
சோ,சோழவேந்தன்,
சோ,சோழவேரன்,
சோ,சோழவேலன்,
சோ,சோழவேலவன்,
சோ,சோழவேலோன்,
சோ,சோழவேல்,
சோ,சோழவேள்,
