"தொடங்கும் எழுத்து",பெயர்,பொருள்
தா,தானை,
தா,தானைக்கடல்,
தா,தானைக்கனல்,
தா,தானைக்கலை,
தா,தானைக்குன்றன்,
தா,தானைக்குமரன்,
தா,தானைக்கோ,
தா,தானைக்கோன்,
தா,தானைக்கோவன்,
தா,தானைச்செல்வன்,
தா,தானைத்தம்பி,
தா,தானைத்தலைவன்,
தா,தானைத்திண்ணன்,
தா,தானைத்திருவன்,
தா,தானைத்திறலோன்,
தா,தானைத்திறல்,
தா,தானைத்துரை,
தா,தானைத்தேவன்,
தா,தானைநம்பி,
தா,தானைநாடன்,
தா,தானைப்பொருநன்,
தா,தானைமன்னன்,
தா,தானைமறவன்,
தா,தானைமல்லன்,
தா,தானைமானன்,
தா,தானைமுரசு,
தா,தானையஞ்சான்,
தா,தானையன்," படையுடையவன்"
தா,தானைவீரன்,
தா,தானைவேங்கை,
தா,தானைவேந்தன்,
தா,தானைவேலன்,
தா,தானைவேல்,
தா,தாமரை,
தா,தாமரைக்கண்ணன்,
தா,தாமரைக்கொடி,
தா,தாமரைக்கோ,
தா,தாமரைக்கோன்,
தா,தாமரைச்சீரன்,
தா,தாமரைச்சுடர்,
தா,தாமரைச்செம்மல்,
தா,தாமரைச்செல்வன்,
தா,தாமரைச்சேய்,
தா,தாமரைத்தம்பி,
தா,தாமரைத்திருவன்,
தா,தாமரைத்திறலோன்,
தா,தாமரைத்திறல்,
தா,தாமரைத்தேவன்,
தா,தாமரைத்தோன்றல்,
தா,தாமரைநம்பி,
தா,தாமரைநாடன்,
தா,தாமரைநெஞ்சன்,
தா,தாமரைநேயன்,
தா,தாமரைப்புலவன்,
தா,தாமரைமணாளன்,
தா,தாமரையரசன்,
தா,தாமரையறிஞன்,
தா,தாமரையறிவன்,
தா,தாமரையறிவு,
தா,தாமரையழகன்,
தா,தாமரையான்,
தா,தாமரையாளன்,
தா,தாமரையெழிலன்,
தா,தாமரையெழிலோன்,
தா,தாமரைவண்ணன்,
தா,தாமரைவல்லோன்,
தா,தாயன்பன்,
தா,தாயப்பன்,
தா,தாயமுதன்,
தா,தாயினியன்,
தா,தாய்,"அன்னை, முதன்மை"
தா,தாய்த்தமிழ்,
தா,தாய்நாடன்,
தா,தாய்நெஞ்சன்,
தா,தாய்நேயன்,
தா,தாய்மாண்பன்,
தா,தாய்மொழி,
தா,தாரான்,
தா,தாரோன்,
தா,தார்,
தா,தார்சூடி,
தா,தார்நாடன்,
தா,தார்நெஞ்சன்,
தா,தார்மணி,
தா,தார்மன்னன்,
தா,தார்மார்பன்,
தா,தார்முத்தன்,
தா,தார்முத்து,
தா,தார்வண்ணன்,
தா,தார்விறல்,
தா,தார்வீரன்,
தா,தார்வேங்கை,
தா,தார்வேந்தன்,
தா,தாளன்,
தா,தாளாற்றல்,
தா,தாளாளன்,
தா,தாளுடையான்,
தா,தாள்,"முயற்சி, கால்"
தா,தாள்விறல்,
தா,தாள்வீரன்,
தா,தாள்வேங்கை,
தா,தாள்வேந்தன்,
தா,தாள்வேலன்,
தா,தாள்வேல்,
தா,தாழம்பூவன்,
தா,தாழை,
தா,தாழைத்தாரான்,
தா,தாழைத்தாரோன்,
தா,தாழைத்தென்றல்,
தா,தாழைநெஞ்சன்,
தா,தாழைநேயன்,
தா,தாழைப்பொழிலன்,
தா,தாழைப்பொழில்,
தா,தாழைமார்பன்,
தா,தாழையூரான்,
தா,தாழைவண்ணன்,
