"தொடங்கும் எழுத்து",பெயர்,பொருள்
து,துடி,
து,துடியன்,
து,துணிவரன்,
து,துணிவாளன்,
து,துணிவு,
து,துணை,
து,துணைவன்,
து,"துய்ய தூய்மை","மென்மை, களங்கமின்மை"
து,துய்யன்,
து,துய்யவன்,
து,துய்யோன்,
து,துரை,
து,துரைக்கண்ணன்,
து,துரைக்கண்ணு,
து,துரைச்செல்வன்,
து,துரைத்தம்பி,
து,துரைத்தேவன்,
து,துரைநம்பி,
து,துரைநாகன்,
து,துரைநெஞ்சன்,
து,துரைப்பாண்டியன்,
து,துரைமகன்,
து,துரைமணி,
து,துரைமருகன்,
து,துரைமாறன்,
து,துரைமுருகன்,
து,துரைமுருகு,
து,துரையப்பன்,
து,துரையப்பா,
து,துரையரசன்,
து,துரையரசு,
து,துரையழகன்,
து,துரையெழிலன்,
து,துரையெழில்,
து,துரைவண்ணன்,
து,துரைவள்ளல்,
து,துரைவீரன்,
து,துரைவேந்தன்,
து,துரைவேலன்,
து,துரைவேலோன்,
து,துரைவேல்,
து,துறை,
து,துறைத்தலைவன்,
து,துறைத்திறத்தன்,
து,துறைத்திறலோன்,
து,துறைத்திறல்,
து,துறைமணி,
து,துறைமுத்தன்,
து,துறைமுத்து,
து,துறையூரன்,
து,துறையோன்,
து,துறைவன்,
து,துறைவாணன்,
