"தொடங்கும் எழுத்து",பெயர்,பொருள்
தே,தேக்கு,
தே,தேக்குநாடன்,
தே,தேக்கூரன்,
தே,தேனமுதன்,
தே,தேனமுது,
தே,தேனருவி,
தே,தேனாடன்,
தே,தேனினியன்,
தே,தேனின்பன்,
தே,தேனிலவன்,
தே,தேனூரன்,
தே,தேன்,தேறல்
தே,தேன்குன்றன்,
தே,தேன்சுனை,
தே,தேன்பொழிலன்,
தே,தேன்மலை,
தே,தேன்மொழியன்,
தே,தேன்றமிழன்,
தே,தேறனிலவன்,
தே,தேறன்மொழி,
தே,தேறற்குன்றன்,
தே,தேறலமுதன்,
தே,தேறலமுது,
தே,தேறலருவி,
தே,தேறலூரன்,
தே,தேறல்,தேன்
தே,தேவநம்பி,
தே,தேவநாகன்,
தே,தேவநாடன்,
தே,தேவநெஞ்சன்,
தே,தேவநெறியன்,
தே,தேவநேயன்,
தே,தேவநேரியன்,
தே,தேவன்,
தே,தேவமகன்,
தே,தேவமணி,
தே,தேவமதி,
தே,தேவமருகன்,
தே,தேவமருதன்,
தே,தேவமலை,
தே,தேவமலையன்,
தே,தேவமலையோன்,
தே,தேவமாண்பன்,
தே,தேவமார்பன்,
தே,தேவமுதல்வன்,
தே,தேவமுத்தன்,
தே,தேவமுத்து,
தே,தேவமுரசு,
தே,தேவமைந்தன்,
தே,தேவயாழோன்,
தே,தேவவாணன்,
