"தொடங்கும் எழுத்து",பெயர்,பொருள்
ந,நகை,"புன்னகை, அணி, மகிழ்ச்சி"
ந,நகைக்கூத்தன்,
ந,நகைநெஞ்சன்,
ந,நகைநேயன்,
ந,நகைப்பொழிலன்,
ந,நகைப்பொழில்,
ந,நகைமணி,
ந,நகைமன்னன்,
ந,நகைமார்பன்,
ந,நகைமுகன்,
ந,நகைமுத்தன்,
ந,நகையன்,
ந,நகையழகன்,
ந,நகையெழிலன்,
ந,நகையெழிலோன்,
ந,நகையொளி,
ந,நகைவண்ணன்,
ந,நகைவாணன்,
ந,நக்கீரன்,
ந,நக்கீரர்,
ந,நச்சினார்க்கினியன்,
ந,நச்சினார்க்கினியர்,
ந,நச்சு,விருப்பம்
ந,நஞ்சப்பன்,
ந,நஞ்சு,கடு
ந,நஞ்சுண்டான்,
ந,நடவரசன்,
ந,நடு,"நடுவண், முறைமை"
ந,நடுநாடன்,
ந,நடுநெஞ்சன்,
ந,நடுமகன்,
ந,நடுமைந்தன்,
ந,நடுவ10ரன்,
ந,நடுவாளன்,
ந,நடுவாளி,
ந,நடை,"ஒழுக்கம், கூத்து"
ந,நடைக்குன்றன்,
ந,நடைக்குமரன்,
ந,நடைக்குரிசில்,
ந,நடைக்கோடன்,
ந,நடைச்செல்வன்,
ந,நடைத்தகை,
ந,நடைத்தகையன்,
ந,நடைத்திறலோன்,
ந,நடைத்திறல்,
ந,நடைத்தேவன்,
ந,நடைமணி,
ந,நடைமதி,
ந,நடைமாண்பன்,
ந,நடையழகன்,
ந,நடையெழினி,
ந,நடையெழிலன்,
ந,நடையெழிலோன்,
ந,நடைவண்ணன்,
ந,நடைவலவன்,
ந,நடைவளத்தன்,
ந,நடைவளவன்,
ந,நடைவாணன்,
ந,நடைவெற்பன்,
ந,நடைவேந்தன்,
ந,நந்தன்,
ந,நன்னன்,
ந,நன்னாகன்,
ந,நன்னாடன்,
ந,நன்னி,
ந,நன்னிலவன்,
ந,நன்னெஞ்சன்,
ந,நன்னை,
ந,நன்மணி,
ந,நன்மதி,
ந,நன்மானன்,
ந,நன்மார்பன்,
ந,நன்மாறன்,
ந,நன்முகன்,
ந,நன்முத்தன்,
ந,நன்முரசு,
ந,நன்முறையோன்,
ந,நன்மை,நலம்
ந,நன்மையன்,
ந,நம்பி,
ந,நம்பிக்குமரன்,
ந,நம்பித்தேவன்,
ந,நம்பிநாடன்,
ந,நம்பிமகன்,
ந,நம்பிமறவன்,
ந,நம்பிமல்லன்,
ந,நம்பிமாறன்,
ந,நம்பிமைந்தன்,
ந,நம்பியப்பன்,
ந,நம்பியரசன்,
ந,நம்பியரசு,
ந,நம்பியழகன்,
ந,நம்பியாண்டான்,
ந,நம்பியூரான்,
ந,நம்பியெழிலன்,
ந,நம்பிவழுதி,
ந,நம்பிவேந்தன்,
ந,நரப்பன்,
ந,நறுங்கடல்,
ந,நறுங்குன்றன்,
ந,நறுஞ்சுடர்,
ந,நறுஞ்சோலை,
ந,நறுநேயன்,
ந,நறுந்தமிழ்,
ந,நறுந்தென்றல்,
ந,நறுமணி,
ந,நறுமலையன்,
ந,நறுமுத்தன்,
ந,நறுமுத்து,
ந,நறுமை,"மணம், நன்மை"
ந,நறுமொழி,
ந,நறும்பொழில்,
ந,நற்கிள்ளி,
ந,நற்குன்றன்,
ந,நற்குமரன்,
ந,நற்கோதை,
ந,நற்சுடரோன்,
ந,நற்சுடர்,
ந,நற்சென்னி,
ந,நற்செழியன்,
ந,நற்சேந்தன்,
ந,நற்சோலை,
ந,நற்புகழன்,
ந,நற்பொழிலன்,
ந,நற்றமிழரசன்,
ந,நற்றமிழரசு,
ந,நலங்கிள்ளி,
ந,நல்லகண்ணு,
ந,நல்லதம்பி,
ந,நல்லநம்பி,
ந,நல்லன்,
ந,நல்லன்பன்,
ந,நல்லபெருமான்,
ந,நல்லப்பன்,
ந,நல்லமுதன்,
ந,நல்லமுத்து,
ந,நல்லரசன்,
ந,நல்லரசு,
ந,நல்லருவி,
ந,நல்லறிஞன்,
ந,நல்லறிவன்,
ந,நல்லழகன்,
ந,நல்லவன்,
ந,நல்லாற்றல்,
ந,நல்லிசை,
ந,நல்லின்பன்,
ந,நல்லுருவன்,
ந,நல்லூரன்,
ந,நல்லெழிலன்,
ந,நல்லோன்," நல்லவன்"
ந,நல்வீரன்,
ந,நல்வேலன்,
ந,நல்வேலோன்,
ந,நல்வேள்,
ந,நவிலன்,
