"தொடங்கும் எழுத்து",பெயர்,பொருள்
நா,நா,பேச்சு
நா,நாகக்கணை,
நா,நாகக்கோன்,
நா,நாகதேவன்,
நா,நாகநம்பி,
நா,நாகநாடன்,
நா,நாகநாதன்,
நா,நாகநாதர்,
நா,நாகனார்,
நா,நாகன்,
நா,நாகப்பன்,
நா,நாகமணி,
நா,நாகமன்னன்,
நா,நாகமலை,
நா,நாகமலையன்,
நா,நாகமுத்தன்,
நா,நாகமுத்து,
நா,நாகம்,அரவு
நா,நாகரசன்,
நா,நாகவ10ரன்,
நா,நாகவேந்தன்,
நா,நாகையன்,
நா,நாகையா,
நா,நாச்சி,தலைவி
நா,நாச்சிமுத்தன்,
நா,நாச்சிமுத்து,
நா,நாச்சியப்பன்,
நா,நாடனம்பி,
நா,நாடனேயன்,
நா,நாடன்," நாட்டையுடையவன, நாட்டைச்சார்ந்தவன்"
நா,நாடன்மகன்,
நா,நாடன்மணி,
நா,நாடன்மலை,
நா,நாடற்பித்தன்,
நா,நாடற்புலவன்,
நா,நாடற்பொழில்,
நா,நாடலப்பன்,
நா,நாடலரசன்,
நா,நாடல்,ஆராய்ச்சி
நா,நானாடன்,
நா,நானாட்டான்,
நா,நான்கு,ஓரெண்
நா,நான்மணி,
நா,நாவண்ணன்,
நா,நாவண்ணல்,
நா,நாவனாடன்,
நா,நாவன்," நாவில் வல்லவன், சொல்வன்மையுடையவன்"
நா,நாவரசன்,
நா,நாவரசு,
நா,நாவற்காடன்,
நா,நாவலன்,
நா,நாவலமுதன்,
நா,நாவலமுது,
நா,நாவலினியன்,
நா,நாவலூரன்,
நா,நாவல்,மரம்
நா,நாவளத்தன்,
நா,நாவளவன்,
நா,நாவாணன்,
நா,நாவுக்கரசன்,
நா,நாவுக்கரசர்,
நா,நாவுக்கரசு,
நா,நாவேந்தன்,
