"தொடங்கும் எழுத்து",பெயர்,பொருள்
நி,நிகரிலாத்திறல்,
நி,நிகரிலாத்துரை,
நி,நிகரிலாத்தேவன்,
நி,நிகரிலாநம்பி,
நி,நிகரிலாநாடன்,
நி,நிகரிலாநெஞ்சன்,
நி,நிகரிலாநெறியன்,
நி,நிகரிலாநேயன்,
நி,நிகரிலான்,
நி,நிகரிலாமகன்,
நி,நிகரிலாமணி,
நி,நிகரிலாமதி,
நி,நிகரிலாமுகன்,
நி,நிகரிலாமுடி,
நி,நிகரிலாமுத்து,
நி,நிகரிலாமுரசு,
நி,நிகரிலாமுருகு,
நி,நிகரிலாமைந்தன்,
நி,நிகரிலாமொழி,
நி,நிகரிலாவண்ணன்,
நி,நிகரிலாவலவன்,
நி,நிகரிலாவளத்தன்,
நி,நிகரிலாவீரன்,
நி,நிகரிலாவேந்தன்,
நி,நிகரில்கோதை,
நி,நிகரில்கோன்,
நி,நிகரில்கோமான்,
நி,நிகரில்சுடர்,
நி,நிகரில்செம்மல்,
நி,நிகர்,"ஒப்பு, உவமை சமன், போர்"
நி,நித்திலன்,முத்து
நி,நிறை,"நிறைவு, எடை"
நி,நிறைநம்பி,
நி,நிறைநாடன்,
நி,நிறைநிலவன்,
நி,நிறைநெஞ்சன்,
நி,நிறைபுகழன்,
நி,நிறைமதி,
நி,நிறையின்பன்,
நி,நிறையெழிலன்,
நி,நிறைவளத்தன்,
நி,நிறைவாற்றல்,
நி,நிலக்கிழான்,
நி,நிலக்குடிமகன்,
நி,நிலக்குமரன்,
நி,நிலக்குரிசில்,
நி,நிலக்கேள்வன்,
நி,நிலச்செம்மல்,
நி,நிலச்செல்வன்,
நி,நிலத்தகை,
நி,நிலத்தகையன்,
நி,நிலத்தனையன்,
நி,நிலத்தானையன்,
நி,நிலத்திருவன்,
நி,நிலத்துரை,
நி,நிலத்தூயன்,
நி,நிலத்தூயவன்,
நி,நிலத்தூயோன்,
நி,நிலத்தேவன்,
நி,நிலநன்னன்,
நி,நிலநம்பி,
நி,நிலநல்லன்,
நி,நிலநல்லோன்,
நி,நிலநாகன்,
நி,நிலநாடன்,
நி,நிலநெஞ்சன்,
நி,நிலநெடியோன்,
நி,நிலநெறியன்,
நி,நிலநேயன்,
நி,நிலநேரியன்,
நி,நிலப்பகலோன்,
நி,நிலப்பரிதி,
நி,நிலப்பித்தன்,
நி,நிலப்பிறை,
நி,நிலப்புகழன்,
நி,நிலப்புகழோன்,
நி,நிலப்புகழ்,
நி,நிலப்பெரியன்,
நி,நிலப்பொறை,
நி,நிலப்பொறையன்,
நி,நிலமகன்,
நி,நிலமணி,
நி,நிலமதி,
நி,நிலமன்னன்,
நி,நிலமருகன்,
நி,நிலமாண்பன்,
நி,நிலமானன்,
நி,நிலமார்பன்,
நி,நிலமுதல்வன்,
நி,நிலமுத்தன்,
நி,நிலமுத்து,
நி,நிலமுறையோன்,
நி,நிலமேழி,
நி,நிலமைந்தன்,
நி,நிலம்,"மண், உலகு, இடம்"
நி,நிலவண்ணன்,
நி,நிலவன்,
நி,நிலவன்பன்,
நி,நிலவரசன்,
நி,நிலவளவன்,
நி,நிலவழகன்,
நி,நிலவவூரன்,
நி,நிலவாணன்,
நி,நிலவினியன்,
நி,நிலவு,திங்கள்
நி,நிலவெழிலன்,
நி,நிலவேங்கை,
நி,நிலவேந்தன்,
நி,நிலவேந்தி,
நி,நிலவொளி,
நி,நிலாவன்,
நி,நிலாவாணன்,
நி,நிலை,நிற்றல்
நி,நிலைச்சுடர்,
நி,நிலைநெஞ்சன்,
நி,நிலையரசு,
நி,நிலையாற்றல்,
நி,நிலையொளி,
