"தொடங்கும் எழுத்து",பெயர்,பொருள்
நெ,நெஞ்சநேயன்,
நெ,நெஞ்சன்,
நெ,நெஞ்சு,மனம்
நெ,நெடியவன்,
நெ,நெடியோன்,
நெ,நெடுங்கடல்,
நெ,நெடுங்கண்ணன்,
நெ,நெடுங்கிள்ளி,
நெ,நெடுங்கீரன்,
நெ,நெடுங்குன்றன்,
நெ,நெடுங்குமரன்,
நெ,நெடுங்கோ,
நெ,நெடுங்கோன்,
நெ,நெடுஞ்சுடரோன்,
நெ,நெடுஞ்சுடர்,
நெ,நெடுஞ்சென்னி,
நெ,நெடுஞ்செழியன்,
நெ,நெடுஞ்சேரன்,
நெ,நெடுஞ்சேரலாதன்,
நெ,நெடுந்திரையன்,
நெ,நெடுமணி,
நெ,நெடுமதி,
நெ,நெடுமலை,
நெ,நெடுமல்லன்,
நெ,நெடுமானஞ்சி,
நெ,நெடுமான்,
நெ,நெடுமாறன்,
நெ,நெடுமாலவன்,
நெ,நெடுமால்,
நெ,நெடுமுரசு,
நெ,நெடுமை,"நீட்சி, உயர்வு"
நெ,நெடுமொழி,
நெ,நெடும்படை,
நெ,நெடும்பரிதி,
நெ,நெடும்பிறை,
நெ,நெடும்புகழன்,
நெ,நெடுவழுதி,
நெ,நெடுவானம்,
நெ,நெடுவேங்கை,
நெ,நெடுவேலன்,
நெ,நெடுவேலோன்,
நெ,நெடுவேல்,
நெ,நெடுவேள்,
நெ,நென்னாடன்,
நெ,நென்மணி,
நெ,நென்மலை,
நெ,நென்முத்து,
நெ,நெயதற்சுடரோன்,
நெ,நெய்தனம்பி,
நெ,நெய்தனாடன்,
நெ,நெய்தனேயன்,
நெ,நெய்தற்காவலன்,
நெ,நெய்தற்கிழான்,
நெ,நெய்தற்குன்றன்,
நெ,நெய்தற்குமரன்,
நெ,நெய்தற்கோ,
நெ,நெய்தற்கோடன்,
நெ,நெய்தற்கோன்,
நெ,நெய்தற்கோமான்,
நெ,நெய்தற்கோவன்,
நெ,நெய்தற்சுடர்,
நெ,நெய்தற்செம்மல்,
நெ,நெய்தற்செல்வன்,
நெ,நெய்தற்சேய்,
நெ,நெய்தற்புகழன்,
நெ,நெய்தற்புலவன்,
நெ,நெய்தலண்ணல்,
நெ,நெய்தலன்பன்,
நெ,நெய்தலப்பன்,
நெ,நெய்தலமுதன்,
நெ,நெய்தலரசன்,
நெ,நெய்தலறிஞன்,
நெ,நெய்தலழகன்,
நெ,நெய்தலாற்றலன்,
நெ,நெய்தலாளன்,
நெ,நெய்தலினியன்,
நெ,நெய்தலூரன்,
நெ,நெய்தலெழினி,
நெ,நெய்தலெழிலன்,
நெ,நெய்தலெழிலோன்,
நெ,நெய்தலேந்தல்,
நெ,நெய்தலையன்,
நெ,நெய்தலொளி,
நெ,நெய்தல்,"நெய்தல் நிலம், பின்னுதல்"
நெ,நெய்தல்வண்ணன்,
நெ,நெய்தல்வலவன்,
நெ,நெய்தல்வளத்தன்,
நெ,நெய்தல்வாணன்,
நெ,நெய்தல்வீரன்,
நெ,நெய்தல்வேங்கை,
நெ,நெய்தல்வேந்தன்,
நெ,நெய்தல்வேலன்,
நெ,நெறி,
நெ,நெறிக்குன்றன்,
நெ,நெறிக்குமரன்,
நெ,நெறிக்கோதை,
நெ,நெறிக்கோமான்,
நெ,நெறிக்கோவன்,
நெ,நெறிச்சுடரோன்,
நெ,நெறிச்சுடர்,
நெ,நெறிச்செம்மல்,
நெ,நெறித்தகை,
நெ,நெறித்தகையன்,
நெ,நெறிநாடன்,
நெ,நெறிநாவன்,
நெ,நெறிநெஞ்சன்,
நெ,நெறிமணி,
நெ,நெறிமதி,
நெ,நெறிமலை,
நெ,நெறிமாண்பன்,
நெ,நெறிமார்பன்,
நெ,நெறிமுதல்வன்,
நெ,நெறிமுறையன்,
நெ,நெறிமைந்தன்,
நெ,நெறிமொழி,
நெ,நெறிய10ரன்,
நெ,நெறியன்,
நெ,நெறியமுதன்,
நெ,நெறியழகன்,
நெ,நெறியினியன்,
நெ,நெறியெழிலன்,
நெ,நெறிவாணன்,
நெ,நெறிவிளம்பி,
நெ,நெறிவீரன்,
நெ,நெறிவேந்தன்,
நெ,நெற்கடல்,
நெ,நெற்கதிர்,
நெ,நெற்கிழான்,
நெ,நெற்குன்றன்,
நெ,நெற்பொழில்,
நெ,நெல்,ஒருவகைக்கூலம்
நெ,நெல்வளத்தன்,
