"தொடங்கும் எழுத்து",பெயர்,பொருள்
நே,நேயக்கடல்,
நே,நேயக்கண்ணன்,
நே,நேயக்கதிரன்,
நே,நேயக்கதிரோன்,
நே,நேயக்கதிர்,
நே,நேயக்கனி,
நே,நேயக்குமரன்,
நே,நேயக்குரிசில்,
நே,நேயக்கூத்தன்,
நே,நேயச்சுடரோன்,
நே,நேயச்சுடர்,
நே,நேயச்சுனை,
நே,நேயச்சுனையான்,
நே,நேயச்செம்மல்,
நே,நேயச்செல்வன்,
நே,நேயத்தமிழன்,
நே,நேயத்தமிழ்,
நே,நேயத்தம்பி,
நே,நேயநாவன்,
நே,நேயநிலவன்,
நே,நேயநெஞ்சன்,
நே,நேயநெறியன்,
நே,நேயன்,
நே,நேயப்பரிதி,
நே,நேயப்பொறை,
நே,நேயப்பொறையன்,
நே,நேயமணி,
நே,நேயமதி,
நே,நேயமன்னன்,
நே,நேயமருதன்,
நே,நேயமறவன்,
நே,நேயமலை,
நே,நேயமலையன்,
நே,நேயமலையோன்,
நே,நேயமாண்பன்,
நே,நேயமானன்,
நே,நேயமார்பன்,
நே,நேயமாறன்,
நே,நேயமுதல்வன்,
நே,நேயமுத்தன்,
நே,நேயமுத்து,
நே,நேயமுரசு,
நே,நேயமுருகன்,
நே,நேயமுருகு,
நே,நேயமைந்தன்,
நே,நேயமொழி,
நே,நேயம்,அன்பு
நே,நேயவண்ணன்,
நே,நேயவளத்தன்,
நே,நேயவளவன்,
நே,நேயவள்ளல்,
நே,நேயவாகை,
நே,நேயவாணன்,
நே,நேயவிழியன்,
நே,நேயவீரன்,
நே,நேயவெற்பன்,
நே,நேயவேங்கை,
நே,நேயவேந்தன்,
நே,நேரப்பன்,
நே,நேரியன்,
நே,நேர்நெஞ்சன்,
நே,நேர்மை,
நே,நேர்மையன்,
நே,நேர்விழியன்,
நே,நேர்வேல்,
