"தொடங்கும் எழுத்து",பெயர்,பொருள்
நொ,நொச்சி,"ஒருசிற்றூர், ஒருசெடி"
நொ,நொச்சிக்கண்ணன்,
நொ,நொச்சிக்கதிர்,
நொ,நொச்சிக்காடன்,
நொ,நொச்சிக்காவலன்,
நொ,நொச்சிக்கிழான்,
நொ,நொச்சிக்குன்றன்,
நொ,நொச்சிக்குமரன்,
நொ,நொச்சிக்கூத்தன்,
நொ,நொச்சிக்கோடன்,
நொ,நொச்சிக்கோதை,
நொ,நொச்சிக்கோன்,
நொ,நொச்சிக்கோமான்,
நொ,நொச்சிச்செம்மல்,
நொ,நொச்சிச்செல்வன்,
நொ,நொச்சித்தங்கன்,
நொ,நொச்சித்தம்பி,
நொ,நொச்சித்துரை,
நொ,நொச்சித்தேவன்,
நொ,நொச்சிநம்பி,
நொ,நொச்சிநாடன்,
நொ,நொச்சிநேயன்,
நொ,நொச்சிப்புலவன்,
நொ,நொச்சிப்பொழிலன்,
நொ,நொச்சிப்பொழில்,
நொ,நொச்சிமணி,
நொ,நொச்சிமதி,
நொ,நொச்சிமன்னன்,
நொ,நொச்சிமருதன்,
நொ,நொச்சிமறவன்,
நொ,நொச்சிமலை,
நொ,நொச்சிமுதல்வன்,
நொ,நொச்சிமுத்து,
நொ,நொச்சிமுரசு,
நொ,நொச்சிமுருகன்,
நொ,நொச்சிமுருகு,
நொ,நொச்சிமைந்தன்,
நொ,நொச்சிவண்ணன்,
நொ,நொச்சிவலவன்,
நொ,நொச்சிவளத்தன்,
நொ,நொச்சிவளவன்,
நொ,நொச்சிவள்ளல்,
நொ,நொச்சிவாணன்,
நொ,நொச்சிவிறல்,
நொ,நொச்சிவீரன்,
நொ,நொச்சிவெற்பன்,
நொ,நொச்சிவேங்கை,
நொ,நொச்சிவேந்தன்,
நொ,நொச்சிவேலன்,
நொ,நொச்சிவேள்,
