"தொடங்கும் எழுத்து",பெயர்,பொருள்
ப,பகலவன்,
ப,பகலோன்,
ப,பகல்,ஒளி
ப,பகை,"வெறுப்பு, எதிர்ப்பு, தீங்கு"
ப,பகையஞ்சான்,
ப,பங்காளன்,
ப,பங்கு,"கூறு, பகுதி"
ப,பசுங்குன்றன்,
ப,பசுந்தென்றல்,
ப,பசுமை,"குளிர்ச்சி, செழிப்பு"
ப,பசுமையன்,
ப,பசும்பொழில்,
ப,பச்சைமணி,
ப,பச்சைமலை,
ப,பச்சைமால்,
ப,பச்சைமுத்து,
ப,பச்சையப்பன்,
ப,பச்சையப்பா,
ப,படகு,ஓடம்
ப,படகுத்திறல்,
ப,படகுத்துறையன்,
ப,படகுத்தேவன்,
ப,படகூரன்,
ப,படரருவி,
ப,படரலை,
ப,படரொலி,
ப,படரொளி,
ப,படரொளியன்,
ப,படர்,பரவுகை
ப,படை,"போர்க்கருவி, போரணி"
ப,படைகுரிசில்,
ப,படைக்கணை,
ப,படைக்கிள்ளி,
ப,படைக்குமரன்,
ப,படைக்கொடி,
ப,படைக்கோன்,
ப,படைச்செழியன்,
ப,படைத்தகை,
ப,படைத்தகையன்,
ப,படைத்தலைவன்,
ப,படைத்திறலோன்,
ப,படைத்திறல்,
ப,படைத்தென்னன்,
ப,படைத்தேவன்,
ப,படைநாடன்,
ப,படையேந்தி,
ப,படைவழுதி,
ப,படைவாணன்,
ப,படைவாளன்,
ப,படைவீரன்,
ப,படைவேங்கை,
ப,படைவேந்தன்,
ப,படைவேலன்,
ப,படைவேலோன்,
ப,பணி,"கடமை, தொழில்"
ப,பணிச்சுடர்,
ப,பணிச்செம்மல்,
ப,பணிச்செல்வன்,
ப,பணித்தகை,
ப,பணித்தகையன்,
ப,பணித்திறலோன்,
ப,பணித்திறல்,
ப,பணித்துரை,
ப,பணித்தேவன்,
ப,பணிநெஞ்சன்,
ப,பணிமாறன்,
ப,பணிமொழி,
ப,பணியாளன்,
ப,பணியாழி,
ப,பணிவன்,
ப,பணிவன்பன்,
ப,பணிவழுதி,
ப,பணிவாளன்,
ப,பண்,இசை
ப,பண்டை,பழைமை
ப,பண்டைநாடன்,
ப,பண்டைமணி,
ப,பண்டைமுரசு,
ப,பண்டைமொழி,
ப,பண்டைய10ரன்,
ப,பண்ணன்,
ப,பண்ணன்பன்,
ப,பண்ணமுதன்,
ப,பண்ணரசன்,
ப,பண்ணரசு,
ப,பண்ணருவி,
ப,பண்ணறிஞன்,
ப,பண்ணறிவன்,
ப,பண்ணாடன்,
ப,பண்ணாளன்,
ப,பண்ணாழி,
ப,பண்ணிசை,
ப,பண்ணினியன்,
ப,பண்ணின்பன்,
ப,பண்ணெஞ்சன்,
ப,பண்ணேயன்,
ப,பண்பகன்,
ப,பண்பண்ணல்,
ப,பண்பமுதன்,
ப,பண்பமுது,
ப,பண்பரசன்,
ப,பண்பரசு,
ப,பண்பரியன்,
ப,பண்பருவி,
ப,பண்பறவன்,
ப,பண்பறவோன்,
ப,பண்பறிஞன்,
ப,பண்பறிவன்,
ப,பண்பறிவு,
ப,பண்பழகன்,
ப,பண்பழகு,
ப,பண்பாற்றலன்,
ப,பண்பாற்றல்,
ப,பண்பாளன்,
ப,பண்பாளி,
ப,பண்பாழி,
ப,பண்பு,"குணம், இயல்பு"
ப,பண்புடையான்,
ப,பண்புத்திறல்,
ப,பண்புத்துரை,
ப,பண்புத்தேவன்,
ப,பண்புரவோன்,
ப,பண்புருவன்,
ப,பண்புழவன்,
ப,பண்பூரன்,
