"தொடங்கும் எழுத்து",பெயர்,பொருள்
பா,பா,பாடல்
பா,பாசறை,
பா,பாசறைக்குமரன்,
பா,பாசறைச்செல்வன்,
பா,பாசறைத்தலைவன்,
பா,பாசறைத்திண்ணன்,
பா,பாசறைத்திறலோன்,
பா,பாசறைத்திறல்,
பா,பாசறைத்தேவன்,
பா,பாசறைநம்பி,
பா,பாசறைப்புலவன்,
பா,பாசறைவாணன்,
பா,பாசறைவேந்தன்,
பா,பாடலமுதன்,
பா,பாடலரசன்,
பா,பாடலிசைஞன்,
பா,பாடலினியன்,
பா,பாடலூரன்,
பா,பாடல்,"பா, செய்யுள்"
பா,பாடல்வளத்தன்,
பா,பாடல்வளவன்,
பா,பாடல்வாணன்,
பா,பாடல்வேந்தன்,
பா,பாடி," பாடுபவன்"
பா,பாடினியார்,
பா,பாணன்,
பா,பாண்டி,"பண்டைத் தமிழரசர் குடிப்பெயா, நாடு"
பா,பாண்டிக்குமரன்,
பா,பாண்டிக்கோன்,
பா,பாண்டிச்செழியன்,
பா,பாண்டித்தமிழன்,
பா,பாண்டித்தம்பி,
பா,பாண்டித்துரை,
பா,பாண்டித்தேவன்,
பா,பாண்டிநாடன்,
பா,பாண்டிமன்னன்,
பா,பாண்டிமாறன்,
பா,பாண்டிமுத்தன்,
பா,பாண்டிமுத்து,
பா,பாண்டியன்,
பா,பாண்டிவளவன்,
பா,பாண்டிவழுதி,
பா,பாண்டிவேந்தன்,
பா,பாத்திறலோன்,
பா,பாத்திறல்,
பா,பாநம்பி,
பா,பாநெஞ்சன்,
பா,பானிலவன்,
பா,பாமகன்,
பா,பாமணி,
பா,பாமன்னன்,
பா,பாமாறன்,
பா,பாமுரசு,
பா,பாமொழி,
பா,பாயும்புலி,
பா,பாய்,தாவல்
பா,பாய்வேங்கை,
பா,பாரி,
பா,பாரிக்குமரன்,
பா,பாரிநம்பி,
பா,பாரிமன்னன்,
பா,பாரியண்ணல்,
பா,பாரிவளவன்,
பா,பாரிவள்ளல்,
பா,பாரிவேந்தன்,
பா,பாரிவேள்,
பா,பார்,உலகு
பா,பார்புகழன்,
பா,பார்வண்ணன்,
பா,பார்வேந்தன்,
பா,பார்வை,"காட்சி, கண், தோற்றம்"
பா,பார்வைக்கணை,
பா,பார்வைக்கதிர்,
பா,பார்வைக்கனல்,
பா,பார்வைச்சீரன்,
பா,பார்வைச்சுடர்,
பா,பார்வைத்திறலோன்,
பா,பார்வைத்திறல்,
பா,பார்வைத்தென்றல்,
பா,பார்வையமுதன்,
பா,பார்வையழகன்,
பா,பார்வையினியன்,
பா,பார்வையெழினி,
பா,பார்வையெழிலன்,
பா,பார்வையெழிலோன்,
பா,பார்வையொளி,
பா,பார்வையொளியன்,
பா,பார்வைவளத்தன்,
பா,பார்வைவளவன்,
பா,பார்வைவீPரன்,
பா,பாற்கடல்,
பா,பாலமுதன்,
பா,பாலாழி,
பா,பாலை,"பாலைநிலம், பாலைமரம்"
பா,பாலைக்காடன்,
பா,பாலைக்காவலன்,
பா,பாலைக்குன்றன்,
பா,பாலைக்குமரன்,
பா,பாலைக்கூத்தன்,
பா,பாலைக்கேள்வன்,
பா,பாலைக்கோடன்,
பா,பாலைக்கோன்,
பா,பாலைச்சுடரோன்,
பா,பாலைச்சுடர்,
பா,பாலைச்செல்வன்,
பா,பாலைத்துரை,
பா,பாலைத்தேவன்,
பா,பாலைநம்பி,
பா,பாலைநாடன்,
பா,பாலைநிலவன்,
பா,பாலைமன்னன்,
பா,பாலைமறவன்,
பா,பாலைமல்லன்,
பா,பாலைமைந்தன்,
பா,பாலையன்,
பா,பாலையமுதன்,
பா,பாலையரசன்,
பா,பாலையா,
பா,பாலையினியன்,
பா,பாலையூரன்,
பா,பால்,பால்
பா,பால்வண்ணன்,
பா,பாவண்ணன்,
பா,பாவமுதன்,
பா,பாவரசன்,
பா,பாவரசு,
பா,பாவருவி,
பா,பாவலன்,
பா,பாவளத்தன்,
பா,பாவழுதி,
பா,பாவாணன்,
பா,பாவாளன்,
பா,பாவிசைக்கோ,
பா,பாவினியன்,
பா,பாவேந்தன்,
