"தொடங்கும் எழுத்து",பெயர்,பொருள்
பு,புகனம்பி,
பு,புகனாடன்,
பு,புகற்கடல்,
பு,புகற்கணை,
பு,புகற்காடன்,
பு,புகற்கோ,
பு,புகற்கோவன்,
பு,புகற்சீரன்,
பு,புகற்சுடரோன்,
பு,புகற்சுடர்,
பு,புகற்செம்மல்,
பு,புகற்செல்வன்,
பு,புகலமுதன்,
பு,புகலரசன்,
பு,புகலினியன்,
பு,புகலின்பன்,
பு,புகலூரன்,
பு,புகலெழிலன்,
பு,புகலெழிலோன்,
பு,புகலொலி,
பு,புகல்,"சொல், விருப்பம், காப்பு"
பு,புகல்வண்ணன்,
பு,புகல்வளத்தன்,
பு,புகல்வளவன்,
பு,புகல்வாணன்,
பு,புகல்விளம்பி,
பு,புகழகன்,
பு,புகழண்ணல்,
பு,புகழன்,
பு,புகழன்பன்,
பு,புகழன்பு,
பு,புகழப்பன்,
பு,புகழமுதன்,
பு,புகழமுது,
பு,புகழரசன்,
பு,புகழரசு,
பு,புகழரியன்,
பு,புகழருவி,
பு,புகழறிஞன்,
பு,புகழறிவன்,
பு,புகழறிவு,
பு,புகழறிவோன்,
பு,புகழழகன்,
பு,புகழழகு,
பு,புகழாற்றல்,
பு,புகழாளன்,
பு,புகழாளி,
பு,புகழாழி,
பு,புகழிசை,
பு,புகழினியன்,
பு,புகழின்பன்,
பு,புகழுடையான்,
பு,புகழுரவோன்,
பு,புகழுருவன்,
பு,புகழுறைவோன்,
பு,புகழுழவன்,
பு,புகழூரன்,
பு,புகழூரான்,
பு,புகழூரோன்,
பு,புகழெளியன்,
பு,புகழெளியோன்,
பு,புகழேந்தல்,
பு,புகழேந்தி,
பு,புகழேரன்,
பு,புகழேறு,
பு,புகழையன்,
பு,புகழையா,
பு,புகழொலி,
பு,புகழொலியன்,
பு,புகழொளி,
பு,புகழொளியன்,
பு,புகழோன்,
பு,புகழோவியன்,
பு,புகழௌpனி,
பு,புகழௌpலன,
பு,புகழௌpலான்,
பு,புகழௌpலோன்,
பு,புகழௌpல்,
பு,புகழ்,
பு,புகழ்க்கலைஞன்,
பு,புகழ்க்கிள்ளி,
பு,புகழ்க்கீரன்,
பு,புகழ்க்குன்றன்,
பு,புகழ்க்குமரன்,
பு,புகழ்க்குரிசில்,
பு,புகழ்க்கேள்வன்,
பு,புகழ்க்கொடியோன்,
பு,புகழ்க்கோ,
பு,புகழ்க்கோன்,
பு,புகழ்க்கோமான்,
பு,புகழ்க்கோவன்,
பு,புகழ்ச்செம்மல்,
பு,புகழ்ச்செல்வன்,
பு,புகழ்ச்செழியன்,
பு,புகழ்ச்சேய்,
பு,புகழ்ச்சேரன்,
பு,புகழ்ச்சோழன்,
