"தொடங்கும் எழுத்து",பெயர்,பொருள்
பெ,பெரியண்ணன்,
பெ,பெரியண்ணல்,
பெ,பெரியதம்பி,
பெ,பெரியநம்பி,
பெ,பெரியன்,
பெ,பெரியவன்,
பெ,பெருங்கடல்,
பெ,பெருங்கடுங்கோ,
பெ,பெருங்கண்ணன்,
பெ,பெருங்கண்ணர்,
பெ,பெருங்கலைஞன்,
பெ,பெருங்கிள்ளி,
பெ,பெருங்கீரன்,
பெ,பெருங்குன்றன்,
பெ,பெருங்குமரன்,
பெ,பெருங்குரிசில்,
பெ,பெருங்கேள்வன்,
பெ,பெருங்கோ,
பெ,பெருங்கோன்,
பெ,பெருங்கோமான்,
பெ,பெருங்கோவன்,
பெ,பெருஞ்சாத்தனார்,
பெ,பெருஞ்சாந்தன்,
பெ,பெருஞ்சித்திரனார்,
பெ,பெருஞ்சுடரோன்,
பெ,பெருஞ்சுடர்,
பெ,பெருஞ்சென்னி,
பெ,பெருஞ்செல்வன்,
பெ,பெருஞ்செழியன்,
பெ,பெருஞ்சேரல்,
பெ,பெருஞ்சோலையன்,
பெ,பெருஞ்சோழன்,
பெ,பெருநற்கிள்ளி,
பெ,பெருநாகன்,
பெ,பெருநாடன்,
பெ,பெருநிலத்தன்,
பெ,பெருநிலவன்,
பெ,பெருநேயன்,
பெ,பெருந்தகை,
பெ,பெருந்தகையன்,
பெ,பெருந்தலைவன்,
பெ,பெருந்திருவன்,
பெ,பெருந்திறலோன்,
பெ,பெருந்திறல்,
பெ,பெருந்துணை,
பெ,பெருந்துணைவன்,
பெ,பெருந்துரை,
பெ,பெருந்தேவனார்,
பெ,பெருந்தேவன்,
பெ,பெருமகன்,
பெ,பெருமணி,
பெ,பெருமதி,
பெ,பெருமருகன்,
பெ,பெருமருதன்,
பெ,பெருமலை,
பெ,பெருமல்லன்,
பெ,பெருமழவன்,
பெ,பெருமாண்பன்,
பெ,பெருமானன்,
பெ,பெருமாறன்,
பெ,பெருமாள்,
பெ,பெருமுத்தன்,
பெ,பெருமுத்து,
பெ,பெருமுரசு,
பெ,பெருமை,"பெரிய, புகழ்"
பெ,பெருமையனார்,
பெ,பெருமையன்,
பெ,பெரும்பகலோன்,
பெ,பெரும்பரிதி,
பெ,பெரும்பிறை,
பெ,பெரும்புகழன்,
பெ,பெரும்புலவன்,
பெ,பெரும்பொறை,
பெ,பெரும்பொறையன்,
பெ,பெரும்பொழிலன்,
பெ,பெருவண்ணன்,
பெ,பெருவளத்தன்,
பெ,பெருவளநாடன்,
பெ,பெருவளவன்,
பெ,பெருவள்ளல்,
பெ,பெருவழுதி,
பெ,பெருவாகை,
பெ,பெருவாணன்,
பெ,பெருவீரன்,
பெ,பெருவெற்பன்,
பெ,பெருவெற்றி,
பெ,பெருவேங்கை,
பெ,பெருவேந்தன்,
