"தொடங்கும் எழுத்து",பெயர்,பொருள்
பொ,பொதிகை,"          ஒருமலை"
பொ,பொதிகைக்குமரன்,
பொ,பொதிகைச்சுடர்,
பொ,பொதிகைச்செம்மல்,
பொ,பொதிகைச்செல்வன்,
பொ,பொதிகைச்செழியன்,
பொ,பொதிகைத்தமிழ்,
பொ,பொதிகைத்தம்பி,
பொ,பொதிகைத்தென்றல்,
பொ,பொதிகைத்தேவன்,
பொ,பொதிகைநம்பி,
பொ,பொதிகைநாடன்,
பொ,பொதிகைநிலவன்,
பொ,பொதிகைப்புலவன்,
பொ,பொதிகைப்பொருப்பன்,
பொ,பொதிகைப்பொழில்,
பொ,பொதிகைமகன்,
பொ,பொதிகைமன்னன்,
பொ,பொதிகைமலை,
பொ,பொதிகைமாறன்,
பொ,பொதிகைமைந்தன்,
பொ,பொதிகைமொழி,
பொ,பொதிகையன்,
பொ,பொதிகைவளவன்,
பொ,பொதிகைவாணன்,
பொ,பொதிகைவீரன்,
பொ,பொதிகைவேங்கை,
பொ,பொதிகைவேந்தன்,
பொ,பொன்,ஒருகனியம்
பொ,பொன்னன்,
பொ,பொன்னன்பன்,
பொ,பொன்னப்பன்,
பொ,பொன்னப்பா,
பொ,பொன்னம்பி,
பொ,பொன்னரசன்,
பொ,பொன்னரசு,
பொ,பொன்னரியன்,
பொ,பொன்னருவி,
பொ,பொன்னறிஞன்,
பொ,பொன்னறிவன்,
பொ,பொன்னழகன்,
பொ,பொன்னழகு,
பொ,பொன்னாடன்,
பொ,பொன்னாளன்,
பொ,பொன்னி,ஓராறு
பொ,பொன்னித்துறையன்,
பொ,பொன்னினாடன்,
பொ,பொன்னினியன்,
பொ,பொன்னின்பன்,
பொ,பொன்னிமைந்தன்,
பொ,பொன்னிலவன்,
பொ,பொன்னிவளவன்,
பொ,பொன்னுத்துரை,
பொ,பொன்னூரன்,
பொ,பொன்னெழிலன்,
பொ,பொன்னெழிலோன்,
பொ,பொன்னேயன்,
பொ,பொன்னையன்,
பொ,பொன்னையா,
பொ,பொன்மணியார்,
பொ,பொன்மதி,
பொ,பொன்மலை,
பொ,பொன்மலையன்,
பொ,பொன்மாண்பன்,
பொ,பொன்மாறன்,
பொ,பொன்முடி,
பொ,பொன்முடியார்,
பொ,பொன்வண்ணன்,
பொ,பொன்வளநாடன்,
பொ,பொன்வெற்பன்,
பொ,பொய்,இல்பொருள்
பொ,பொய்கை,
பொ,பொய்கையன்,
பொ,பொய்கையான்,
பொ,பொய்கையார்,
பொ,பொய்கையாழ்வான்,
பொ,பொய்யாமொழி,
பொ,பொய்யிலான்,
பொ,பொரு,போர்
பொ,பொருநன்,
பொ,பொருநை,
பொ,பொருநைக்கிழான்,
பொ,பொருநைத்தென்றல்,
பொ,பொருநைமொழி,
பொ,பொருநையன்,
பொ,பொருநைவளவன்,
பொ,பொருப்பன்,
பொ,பொருப்பு,மலை
பொ,பொருவிலான்,
பொ,பொருவு,பொருவிலான்
பொ,பொறி,"தீ, கருவி"
பொ,பொறிச்சுடர்,
பொ,பொறித்தகை,
பொ,பொறித்தகையன்,
பொ,பொறித்திறலோன்,
பொ,பொறித்திறல்,
பொ,பொறிநாடன்,
பொ,பொறிமணி,
பொ,பொறிமன்னன்,
பொ,பொறிமாறன்,
பொ,பொறிமுரசு,
பொ,பொறிய10ரன்,
பொ,பொறியரசன்,
பொ,பொறியறிஞன்,
பொ,பொறியறிவன்,
பொ,பொறியறிவு,
பொ,பொறியாற்றலன்,
பொ,பொறியாளன்,
பொ,பொறியாளி,
பொ,பொறிவலவன்,
பொ,பொறிவளத்தன்,
பொ,பொறிவாணன்,
பொ,பொறிவிறலோன்,
பொ,பொறிவீரன்,
பொ,பொறிவேந்தன்,
பொ,பொறை,
பொ,பொறைக்குன்றன்,
பொ,பொறைச்செம்மல்,
பொ,பொறைத்தேவன்,
பொ,பொறைநம்பி,
பொ,பொறைநெஞ்சன்,
பொ,பொறைமலை,
பொ,பொறைய10ரன்,
பொ,பொறையண்ணல்,
பொ,பொறையன்,
பொ,பொறையப்பன்,
பொ,பொறையரசன்,
பொ,பொறையரசு,
பொ,பொறையாளன்,
பொ,பொறையேந்தி,
பொ,பொறையொளி,
பொ,பொற்கதிர்,
பொ,பொற்கிள்ளி,
பொ,பொற்கீரன்,
பொ,பொற்குன்றன்,
பொ,பொற்கைப்பாண்டியன்,
பொ,பொற்கைமாறன்,
பொ,பொற்கோ,
பொ,பொற்கோன்,
பொ,பொற்கோமான்,
பொ,பொற்கோவன்,
பொ,பொற்சுடர்,
பொ,பொற்சென்னி,
பொ,பொற்செம்மல்,
