"தொடங்கும் எழுத்து",பெயர்,பொருள்
ம,மகன்," ஆண்மகவு, ஆடவன்"
ம,மகிளொலி,
ம,மகிழண்ணல்,
ம,மகிழன்பன்,
ம,மகிழப்பன்,
ம,மகிழரசன்,
ம,மகிழரசு,
ம,மகிழருவி,
ம,மகிழூரன்,
ம,மகிழையன்,
ம,மகிழ்,"உவகை, ஒருமரம்"
ம,மகிழ்கோ,
ம,மகிழ்நன்,
ம,மகிழ்நம்பி,
ம,மகிழ்நாடன்,
ம,மகிழ்நிலவன்,
ம,மகிழ்நெஞ்சன்,
ம,மகிழ்ந்தன்,"மகிழ்ச்சிக்கு உரியவன்"
ம,மகிழ்மணி,
ம,மகிழ்மதி,
ம,மகிழ்மாறன்,
ம,மகிழ்வாணன்,
ம,மங்கை,பெண்
ம,மங்கைமணாளன்,
ம,மணத்தம்பி,
ம,மணமலை,
ம,மணமுரசு,
ம,மணம்,நாற்றம்
ம,மணவரசு,
ம,மணவழகன்,
ம,மணவாளன்,
ம,மணாளன்,
ம,மணி,
ம,மணிக்கொடி,
ம,மணிச்சுடரோன்,
ம,மணிச்சுடர்,
ம,மணிச்செல்வன்,
ம,மணித்தாரான்,
ம,மணிநாடன்,
ம,மணிநிலவன்,
ம,மணிமலை,
ம,மணிமலையன்,
ம,மணிமாறன்,
ம,மணிமுடி,
ம,மணிமுத்தன்,
ம,மணிமுத்து,
ம,மணிமுரசு,
ம,மணிமொழி,
ம,மணிமொழியன்,
ம,மணிமொழியான்,
ம,மணியன்,
ம,மணியன்பன்,
ம,மணியரசன்,
ம,மணியருவி,
ம,மணியழகன்,
ம,மணியுருவன்,
ம,மணியூரான்,
ம,மணியையன்,
ம,மணியொளி,
ம,மணிவண்ணன்,
ம,மண்,நிலம்
ம,மண்ணன்பன்,
ம,மண்ணரசன்,
ம,மண்ணாளன்,
ம,மண்ணின்பன்,
ம,மண்ணேயன்,
ம,மண்ணொளியன்,
ம,மண்பித்தன்,
ம,மண்மாண்பன்,
ம,மண்வலவன்,
ம,மண்வளத்தன்,
ம,மண்வாணன்,
ம,மண்வேந்தன்,
ம,மதி,
ம,மதிக்கதிர்,
ம,மதிசூடி,
ம,மதிச்சுடர்,
ம,மதிச்செல்வன்,
ம,மதிமுகன்,
ம,மதியமுதன்,
ம,மதியரசன்,
ம,மதியரசு,
ம,மதியழகன்,
ம,மதியினியன்,
ம,மதியின்பன்,
ம,மதியூரன்,
ம,மதியெழினி,
ம,மதியெழிலன்,
ம,மதியெழிலோன்,
ம,மதியேந்தி,
ம,மதிவண்ணன்,
ம,மதிவாணன்,
ம,மனம்,
ம,மனை,"வீடு, வீட்டுக்கான நிலம், மனைவி"
ம,மனைச்செல்வன்,
ம,மனைத்திருவன்,
ம,மனைமாண்பன்,
ம,மனையாளன்,
ம,மனைவளத்தன்,
ம,மன்,"அரசன், நிலைபேறு"
ம,மன்சுடரோன்,
ம,மன்சுடர்,
ம,மன்னன்,
ம,மன்னமுதன்,
ம,மன்னர்மன்னன்,
ம,மன்னழகன்,
ம,மன்னூரன்,
ம,மன்னெழிலன்,
ம,மன்னெழிலோன்,
ம,மன்னொளி,
ம,மன்னொளியன்,
ம,மன்மணி,
ம,மன்றக்கணை,
ம,மன்றக்காவலன்,
ம,மன்றக்குன்றன்,
ம,மன்றக்குமரன்,
ம,மன்றக்குரிசில்,
ம,மன்றக்கூத்தன்,
ம,மன்றக்கேள்வன்,
ம,மன்றக்கோ,
ம,மன்றக்கோடன்,
ம,மன்றக்கோன்,
ம,மன்றக்கோமான்,
ம,மன்றக்கோவன்,
ம,மன்றச்சுடரோன்,
ம,மன்றச்சுடர்,
ம,மன்றச்செம்மல்,
ம,மன்றச்செல்வன்,
ம,மன்றண்ணல்,
ம,மன்றத்தகை,
ம,மன்றத்தகையன்,
ம,மன்றத்தம்பி,
ம,மன்றத்தலைவன்,
ம,மன்றத்திருவன்,
ம,மன்றத்திறலோன்,
ம,மன்றத்திறல்,
ம,மன்றத்துரை,
ம,மன்றத்தேவன்,
ம,மன்றத்தோன்றல்,
ம,மன்றநம்பி,
ம,மன்றநாடன்,
ம,மன்றநிலவன்,
ம,மன்றநெறியன்,
ம,மன்றநேயன்,
ம,மன்றனம்பி,
ம,மன்றன்பன்,
ம,மன்றப்பன்,
ம,மன்றமணி,
ம,மன்றமதி,
ம,மன்றமாண்பன்,
ம,மன்றமாறன்,
ம,மன்றமுதன்,
ம,மன்றமுதல்வன்,
ம,மன்றமுத்தன்,
ம,மன்றமுத்து,
ம,மன்றமுரசு,
ம,மன்றம்ஃமன்று,"மக்கள்கூடுமிடம், முறைமன்று"
ம,மன்றரசன்,
ம,மன்றரசு,
ம,மன்றறிவன்,
ம,மன்றல்,மணம்
ம,மன்றழகன்,
ம,மன்றவண்ணன்,
ம,மன்றவளவன்,
ம,மன்றவழுதி,
ம,மன்றவாணன்,
ம,மன்றவீரன்,
ம,மன்றவேந்தன்,
ம,மன்றவேலன்,
ம,மன்றவேள்,
ம,மன்றவொளி,
ம,மன்றாளன்,
ம,மன்றினியன்,
ம,மன்றூரன்,
ம,மன்றெழினி,
ம,மன்றெழிலன்,
ம,மன்றெழிலோன்,
ம,மன்றொளி,
ம,மன்றொளியன்,
ம,மன்விறல்,
ம,மயினாடன்,
ம,மயிலரசன்,
ம,மயிலழகன்,
ம,மயிலின்பன்,
ம,மயிலுருவன்,
ம,மயிலூரன்,
ம,மயிலெழிலன்,
ம,மயிலெழிலோன்,
ம,மயில்,ஒருபறவை
ம,மயில்வண்ணன்,
ம,மருகன்,
ம,மருதக்கோன்,
ம,மருதநம்பி,
ம,மருதநாடன்,
ம,மருதனார்,
ம,மருதன்,
ம,மருதபாண்டியன்,
ம,மருதப்பன்,
ம,மருதமணி,
ம,மருதமன்னன்,
ம,மருதமலை,
ம,மருதமுத்தன்,
ம,மருதமுத்து,
ம,மருதவாணன்,
ம,மருதவேந்தன்,
ம,மருதாளன்,
ம,மருது,
ம,மருதுபாண்டியன்,
ம,மருதூரன்,
ம,மருதையன்,
ம,மறக்குன்றன்,
ம,மறக்குமரன்,
ம,மறச்செல்வன்,
ம,மறச்சேய்,
ம,மறத்தம்பி,
ம,மறத்திறல்,
ம,மறத்தேவன்,
ம,மறநம்பி,
ம,மறநாடன்,
ம,மறநிலவன்,
ம,மறநெஞ்சன்,
ம,மறநேயன்,
ம,மறப்போரன்,
ம,மறமகன்,
ம,மறமன்னன்,
ம,மறமலை,
ம,மறமல்லன்,
