"தொடங்கும் எழுத்து",பெயர்,பொருள்
மா,மா,பெருமை
மா,மாக்கடல்,
மா,மாக்கதிர்,
மா,மாங்குடிக்கிழார்,
மா,மாங்குடிமருதன்,
மா,மாசாத்தனார்,
மா,மாசாத்தன்,
மா,மாச்சுடரோன்,
மா,மாச்சுடர்,
மா,மாணம்பி,
மா,மாணவன்,
மா,மாணி,
மா,மாணிக்கம்,
மா,மாணெஞ்சன்,
மா,மாண்பன்," மாட்சிமையுடையவன்"
மா,மாண்பாளன்,
மா,மாண்பு,
மா,மாண்புவழுதி,
மா,மாண்வழுதி,
மா,மாதவன்,
மா,மாநம்பி,
மா,மாநாடன்,
மா,மாநிலவன்,
மா,மாநேயன்,
மா,மாந்தரஞ்சேரல்,
மா,மாந்தை,ஒருநகரம்
மா,மாந்தைக்கதிர்,
மா,மாந்தைக்கனல்,
மா,மாந்தைக்கனி,
மா,மாந்தைக்காவலன்,
மா,மாந்தைக்கிழான்,
மா,மாந்தைக்குன்றன்,
மா,மாந்தைக்குமரன்,
மா,மாந்தைக்கூத்தன்,
மா,மாந்தைக்கேள்வன்,
மா,மாந்தைக்கோடன்,
மா,மாந்தைக்கோன்,
மா,மாந்தைக்கோமான்,
மா,மாந்தைக்கோவன்,
மா,மாந்தைச்சுடர்,
மா,மாந்தைச்செம்மல்,
மா,மாந்தைச்செல்வன்,
மா,மாந்தைத்திருவன்,
மா,மாந்தைத்திறலோன்,
மா,மாந்தைத்திறல்,
மா,மாந்தைத்துரை,
மா,மாந்தைத்தென்றல்,
மா,மாந்தைத்தேவன்,
மா,மாந்தைத்தோன்றல்,
மா,மாந்தைநம்பி,
மா,மாந்தைநாடன்,
மா,மாந்தைநிலவன்,
மா,மாந்தைநேயன்,
மா,மாந்தைப்பாவலன்,
மா,மாந்தைப்பித்தன்,
மா,மாந்தைப்புகழன்,
மா,மாந்தைப்புலவன்,
மா,மாந்தைப்பொன்னன்,
மா,மாந்தைப்பொறை,
மா,மாந்தைப்பொழிலன்,
மா,மாந்தைப்பொழில்,
மா,மாந்தைமணி,
மா,மாந்தைமதி,
மா,மாந்தைமன்னன்,
மா,மாந்தைமருதன்,
மா,மாந்தைமறவன்,
மா,மாந்தைமல்லன்,
மா,மாந்தைமழவன்,
மா,மாந்தைமாண்பன்,
மா,மாந்தைமாறன்,
மா,மாந்தைமுதல்வன்,
மா,மாந்தைமுத்தன்,
மா,மாந்தைமுத்து,
மா,மாந்தைமுருகன்,
மா,மாந்தைமைந்தன்,
மா,மாந்தையண்ணல்,
மா,மாந்தையன்பன்,
மா,மாந்தையப்பன்,
மா,மாந்தையமுதன்,
மா,மாந்தையரசன்,
மா,மாந்தையறிஞன்,
மா,மாந்தையழகன்,
மா,மாந்தையினியன்,
மா,மாந்தையின்பன்,
மா,மாந்தையூரன்,
மா,மாந்தையெழினி,
மா,மாந்தையெழிலன்,
மா,மாந்தையெழிலோன்,
மா,மாந்தையேந்தல்,
மா,மாந்தைவண்ணன்,
மா,மாந்தைவலவன்,
மா,மாந்தைவளத்தன்,
மா,மாந்தைவளவன்,
மா,மாந்தைவழுதி,
மா,மாந்தைவாணன்,
மா,மாந்தைவிறல்,
மா,மாந்தைவீரன்,
மா,மாந்தைவேந்தன்,
மா,மாந்தைவேலன்,
மா,மாந்தைவேள்,
மா,மானக்குமரன்,
மா,மானச்செம்மல்,
மா,மானச்செல்வன்,
மா,மானத்தன்,
மா,மானத்தமிழன்,
மா,மானத்தம்பி,
மா,மானத்துரை,
மா,மானத்தேவன்,
மா,மானநம்பி,
மா,மானநெஞ்சன்,
மா,மானன்,
மா,மானமகன்,
மா,மானமணி,
மா,மானமதி,
மா,மானமறவன்,
மா,மானமலை,
மா,மானமார்பன்,
மா,மானமுத்தன்,
மா,மானமுத்து,
மா,மானமுரசு,
மா,மானம்,மதிப்பு
மா,மானவன்,
மா,மானவரசு,
மா,மானவீரன்,
மா,மானவெற்பன்,
மா,மானவேங்கை,
மா,மானவேந்தன்,
மா,மானவேலன்,
மா,மானவேலோன்,
மா,மானவேல்,
மா,மான்," ஆண்பால் ஈறு"
மா,மான்மணி,
மா,மான்மாறன்,
மா,மான்முகிலன்,
மா,மான்முத்தன்,
மா,மான்முத்து,
மா,மாமகன்,
மா,மாமணி,
மா,மாமதி,
மா,மாமன்னன்,
மா,மாமருகன்,
மா,மாமருதன்,
மா,மாமறவன்,
மா,மாமலை,
மா,மாமலையன்,
மா,மாமல்லன்,
மா,மாமாண்பன்,
மா,மாமானன்,
மா,மாமாறன்,
மா,மாமுகன்,
மா,மாமுதல்வன்,
மா,மாமுத்தன்,
மா,மாமுத்து,
மா,மாமுரசு,
மா,மாமுறையோன்,
மா,மாமூலனார்,
மா,மாமூலன்,
மா,மாயவன்,
மா,மாயோன்,
மா,மாரி,"நீர், மழை, முகில், மாரிகாலம்"
மா,மாரித்தம்பி,
மா,மாரிமுகிலன்,
மா,மாரிமுத்தன்,
மா,மாரிமுத்து,
மா,மாரியப்பன்,
மா,மாரியப்பா,
மா,மாரியமுதன்,
மா,மாரியூரன்,
மா,மாரிவளத்தன்,
மா,மாருதவேகன்,
மா,மார்பன்,
மா,மார்பழகன்,
மா,மார்பு,நெஞ்சு
மா,மாறனம்பி,
மா,மாறனார்,
மா,மாறன்,
மா,மாறன்பெருமாள்,
மா,மாறன்பொறையன்,
மா,மாறன்வழுதி,
மா,மாலண்ணல்,
மா,மாலன்,
மா,மாலன்பன்,
மா,மாலரசன்,
மா,மாலழகன்,
மா,மாலவன்,
மா,மாலினியன்,
மா,மாலின்பன்,
மா,மாலெழிலன்,
மா,மாலெழிலோன்,
மா,மாலை,"பூமாலை, அந்திப்பொழுது"
மா,மாலைசூடி,
மா,மாலைநெஞ்சன்,
மா,மாலைமணி,
மா,மாலைமார்பன்,
மா,மாலைமுத்து,
மா,மாலையழகன்,
மா,மாலையெழிலன்,
மா,மால்,"கருமை, பெருமை"
மா,மால்வண்ணன்,
மா,மால்வேந்தன்,
மா,மால்வேள்,
மா,மாவண்ணன்,
மா,மாவன்பன்,
மா,மாவரசன்,
மா,மாவறிவன்,
