"தொடங்கும் எழுத்து",பெயர்,பொருள்
மு,முகன்," முகத்தையுடையவன்"
மு,முகிலகன்,
மு,முகிலன்,
மு,முகிலமுதன்,
மு,முகிலமுது,
மு,முகிலரசன்,
மு,முகிலரசு,
மு,முகிலழகு,
மு,முகிலினியன்,
மு,முகிலின்பன்,
மு,முகிலுருவன்,
மு,முகிலூரன்,
மு,முகிலூரான்,
மு,முகிலூரோன்,
மு,முகிலெழிலன்,
மு,முகிலெழிலோன்,
மு,முகில்,
மு,முகில்வண்ணன்,
மு,முகில்வளத்தன்,
மு,முகில்வளவன்,
மு,முகில்வள்ளல்,
மு,முகில்வாணன்,
மு,முகில்வெற்பன்,
மு,முகில்வேந்தன்,
மு,முகிழலகன்,
மு,முக்கண்ணன்,
மு,முச்சுடர்,
மு,முடி,தலையணி
மு,முடிசூடி,
மு,முடிச்சேரன்,
மு,முடிச்சோழன்,
மு,முடிநாடன்,
மு,முடிமணி,
மு,முடிமன்னன்,
மு,முடிமாறன்,
மு,முடிமுத்தன்,
மு,முடிமுத்து,
மு,முடியரசன்,
மு,முடியரசு,
மு,முடியூரன்,
மு,முடியேந்தி,
மு,முடிவண்ணன்,
மு,முடிவாணன்,
மு,முடிவேந்தன்,
மு,முதனாடன்,
மு,முதன்மை,முன்மை
மு,முதன்மைநம்பி,
மு,முதன்மையன்,
மு,முதன்மையரசு,
மு,முதன்மையறிவன்,
மு,முதன்மையொளி,
மு,முதற்பிறை,
மு,முதலப்பன்,
மு,முதலூரன்,
மு,முதல்வன்,
மு,முதல்வழுதி,
மு,முதிர்கதிர்,
மு,முதிர்சுடர்,
மு,முதிர்மணி,
மு,முதிர்முத்து,
மு,முதுகுன்றன்,
மு,முதுநாடன்,
மு,முதுநெறியன்,
மு,முதுமலை,
மு,முதுமலையன்,
மு,முதுமை,"மூப்பு, பழமை"
மு,முதுவளத்தன்,
மு,முதுவளநாடன்,
மு,முதுவழுதி,
மு,முத்தன்,
மு,முத்தப்பன்,
மு,முத்தமிழன்,
மு,முத்தமிழரசன்,
மு,முத்தமிழரசு,
மு,முத்தமிழ்,
மு,முத்தரசன்,
மு,முத்தரசு,
மு,முத்தழகன்,
மு,முத்தழகு,
மு,முத்து,
மு,முத்துக்கண்ணன்,
மு,முத்துக்கருப்பன்,
மு,முத்துக்குமரன்,
மு,முத்துக்கூத்தன்,
மு,முத்துக்கோன்,
மு,முத்துச்செல்வன்,
மு,முத்துச்செழியன்,
மு,முத்துத்தம்பி,
மு,முத்துத்தேவன்,
மு,முத்துநாடன்,
மு,முத்துநிலவன்,
மு,முத்துப்பாண்டி,
மு,முத்துப்பாண்டியன்,
மு,முத்துமணி,
மு,முத்துமதி,
மு,முத்துமார்பன்,
மு,முத்துமாறன்,
மு,முத்துவண்ணன்,
மு,முத்துவளத்தன்,
மு,முத்துவளநாடன்,
மு,முத்துவளவன்,
மு,முத்துவெற்பன்,
மு,முத்துவேலன்,
மு,முத்துவேல்,
மு,முத்தூரன்,
மு,முத்தெழிலன்,
மு,முத்தெழிலோன்,
மு,முத்தையன்,
மு,முத்தையா,
மு,முத்தொளி,
மு,முந்நீரன்,
மு,முனை,முன்னுறுகை
மு,முனைவன்,
மு,முனைவோன்,
மு,முன்,முதன்மை
மு,முன்னணியன்,
மு,முன்னவன்,
மு,மும்மணி,
மு,மும்மை,மூன்று
மு,முயற்சி,ஊக்கம்
மு,முயற்சிக்கோன்,
மு,முயற்சிச்சுடரோன்,
மு,முயற்சிச்செம்மல்,
மு,முயற்சித்தகை,
மு,முயற்சித்தகையன்,
மு,முயற்சித்திறலோன்,
மு,முயற்சித்திறல்,
மு,முயற்சித்துரை,
மு,முயற்சித்தேவன்,
மு,முயற்சிநம்பி,
மு,முயற்சிப்பித்தன்,
மு,முயற்சிமணி,
மு,முயற்சிமன்னன்,
மு,முயற்சிமாறன்,
மு,முயற்சியன்,
மு,முயற்சியப்பன்,
மு,முயற்சியாளன்,
மு,முயற்சியுடையான்,
மு,முயற்சியூரன்,
மு,முயற்சிவலவன்,
மு,முயற்சிவளத்தன்,
மு,முயற்சிவளவன்,
மு,முயற்சிவழுதி,
