"தொடங்கும் எழுத்து",பெயர்,பொருள்
மூ,மூக்கு,உடலுறுப்பு
மூ,மூக்கையன்,
மூ,மூக்கையா,
மூ,மூதறிஞன்,
மூ,மூதூhக்குமரன்,
மூ,மூதூரண்ணல்,
மூ,மூதூரன்,
மூ,மூதூரன்பன்,
மூ,மூதூரப்பன்,
மூ,மூதூரமுதன்,
மூ,மூதூரரசன்,
மூ,மூதூரறிஞன்,
மூ,மூதூரழகன்,
மூ,மூதூரினியன்,
மூ,மூதூரின்பன்,
மூ,மூதூரெழினி,
மூ,மூதூரெழிலன்,
மூ,மூதூரெழிலோன்,
மூ,மூதூரேந்தல்,
மூ,மூதூரையன்,
மூ,மூதூர்,ஓரூர்
மூ,மூதூர்க்கதிர்,
மூ,மூதூர்க்கனல்,
மூ,மூதூர்க்கனி,
மூ,மூதூர்க்காவலன்,
மூ,மூதூர்க்கிழான்,
மூ,மூதூர்க்குன்றன்,
மூ,மூதூர்க்கூத்தன்,
மூ,மூதூர்க்கேள்வன்,
மூ,மூதூர்க்கோடன்,
மூ,மூதூர்க்கோன்,
மூ,மூதூர்க்கோமான்,
மூ,மூதூர்க்கோவன்,
மூ,மூதூர்ச்சுடர்,
மூ,மூதூர்ச்செம்மல்,
மூ,மூதூர்ச்செல்வன்,
மூ,மூதூர்த்திருவன்,
மூ,மூதூர்த்திறலோன்,
மூ,மூதூர்த்திறல்,
மூ,மூதூர்த்துரை,
மூ,மூதூர்த்தென்றல்,
மூ,மூதூர்த்தேவன்,
மூ,மூதூர்த்தோன்றல்,
மூ,மூதூர்நம்பி,
மூ,மூதூர்நாடன்,
மூ,மூதூர்நிலவன்,
மூ,மூதூர்நேயன்,
மூ,மூதூர்ப்பாவலன்,
மூ,மூதூர்ப்பித்தன்,
மூ,மூதூர்ப்புகழன்,
மூ,மூதூர்ப்புலவன்,
மூ,மூதூர்ப்பொன்னன்,
மூ,மூதூர்ப்பொறை,
மூ,மூதூர்ப்பொறையன்,
மூ,மூதூர்ப்பொழிலன்,
மூ,மூதூர்ப்பொழில்,
மூ,மூதூர்மணி,
மூ,மூதூர்மதி,
மூ,மூதூர்மன்னன்,
மூ,மூதூர்மருதன்,
மூ,மூதூர்மறவன்,
மூ,மூதூர்மல்லன்,
மூ,மூதூர்மழவன்,
மூ,மூதூர்மாண்பன்,
மூ,மூதூர்மாறன்,
மூ,மூதூர்முதல்வன்,
மூ,மூதூர்முத்தன்,
மூ,மூதூர்முத்து,
மூ,மூதூர்முருகன்,
மூ,மூதூர்மைந்தன்,
மூ,மூதூர்வண்ணன்,
மூ,மூதூர்வலவன்,
மூ,மூதூர்வளத்தன்,
மூ,மூதூர்வளவன்,
மூ,மூதூர்வழுதி,
மூ,மூதூர்வாணன்,
மூ,மூதூர்விறல்,
மூ,மூதூர்வீரன்,
மூ,மூதூர்வேந்தன்,
மூ,மூதூர்வேலன்,
மூ,மூதூர்வேள்,
மூ,மூலங்கிழார்,
மூ,மூவேந்தன்,
