"தொடங்கும் எழுத்து",பெயர்,பொருள்
மெ,மென்னெஞ்சன்,
மெ,மென்முறுவல்,
மெ,மென்மை,இளமை
மெ,மென்மையன்,
மெ,மென்மொழி,
மெ,மெயவற்பொழில்,
மெ,மெய்,உண்மை
மெ,மெய்கண்டான்,
மெ,மெய்ச்சுடர்,
மெ,மெய்ச்செல்வன்,
மெ,மெய்த்திறல்,
மெ,மெய்ந்நம்பி,
மெ,மெய்ந்நாடன்,
மெ,மெய்ந்நெஞ்சன்,
மெ,மெய்ந்நேயன்,
மெ,மெய்ப்புகழன்,
மெ,மெய்ப்புலவன்,
மெ,மெய்ப்பொருள்,
மெ,மெய்ப்பொறை,
மெ,மெய்ம்மணி,
மெ,மெய்ம்முகன்,
மெ,மெய்ம்முதல்வன்,
மெ,மெய்ம்முத்து,
மெ,மெய்ம்மொழி,
மெ,மெய்யன்,
மெ,"மெய்யன் வழுதி",
மெ,மெய்யன்பன்,
மெ,மெய்யப்பன்,
மெ,மெய்யரசன்,
மெ,மெய்யறிவன்,
மெ,மெய்யறிவு,
மெ,மெய்யழகன்,
மெ,மெய்யாற்றல்,
மெ,மெய்யாளன்,
மெ,மெய்யின்பன்,
மெ,மெய்யொளி,
மெ,மெய்வண்ணன்,
மெ,மெய்வளவன்,
மெ,மெய்வழுதி,
மெ,மெய்வாணன்,
மெ,மெய்விளம்பி,
மெ,மெய்வீரன்,
மெ,மெய்வேங்கை,
மெ,மெய்வேந்தன்,
