"தொடங்கும் எழுத்து",பெயர்,பொருள்
மொ,மொழி,மொழி
மொ,மொழிக்காவலன்,
மொ,மொழிக்குன்றன்,
மொ,மொழிக்கோடன்,
மொ,மொழிக்கோதை,
மொ,மொழிக்கோன்,
மொ,மொழிக்கோமான்,
மொ,மொழிக்கோவன்,
மொ,மொழிச்சீரன்,
மொ,மொழிச்சுடரோன்,
மொ,மொழிச்சுடர்,
மொ,மொழித்தகை,
மொ,மொழித்தகையன்,
மொ,மொழித்திறலோன்,
மொ,மொழித்திறல்,
மொ,மொழித்தென்றல்,
மொ,மொழித்தோன்றல்,
மொ,மொழிநேயன்,
மொ,மொழிப்பித்தன்,
மொ,மொழியன்பன்,
மொ,மொழியன்பு,
மொ,மொழியமுதன்,
மொ,மொழியரசன்,
மொ,மொழியரசு,
மொ,மொழியருவி,
மொ,மொழியறிஞன்,
மொ,மொழியறிவன்,
மொ,மொழியறிவு,
மொ,மொழியழகன்,
மொ,மொழியாற்றலன்,
மொ,மொழியாளன்,
மொ,மொழியினியன்,
மொ,மொழியின்பன்,
மொ,மொழியெழிலன்,
மொ,மொழியெழிலோன்,
மொ,மொழியேந்தி,
மொ,மொழிவண்ணன்,
மொ,மொழிவலவன்,
மொ,மொழிவல்லோன்,
மொ,மொழிவளத்தன்,
மொ,மொழிவாணன்,
மொ,மொழிவிளம்பி,
மொ,மொழிவேந்தன்,
மொ,மொழிவேள்,
