"தொடங்கும் எழுத்து",பெயர்,பொருள்
யா,யானை,ஒருவிலங்கு
யா,யானைநாடன்,
யா,யானையாற்றலன்,
யா,யானையூரன்,
யா,யானைவலவன்,
யா,யானைவளத்தன்,
யா,யாழடியான்,
யா,யாழண்ணல்,
யா,யாழன்,
யா,யாழன்பன்,
யா,யாழப்பன்,
யா,யாழமுதன்,
யா,யாழமுது,
யா,யாழரசன்,
யா,யாழரசு,
யா,யாழருவி,
யா,யாழறவோன்,
யா,யாழறிஞன்,
யா,யாழலை,
யா,யாழழகன்,
யா,யாழழகு,
யா,யாழழெளிலன்,
யா,யாழவன்,
யா,யாழவர்கோன்,
யா,யாழிசை,
யா,யாழினியன்,
யா,யாழின்பன்,
யா,யாழூரன்,
யா,யாழெளினி,
யா,யாழெளிலோன்,
யா,யாழேந்தல்,
யா,யாழேந்தி,
யா,யாழையன்,
யா,யாழோன்,
யா,யாழ்,"நரம்பிசைக்கருவி, ஓரிடப்பெயர்"
யா,யாழ்க்கதிரன்,
யா,யாழ்க்கதிரவன்,
யா,யாழ்க்கதிரோன்,
யா,யாழ்க்கதிர்,
யா,யாழ்க்கலைஞன்,
யா,யாழ்க்குன்றன்,
யா,யாழ்க்குமரன்,
யா,யாழ்க்குரிசில்,
யா,யாழ்க்கொடியோன்,
யா,யாழ்க்கோ,
யா,யாழ்க்கோன்,
யா,யாழ்க்கோமான்,
யா,யாழ்க்கோவன்,
யா,யாழ்ச்சுடரோன்,
யா,யாழ்ச்சுடர்,
யா,யாழ்ச்செம்மல்,
யா,யாழ்ச்செல்வன்,
யா,யாழ்ச்செழியன்,
யா,யாழ்ச்சேய்,
யா,யாழ்ச்சேரன்,
யா,யாழ்ச்சோழன்,
யா,யாழ்த்தகையன்,
யா,யாழ்த்தமிழன்,
யா,யாழ்த்தமிழ்,
யா,யாழ்த்தம்பி,
யா,யாழ்த்திருவன்,
யா,யாழ்த்திறத்தன்,
யா,யாழ்த்திறலோன்,
யா,யாழ்த்திறல்,
யா,யாழ்த்துணை,
யா,யாழ்த்துணைவன்,
யா,யாழ்த்துரை,
யா,யாழ்த்தூயோன்,
யா,யாழ்த்தென்றல்,
யா,யாழ்த்தேவன்,
யா,யாழ்த்தோன்றல்,
யா,யாழ்நம்பி,
யா,யாழ்நல்லோன்,
யா,யாழ்நாடன்,
யா,யாழ்நிலவன்,
யா,யாழ்நெஞ்சன்,
யா,யாழ்நேயன்,
யா,யாழ்நேரியன்,
யா,யாழ்பாடி,
யா,யாழ்பொறையன்,
யா,யாழ்ப்பரிதி,
யா,யாழ்ப்பாடி,
யா,யாழ்ப்பாணன்,
யா,யாழ்ப்பாவலன்,
யா,யாழ்ப்பிறை,
யா,யாழ்ப்புகழன்,
யா,யாழ்ப்புரவலன்,
யா,யாழ்ப்புலவன்,
யா,யாழ்ப்பெரியன்,
யா,யாழ்ப்பொன்னன்,
யா,யாழ்ப்பொறை,
யா,யாழ்ப்பொழிலன்,
யா,யாழ்மகன்,
யா,யாழ்மணி,
யா,யாழ்மதி,
யா,யாழ்மன்னன்,
யா,யாழ்மருகன்,
யா,யாழ்மருதன்,
யா,யாழ்மறவன்,
யா,யாழ்மலை,
யா,யாழ்மலையன்,
யா,யாழ்மல்லன்,
யா,யாழ்மள்ளன்,
யா,யாழ்மழவன்,
யா,யாழ்மாண்பன்,
யா,யாழ்மானன்,
யா,யாழ்மார்பன்,
யா,யாழ்மாறன்,
யா,யாழ்முகன்,
யா,யாழ்முகிலன்,
யா,யாழ்முடி,
யா,யாழ்முதல்வன்,
யா,யாழ்முத்தன்,
யா,யாழ்முத்து,
யா,யாழ்முனைவன்,
யா,யாழ்முரசு,
யா,யாழ்முருகன்,
யா,யாழ்முருகு,
யா,யாழ்முறையோன்,
யா,யாழ்மெய்யன்,
யா,யாழ்மைந்தன்,
யா,யாழ்மொழியன்,
யா,யாழ்வண்ணன்,
யா,யாழ்வலவன்,
யா,யாழ்வல்லோன்,
யா,யாழ்வளத்தன்,
யா,யாழ்வளநாடன்,
யா,யாழ்வளவன்,
யா,யாழ்வள்ளல்,
யா,யாழ்வழுதி,
யா,யாழ்வாணன்,
யா,யாழ்வீரன்,
யா,யாழ்வெற்பன்,
யா,யாழ்வெற்றி,
யா,யாழ்வேங்கை,
யா,யாழ்வேந்தன்,
யா,யாழ்வேலன்,
யா,யாழ்வேலவன்,
யா,யாழ்வேலோன்,
யா,யாழ்வேல்,
