"தொடங்கும் எழுத்து",பெயர்,பொருள்
வ,வஞசிப்பூவன்,
வ,வஞச்ப்பொருப்பன்,
வ,வஞ்சி,"சேரநாட்டுநகர், வஞ்சிக்கொடி"
வ,வஞ்சிக்கிழான்,
வ,வஞ்சிக்கீரன்,
வ,வஞ்சிக்குன்றன்,
வ,வஞ்சிக்குமரன்,
வ,வஞ்சிக்கூத்தன்,
வ,வஞ்சிக்கேள்வன்,
வ,வஞ்சிக்கோ,
வ,வஞ்சிக்கோடன்,
வ,வஞ்சிக்கோதை,
வ,வஞ்சிக்கோன்,
வ,வஞ்சிக்கோமான்,
வ,வஞ்சிக்கோவன்,
வ,வஞ்சிச்சீரன்,
வ,வஞ்சிச்சுடர்,
வ,வஞ்சிச்சென்னி,
வ,வஞ்சிச்செம்மல்,
வ,வஞ்சிச்செல்வன்,
வ,வஞ்சிச்சேந்தன்,
வ,வஞ்சிச்சேரன்,
வ,வஞ்சித்தமிழன்,
வ,வஞ்சித்தமிழ்,
வ,வஞ்சித்தம்பி,
வ,வஞ்சித்துரை,
வ,வஞ்சித்தூயோன்,
வ,வஞ்சித்தேவன்,
வ,வஞ்சித்தோன்றல்,
வ,வஞ்சித்தோழன்,
வ,வஞ்சிநம்பி,
வ,வஞ்சிநாடன்,
வ,வஞ்சிநிலவன்,
வ,வஞ்சிநேயன்,
வ,வஞ்சிப்பரிதி,
வ,வஞ்சிப்புலவன்,
வ,வஞ்சிப்பொன்னன்,
வ,வஞ்சிப்பொருநன்,
வ,வஞ்சிப்பொறையன்,
வ,வஞ்சிப்பொழிலன்,
வ,வஞ்சிப்பொழில்,
வ,வஞ்சிமகன்,
வ,வஞ்சிமணி,
வ,வஞ்சிமதி,
வ,வஞ்சிமன்னன்,
வ,வஞ்சிமருகன்,
வ,வஞ்சிமருதன்,
வ,வஞ்சிமறவன்,
வ,வஞ்சிமலை,
வ,வஞ்சிமலையன்,
வ,வஞ்சிமல்லன்,
வ,வஞ்சிமள்ளன்,
வ,வஞ்சிமழவன்,
வ,வஞ்சிமாண்பன்,
வ,வஞ்சிமானன்,
வ,வஞ்சிமுகிலன்,
வ,வஞ்சிமுதல்வன்,
வ,வஞ்சிமுத்தன்,
வ,வஞ்சிமுத்து,
வ,வஞ்சிமுரசு,
வ,வஞ்சிமுருகன்,
வ,வஞ்சிமுருகு,
வ,வஞ்சிமைந்தன்,
வ,வஞ்சிமொழி,
வ,வஞ்சியண்ணல்,
வ,வஞ்சியன்,
வ,வஞ்சியன்பன்,
வ,வஞ்சியப்பன்,
வ,வஞ்சியரசன்,
வ,வஞ்சியரசு,
வ,வஞ்சியருவி,
வ,வஞ்சியறவோன்,
வ,வஞ்சியறிஞன்,
வ,வஞ்சியறிவன்,
வ,வஞ்சியலை,
வ,வஞ்சியழகன்,
வ,வஞ்சியழகு,
வ,வஞ்சியாளன்,
வ,வஞ்சியாழி,
வ,வஞ்சியினியன்,
வ,வஞ்சியின்பன்,
வ,வஞ்சியுழவன்,
வ,வஞ்சியூரன்,
வ,வஞ்சியெளியன்,
வ,வஞ்சியெளியோன்,
வ,வஞ்சியெழினி,
வ,வஞ்சியெழிலன்,
வ,வஞ்சியெழிலோன்,
வ,வஞ்சியேந்தல்,
வ,வஞ்சியேரன்,
வ,வஞ்சியையன்,
வ,வஞ்சிவண்ணன்,
வ,வஞ்சிவளவன்,
வ,வஞ்சிவாணன்,
வ,வஞ்சிவிறல்,
வ,வஞ்சிவீரன்,
வ,வஞ்சிவெற்பன்,
வ,வஞ்சிவேங்கை,
வ,வஞ்சிவேந்தன்,
வ,வஞ்சிவேலன்,
வ,வஞ்சிவேலோன்,
வ,வஞ்சிவேல்,
வ,வடகுன்றன்,
வ,வடக்கு,வடதிசை
வ,வடநாடன்,
வ,வடமலை,
வ,வடமலையன்,
வ,வடமளவன்,
வ,வடி,கூர்
வ,வடிவண்ணல்,
வ,வடிவரசன்,
வ,வடிவரசு,
வ,வடிவழகன்,
வ,வடிவு,
வ,வடிவுக்கரசன்,
வ,வடிவுக்குமரன்,
வ,வடிவுக்கோன்,
வ,வடிவுச்செல்வன்,
வ,வடிவுடைநம்பி,
வ,வடிவுத்தம்பி,
வ,வடிவுத்துரை,
வ,வடிவுத்தேவன்,
வ,வடிவுநம்பி,
வ,வடிவுநிலவன்,
வ,வடிவுமணி,
வ,வடிவுமதி,
வ,வடிவுவேல்,
வ,வடிவேற்கரசன்,
வ,வடிவேலன்,
வ,வடிவேலோன்,
வ,வடிவேல்,
வ,வடிவேல்முருகன்,
வ,வடிவொளி,
வ,வணக்கம்,வளைவு
வ,வணங்காமுடி,
வ,வணணைச்சேய்,
வ,வண்ணக்குன்றன்,
வ,வண்ணக்குமரன்,
வ,வண்ணக்கொடியன்,
வ,வண்ணக்கோ,
வ,வண்ணக்கோதை,
வ,வண்ணக்கோன்,
வ,வண்ணக்கோமான்,
வ,வண்ணக்கோவன்,
வ,வண்ணச்சுடரோன்,
வ,வண்ணச்சுடர்,
வ,வண்ணச்செந்தில்,
வ,வண்ணச்சென்னி,
வ,வண்ணச்செம்மல்,
வ,வண்ணச்செல்வன்,
வ,வண்ணச்செழியன்,
வ,வண்ணச்சேந்தன்,
வ,வண்ணச்சேய்,
வ,வண்ணச்சேரன்,
வ,வண்ணச்சோலையன்,
வ,வண்ணச்சோழன்,
வ,வண்ணத்தங்கன்,
வ,வண்ணத்தங்கம்,
வ,வண்ணத்தமிழன்,
வ,வண்ணத்தமிழ்,
வ,வண்ணத்தம்பி,
வ,வண்ணத்தலைவன்,
வ,வண்ணத்தாரன்,
வ,வண்ணத்திருவன்,
வ,வண்ணத்திறலோன்,
வ,வண்ணத்திறல்,
வ,வண்ணத்தீ,
வ,வண்ணத்துரை,
வ,வண்ணத்தேவன்,
வ,வண்ணநிலவன்,
வ,வண்ணன்,
வ,வண்ணப்பொழிலன்,
வ,வண்ணப்பொழில்,
வ,வண்ணமகன்,
வ,வண்ணமணி,
வ,வண்ணமதி,
வ,வண்ணமருகன்,
வ,வண்ணமருதன்,
வ,வண்ணமலை,
வ,வண்ணமலையன்,
வ,வண்ணமுகன்,
வ,வண்ணமுடி,
வ,வண்ணமுதல்வன்,
வ,வண்ணமுத்தன்,
வ,வண்ணமுத்து,
வ,வண்ணமுரசு,
வ,வண்ணமுருகன்,
வ,வண்ணமுறுவல்,
வ,வண்ணமைந்தன்,
வ,வண்ணமொழி,
வ,வண்ணம்,
வ,வண்ணவளவன்,
வ,வண்ணவாணன்,
வ,வண்ணவிழியன்,
வ,வண்ணவேந்தன்,
வ,வண்ணவேலன்,
வ,வண்ணவேலோன்,
வ,வண்ணவேல்,
வ,வண்ணவொளி,
வ,வண்ணை,ஓரூர்
வ,வண்ணைக்கிழான்,
வ,வண்ணைக்குமரன்,
வ,வண்ணைக்கூத்தன்,
வ,வண்ணைக்கேள்வன்,
வ,வண்ணைச்சீரன்,
வ,வண்ணைச்சுடரோன்,
வ,வண்ணைச்சுடர்,
வ,வண்ணைச்செம்மல்,
வ,வண்ணைச்செல்வன்,
வ,வண்ணைத்தம்பி,
வ,வண்ணைத்துரை,
வ,வண்ணைத்தென்றல்,
வ,வண்ணைத்தேவன்,
வ,வண்ணைத்தோன்றல்,
வ,வண்ணைத்தோழன்,
வ,வண்ணைநம்பி,
வ,வண்ணைநாடன்,
வ,வண்ணைநேயன்,
வ,வண்ணைப்புலவன்,
வ,வண்ணைப்பொழிலன்,
வ,வண்ணைமணி,
வ,வண்ணைமதி,
வ,வண்ணைமன்னன்,
வ,வண்ணைமறவன்,
வ,வண்ணைமானன்,
வ,வண்ணைமாறன்,
வ,வண்ணைமுதல்வன்,
