"தொடங்கும் எழுத்து",பெயர்,பொருள்
வா,வாகரை,ஓரூர்
வா,வாகரைக்காவலன்,
வா,வாகரைக்கிள்ளி,
வா,வாகரைக்கிழான்,
வா,வாகரைக்குமரன்,
வா,வாகரைக்கூத்தன்,
வா,வாகரைக்கேள்வன்,
வா,வாகரைச்சீரன்,
வா,வாகரைச்சுடரோன்,
வா,வாகரைச்சுடர்,
வா,வாகரைச்செம்மல்,
வா,வாகரைச்செல்வன்,
வா,வாகரைச்சேய்,
வா,வாகரைத்தம்பி,
வா,வாகரைத்துரை,
வா,வாகரைத்தேவன்,
வா,வாகரைத்தோன்றல்,
வா,வாகரைத்தோழன்,
வா,வாகரைநம்பி,
வா,வாகரைநல்லன்,
வா,வாகரைநாடன்,
வா,வாகரைநேயன்,
வா,வாகரைப்புலவன்,
வா,வாகரைப்பொழிலன்,
வா,வாகரைமணி,
வா,வாகரைமதி,
வா,வாகரைமானன்,
வா,வாகரைமாறன்,
வா,வாகரைமுதல்வன்,
வா,வாகரைமுத்தன்,
வா,வாகரைமுத்து,
வா,வாகரைமுருகன்,
வா,வாகரைமுருகு,
வா,வாகரைமைந்தன்,
வா,வாகரைய10ரன்,
வா,வாகரையண்ணல்,
வா,வாகரையன்,
வா,வாகரையன்பன்,
வா,வாகரையப்பன்,
வா,வாகரையரசன்,
வா,வாகரையரசு,
வா,வாகரையழகன்,
வா,வாகரையான்,
வா,வாகரைவளவன்,
வா,வாகரைவாளன்,
வா,வாகரைவிறல்,
வா,வாகரைவீரன்,
வா,வாகரைவெற்பன்,
வா,வாகரைவேந்தன்,
வா,வாகரைவேலன்,
வா,வாகரைவேலோன்,
வா,வாகரைவேல்,
வா,வாகை,
வா,வாகைக்குமரன்,
வா,வாகைக்கோ,
வா,வாகைக்கோதை,
வா,வாகைக்கோன்,
வா,வாகைக்கோமான்,
வா,வாகைக்கோவன்,
வா,வாகைசூடி,
வா,வாகைச்சுடர்,
வா,வாகைச்சென்னி,
வா,வாகைச்செல்வன்,
வா,வாகைச்செழியன்,
வா,வாகைச்சேரன்,
வா,வாகைச்சோழன்,
வா,வாகைத்தம்பி,
வா,வாகைத்துரை,
வா,வாகைத்தேவன்,
வா,வாகைநம்பி,
வா,வாகைநாடன்,
வா,வாகைநிலவன்,
வா,வாகைநெஞ்சன்,
வா,வாகைநேயன்,
வா,வாகைப்புகழன்,
வா,வாகைமகன்,
வா,வாகைமணி,
வா,வாகைமன்னன்,
வா,வாகைமருகன்,
வா,வாகைமருதன்,
வா,வாகைமறவன்,
வா,வாகைமலை,
வா,வாகைமலையன்,
வா,வாகைமல்லன்,
வா,வாகைமாண்பன்,
வா,வாகைமானன்,
வா,வாகைமார்பன்,
வா,வாகைமாறன்,
வா,வாகைமுகன்,
வா,வாகைமுதல்வன்,
வா,வாகைமுரசு,
வா,வாகைமுருகன்,
வா,வாகைமைந்தன்,
வா,வாகைய10ரான்,
வா,வாகையண்ணல்,
வா,வாகையன்,
வா,வாகையப்பன்,
வா,வாகையரசன்,
வா,வாகையரசு,
வா,வாகையாளன்,
வா,வாகைவாணன்,
வா,வாகைவீரன்,
வா,வாகைவேந்தன்,
வா,வாகைவேலன்,
வா,வாகைவேலோன்,
வா,வாகைவேல்,
வா,வாகைவேள்,
வா,வாணன்,
வா,வாணம்பி,
வா,வானமாமலை,
வா,வானவன்,
வா,வானவரம்பன்,
வா,வானிலவன்,"வானத்து நிலவு போன்றவன்"
வா,வான்,விசும்பு
வா,வான்முகிலன்,
வா,வாரி,"வருவாய், விளைவு, செல்வம்"
வா,வாரிக்குட்டி,
வா,வாரிக்குமரன்,
வா,வாரிச்செம்மல்,
வா,வாரித்தம்பி,
வா,வாரித்தேவன்,
வா,வாரிநம்பி,
வா,வாரிநாடன்,
வா,வாரிநெஞ்சன்,
வா,வாரிமணி,
வா,வாரிமாறன்,
வா,வாரிமுத்தன்,
வா,வாரிமுத்து,
வா,வாரிய10ரன்,
வா,வாரியண்ணல்,
வா,வாரியப்பன்,
வா,வாரியமுதன்,
வா,வாரியழகன்,
வா,வாரியெழினி,
வா,வாரியெழிலன்,
வா,வாரியெழிலோன்,
வா,வாரியையன்,
வா,வாள்,"போர்க் கருவிகளுள் ஒன்று"
வா,வாள்வலவன்,
வா,வாள்வளத்தன்,
வா,வாள்வளவன்,
வா,வாள்வாணன்,
வா,வாள்விறல்,
வா,வாள்வீரன்,
வா,வாள்வேந்தன்,
வா,வாழவந்தான்,
வா,வாழ்வரசன்,
வா,வாழ்வரசு,
வா,வாழ்வு,வாழ்க்கை
வா,வாவாணன்,
