"தொடங்கும் எழுத்து",பெயர்,பொருள்
வி,விடியனம்பி,
வி,விடியனாடன்,
வி,விடியற்கதிரோன்,
வி,விடியற்சுடர்,
வி,விடியலிசை,
வி,விடியலூரன்,
வி,விடியலேறு,
வி,விடியலொலி,
வி,விடியலொளி,
வி,விடியல்,
வி,விடியல்வழுதி,
வி,விடியல்வாணன்,
வி,விடியல்விரும்பி,
வி,விடியல்வேந்தன்,
வி,விடுதலை,
வி,விடுதலைநம்பி,
வி,விடுதலைவிரும்பி,
வி,விடுதலைவேந்தன்,
வி,விண்,வானம்
வி,விண்ணகன்,
வி,விண்ணவன்,
வி,விண்ணொளி,
வி,விண்மணி,
வி,விருந்தன்,
வி,விருந்து,
வி,விறன்மகன்,
வி,விறன்மணி,
வி,விறன்மலை,
வி,விறன்மாறன்,
வி,விறன்முரசு,
வி,விறற்குன்றன்,
வி,விறற்குமரன்,
வி,விறற்சுடர்,
வி,விறற்செல்வன்,
வி,விறலண்ணல்,
வி,விறலன்,
வி,விறலப்பன்,
வி,விறலரசன்,
வி,விறலரசு,
வி,விறலழகன்,
வி,விறலூரன்,
வி,விறலெழிலன்,
வி,விறலோன்,
வி,விறல்,
வி,விறல்வீரன்,
வி,விறல்வேங்கை,
வி,விறல்வேந்தன்,
வி,விறல்வேலன்,
வி,விறல்வேலோன்,
வி,விறல்வேல்,
வி,விற்கொடியோன்,
வி,வில்,
வி,வில்யாழோன்,
வி,வில்லண்ணல்,
வி,வில்லப்பன்,
வி,வில்லரசன்,
வி,வில்லரசு,
வி,வில்லழகன்,
வி,வில்லவன்,
வி,வில்லவன்கோதை,
வி,வில்லாற்றல்,
வி,வில்லாளன்,
வி,வில்லூரன்,
வி,வில்லேந்தி,
வி,வில்லேருழவன்,
வி,வில்லோன்," வில்லனையவன், வில்லையுடையவன்"
வி,வில்வல்லோன்,
வி,வில்வளத்தன்,
வி,வில்வாணன்,
வி,வில்வீரன்,
வி,வில்வேந்தன்,
வி,விளம்பி,
வி,விளம்பிநாகன்,
வி,விளம்பு,சொல்லுதல்
வி,விழி,கண்
வி,விழிமணியன்,
வி,விழியன்,
வி,விழியழகன்,
வி,விழியெழிலன்,
வி,விழியெழிலோன்,
வி,விழிவண்ணன்,
