"தொடங்கும் எழுத்து",பெயர்,பொருள்
வெ,வெங்கதிரோன்,
வெ,வெங்கதிர்,
வெ,வெஞ்சுடரோன்,
வெ,வெஞ்சுடர்,
வெ,வெடி,பிளவடைதல்
வெ,வெடியரசன்,
வெ,வெண்கதிர்,
வெ,வெண்குன்றன்,
வெ,வெண்கோ,
வெ,வெண்கோடன்,
வெ,வெண்கோன்,
வெ,வெண்கோமான்,
வெ,வெண்கோவன்,
வெ,வெண்சுடர்,
வெ,வெண்ணி,சோழநாட்டூர்
வெ,வெண்ணிக்குமரன்,
வெ,வெண்ணிச்செம்மல்,
வெ,வெண்ணிச்செல்வன்,
வெ,வெண்ணிச்செழியன்,
வெ,வெண்ணிப்புகழன்,
வெ,வெண்ணிப்புலவன்,
வெ,வெண்ணிப்பொருநன்,
வெ,வெண்ணிப்பொருப்பன்,
வெ,வெண்ணிமன்னன்,
வெ,வெண்ணிமறவன்,
வெ,வெண்ணிமாறன்,
வெ,வெண்ணிமைந்தன்,
வெ,வெண்ணியரசன்,
வெ,வெண்ணியூரன்,
வெ,வெண்ணிலவன்,
வெ,வெண்ணிவிறல்,
வெ,வெண்ணிவீரன்,
வெ,வெண்ணெஞ்சன்,
வெ,வெண்பரிதி,
வெ,வெண்பிறை,
வெ,வெண்மணி,
வெ,வெண்மதி,
வெ,வெண்மலை,
வெ,வெண்மலையன்,
வெ,வெண்முகிலன்,
வெ,வெண்முத்தன்,
வெ,வெண்முத்து,
வெ,வெண்மை,வெள்ளை
வெ,வெந்திறத்தன்,
வெ,வெந்திறலோன்,
வெ,வெந்திறல்,
வெ,வென்றி," வெற்றியுடையன்"
வெ,வென்றியன்," வெற்றியுடையன்"
வெ,வெம்பகலோன்,
வெ,வெம்பரிதி,
வெ,வெம்மை,"வெப்பம், விருப்பம்"
வெ,வெற்பன்,
வெ,வெற்பரசன்,
வெ,வெற்பரசு,
வெ,வெற்பருவி,
வெ,வெற்பழகன்,
வெ,வெற்பாளன்,
வெ,வெற்பு,
வெ,வெற்புக்கோன்,
வெ,வெற்புச்சென்னி,
வெ,வெற்புச்செம்மல்,
வெ,வெற்புச்செல்வன்,
வெ,வெற்புச்செழியன்,
வெ,வெற்புச்சேய்,
வெ,வெற்புச்சேரன்,
வெ,வெற்புச்சோழன்,
வெ,வெற்புநாடன்,
வெ,வெற்புநிலவன்,
வெ,வெற்புநெஞ்சன்,
வெ,வெற்புநேயன்,
வெ,வெற்புமகன்,
வெ,வெற்புமணி,
வெ,வெற்புமதி,
வெ,வெற்புமன்னன்,
வெ,வெற்புமருகன்,
வெ,வெற்புமறவன்,
வெ,வெற்புமல்லன்,
வெ,வெற்புமானன்,
வெ,வெற்புமார்பன்,
வெ,வெற்புமாறன்,
வெ,வெற்புமுகிலன்,
வெ,வெற்புமுதல்வன்,
வெ,வெற்புமுத்தன்,
வெ,வெற்புமுருகன்,
வெ,வெற்புவீரன்,
வெ,வெற்புவேந்தன்,
வெ,வெற்புவேலன்,
வெ,வெற்புவேலோன்,
வெ,வெற்புவேல்,
வெ,வெற்பெழிலன்,
வெ,வெற்பெழிலோன்,
வெ,வெற்றி,
வெ,வெற்றிகொண்டான்,
வெ,வெற்றிக்குன்றன்,
வெ,வெற்றிக்குமரன்,
வெ,வெற்றிக்குரிசில்,
வெ,வெற்றிக்கூத்தன்,
வெ,வெற்றிக்கொடியோன்,
வெ,வெற்றிக்கோ,
வெ,வெற்றிக்கோடன்,
வெ,வெற்றிக்கோன்,
வெ,வெற்றிக்கோமான்,
வெ,வெற்றிக்கோவன்,
வெ,வெற்றிசூடி,
வெ,வெற்றிச்சுடரோன்,
வெ,வெற்றிச்சுடர்,
வெ,வெற்றிச்சென்னி,
வெ,வெற்றிச்செம்மல்,
வெ,வெற்றிச்செல்வன்,
வெ,வெற்றிச்செழியன்,
வெ,வெற்றிச்சேய்,
வெ,வெற்றிச்சேரன்,
வெ,வெற்றிச்சோழன்,
வெ,வெற்றித்தம்பி,
வெ,வெற்றித்தாரோன்,
வெ,வெற்றித்திருவன்,
வெ,வெற்றித்திறத்தன்,
வெ,வெற்றித்திறலோன்,
வெ,வெற்றித்திறல்,
வெ,வெற்றித்துணை,
வெ,வெற்றித்துணைவன்,
வெ,வெற்றித்துரை,
வெ,வெற்றித்தேவன்,
வெ,வெற்றித்தோன்றல்,
வெ,வெற்றித்தோழன்,
வெ,வெற்றிநம்பி,
வெ,வெற்றிநல்லோன்,
வெ,வெற்றிநாடன்,
வெ,வெற்றிநிலவன்,
வெ,வெற்றிநெஞ்சன்,
வெ,வெற்றிநேயன்,
வெ,வெற்றிப்புகழன்,
வெ,வெற்றிப்புலவன்,
வெ,வெற்றிமகன்,
வெ,வெற்றிமணி,
வெ,வெற்றிமதி,
வெ,வெற்றிமன்னன்,
