"தொடங்கும் எழுத்து",பெயர்,பொருள்
வே,வேங்கை,
வே,வேங்கைக்கொடியோன்,
வே,வேங்கைத்தேவன்,
வே,வேங்கைநாடன்,
வே,வேங்கைநெஞ்சன்,
வே,வேங்கைநேயன்,
வே,வேங்கைப்புலி,
வே,வேங்கைமலை,
வே,வேங்கைமலையன்,
வே,வேங்கைமானன்,
வே,வேங்கைமார்பன்,
வே,வேங்கைமாறன்,
வே,வேங்கையன்,
வே,வேங்கைவண்ணன்,
வே,வேங்கைவளவன்,
வே,வேங்கைவழுதி,
வே,வேங்கைவாணன்,
வே,வேங்கைவீரன்,
வே,வேங்கைவெற்பன்,
வே,வேங்கைவேந்தன்,
வே,வேட்கோ,
வே,வேட்கோன்,
வே,வேண்மகன்,
வே,வேண்மணி,
வே,வேண்மதி,
வே,வேண்மன்னன்,
வே,வேண்மருகன்,
வே,வேண்மருதன்,
வே,வேண்மறவன்,
வே,வேண்மலை,
வே,வேண்மலையன்,
வே,வேண்மல்லன்,
வே,வேண்மழவன்,
வே,வேண்மா,
வே,வேண்மாண்பன்,
வே,வேண்மானன்,
வே,வேண்மார்பன்,
வே,வேண்மாறன்,
வே,வேந்தனார்,
வே,வேந்தன்,
வே,வேந்தர்வேந்தன்,
வே,வேம்பனம்பி,
வே,வேம்பனாடன்,
வே,வேம்பன்,
வே,வேம்பன்மணி,
வே,வேம்பன்மாறன்,
வே,வேம்பன்முடி,
வே,வேம்பன்முத்தன்,
வே,வேம்பன்முத்து,
வே,வேம்பன்முரசு,
வே,வேம்பன்மைந்தன்,
வே,வேம்பன்வழுதி,
வே,வேம்பையன்,
வே,வேயோன்,
வே,வேரனம்பி,
வே,வேரனாடன்,
வே,வேரற்காடன்,
வே,வேரலமுதன்,
வே,வேரலமுது,
வே,வேரலிசை,
வே,வேரலூரன்,
வே,வேரலொலி,
வே,வேரல்,மூங்கில்
வே,வேலண்ணல்,
வே,வேலன்,
வே,வேலன்பன்,
வே,வேலப்பன்,
வே,வேலமுதன்,
வே,வேலரசன்,
வே,வேலரசு,
வே,வேலருவி,
வே,வேலறிஞன்,
வே,வேலறிவன்,
வே,வேலவன்,
வே,வேலாளன்,
வே,வேலுப்பிள்ளை,
வே,வேலூரன்,
வே,வேலெழிலன்,
வே,வேலெழிலோன்,
வே,வேலேந்தல்,
வே,வேலேந்தி,
வே,வேலையன்,
வே,வேலொளி,
வே,வேலோன்,
வே,வேல்,
வே,வேல்முருகன்,
வே,வேல்முருகு,
வே,வேல்வண்ணன்,
வே,வேல்வலவன்,
வே,வேல்வளநாடன்,
வே,வேல்வளவன்,
வே,வேல்வழுதி,
வே,வேல்வீரன்,
வே,வேல்வெற்பன்,
வே,வேல்வேங்கை,
வே,வேல்வேந்தன்,
வே,வேளண்ணல்,
வே,வேளன்,
வே,வேளன்பன்,
வே,வேளப்பன்,
வே,வேளமுதன்,
வே,வேளரசன்,
வே,வேளரசு,
வே,வேளருவி,
வே,வேளறிஞன்,
வே,வேளறிவன்,
வே,வேளிர்," தமிழ்க்குறுநிலமன்னர் குலப்பெயர்"
வே,வேளூரன்,
வே,வேள்,
வே,வேள்பாரி,
வே,வேள்வளவன்,
வே,வேள்வழுதி,
வே,வேள்வாணன்,
வே,வேள்வீரன்,
வே,வேள்வெற்பன்,
வே,வேள்வேங்கை,
வே,வேள்வேந்தன்,
வே,வேழக்கொடியோன்,
வே,வேழக்கோ,
வே,வேழக்கோன்,
வே,வேழக்கோமான்,
வே,வேழக்கோவன்,
வே,வேழச்செம்மல்,
வே,வேழச்செல்வன்,
வே,வேழச்செழியன்,
வே,வேழச்சேய்,
வே,வேழச்சேரன்,
வே,வேழச்சோழன்,
வே,வேழத்தம்பி,
வே,வேழத்திறத்தன்,
வே,வேழத்திறல்,
வே,வேழத்தேவன்,
வே,வேழநம்பி,
வே,வேழநாடன்,
வே,வேழநெஞ்சன்,
வே,வேழநேயன்,
வே,வேழமகன்,
வே,வேழமணி,
வே,வேழமன்னன்,
வே,வேழமருகன்,
வே,வேழமருதன்,
வே,வேழமறவன்,
வே,வேழமலை,
வே,வேழமலையன்,
வே,வேழமல்லன்,
வே,வேழமழவன்,
வே,வேழமாண்பன்,
வே,வேழமானன்,
வே,வேழமார்பன்,
வே,வேழமாறன்,
வே,வேழமுகன்,
வே,வேழமுகிலன்,
வே,வேழமுதல்வன்,
வே,வேழமுத்தன்,
வே,வேழமுத்து,
வே,வேழமுரசு,
வே,வேழமுருகன்,
வே,வேழமைந்தன்,
வே,வேழம்,"மூங்கில், கரும்பு, யானை"
வே,வேழவளத்தன்,
வே,வேழவளநாடன்,
வே,வேழவளவன்,
வே,வேழவழுதி,
வே,வேழவாணன்,
வே,வேழவீரன்,
வே,வேழவெற்பன்,
வே,வேழவேந்தன்,
