"தொடங்கும் எழுத்து",பெயர்,பொருள்
வை,வைகறை,
வை,வைகறைக்கதிரோன்,
வை,வைகறைப்பரிதி,
வை,வைகறையொளி,
வை,வைகறைவாணன்,
வை,வைகை,
வை,வைகைக்கிழான்,
வை,வைகைக்குமரன்,
வை,வைகைக்கோ,
வை,வைகைக்கோன்,
வை,வைகைக்கோமான்,
வை,வைகைச்சுடர்,
வை,வைகைச்செம்மல்,
வை,வைகைச்செல்வன்,
வை,வைகைத்தமிழ்,
வை,வைகைத்தென்றல்,
வை,வைகைத்தேவன்,
வை,வைகைநம்பி,
வை,வைகைநாடன்,
வை,வைகைநேயன்,
வை,வைகைப்பாண்டியன்,
வை,வைகைப்புலவன்,
வை,வைகைமன்னன்,
வை,வைகைமாறன்,
வை,வைகைமைந்தன்,
வை,வைகைமொழி,
வை,வைகையண்ணல்,
வை,வைகையமுதன்,
வை,வைகையரசன்,
வை,வைகையரசு,
வை,வைகையருவி,
வை,வைகையூரன்,
வை,வைகைவளவன்,
வை,வைகைவழுதி,
வை,வைகைவாணன்,
வை,வைகைவிறல்,
வை,வைகைவீரன்,
வை,வைகைவெற்பன்,
வை,வைகைவேங்கை,
வை,வைகைவேந்தன்,
வை,வைகைவேலன்,
வை,வைரமுத்து,
வை,வைரவன்,"வைரம் போன்றவன்"
