letter,name,meaning
‌,‌ அறமுரைத்தான்‌,
௨,௨ள்ளிநாயகம,
அ,அகக்கடல்,
அ,அகக்கண்ணன்,
அ,அகக்கதிர்,
அ,அகக்கலைஞன்,
அ,அகக்கீரன்,
அ,அகக்குன்றன்,
அ,அகக்குமரன்,
அ,அகக்கோ,
அ,அகக்கோன்,
அ,அகக்கோமான்,
அ,அகக்கோவன்,
அ,அகங்கிள்ளி,
அ,அகச்சுடரோன்,
அ,அகச்சுடர்,
அ,அகச்சுனை,
அ,அகச்சுனையான்,
அ,அகச்செம்மல்,
அ,அகச்செல்வன்,
அ,அகச்செழியன்,
அ,அகச்சேய்,
அ,அகச்சேரன்,
அ,அகச்சோலை,
அ,அகச்சோலையன்,
அ,அகச்சோழன்,
அ,அகஞ்சின்,நிலம்
அ,அகத்தகை,
அ,அகத்தகையன்,
அ,அகத்தன்,
அ,அகத்தன்பன்,
அ,அகத்தம்பி,
அ,அகத்தரசன்,
அ,அகத்தரசு,
அ,அகத்தரியன்,
அ,அகத்தறிவன்,
அ,அகத்தறிவு,
அ,அகத்தழகன்,
அ,அகத்தழகு,
அ,அகத்தானையன்,
அ,அகத்தியன்,
அ,அகத்திருவன்,
அ,அகத்திறத்தன்,
அ,அகத்திறலோன்,
அ,அகத்திறல்,
அ,அகத்தீ,
அ,அகத்துணை,
அ,அகத்துணைவன்,
அ,அகத்துரை,
அ,அகத்துறை,
அ,அகத்தூயன்,
அ,அகத்தூயவன்,
அ,அகத்தூயோன்,
அ,அகத்தென்றல்,
அ,அகத்தெய்வம்,
அ,அகத்தேன்,
அ,அகத்தேறல்,
அ,அகத்தேவன்,
அ,அகத்தோணி,
அ,அகத்தோன்றல்,
அ,அகநம்பி,
அ,அகநல்லன்,
அ,அகநல்லோன்,
அ,அகநாடன்,
அ,அகநிலவன்,
அ,அகநிலவு,
அ,அகநெஞ்சன்,
அ,அகநெறியன்,
அ,அகநேயன்,
அ,அகநேரியன்,
அ,அகந்தூயன்,
அ,அகனந்தில்,நிலம்
அ,அகனன்,நிலம்
அ,அகனன்பன்,
அ,அகனன்பு,
அ,அகனன்பு,
அ,அகனப்பன்,
அ,அகனமுதன்,
அ,அகனமுது,
அ,அகனம்பி,
அ,அகனரசன்,
அ,அகனரசு,
அ,அகனரியன்,
அ,அகனருவி,
அ,அகனறவன்,
அ,அகனறவன்,
அ,அகனறவோன்,
அ,அகனறிஞன்,
அ,அகனறிவன்,
அ,அகனறிவன்,
அ,அகனறிவு,
அ,அகனலை,
அ,அகனல்லன்,
அ,அகனல்லோன்,
அ,அகனழகன்,
அ,அகனழகு,
அ,அகனா,நிலம்
அ,அகனாகன்,
அ,அகனாடன்,
அ,அகனாடன்,
அ,அகனாற்றலன்,
அ,அகனாற்றலன்,
அ,அகனாற்றல்,
அ,அகனாளன்,
அ,அகனாழி,
அ,அகனாவன்,
அ,அகனி,நிலம்
அ,அகனிகன்,நிலம்
அ,அகனிசின்,நிலம்
அ,அகனிசை,
அ,அகனிசைஞன்,
அ,அகனினியன்,
அ,அகனின்பன்,
அ,அகனின்பன்,
