"தொடங்கும் எழுத்து",பெயர்,பொருள்
அ,அகக்கடல்,
அ,அகக்கணை,
அ,அகக்கண்ணி,
அ,அகக்கண்ணு,
அ,அகக்கதிர்,
அ,அகக்கனல்,
அ,அகக்கனி,
அ,அகக்கலை,
அ,அகக்கிளி,
அ,அகக்கிள்ளை,
அ,அகக்குயில்,
அ,அகக்கொடி,
அ,அகக்கொன்றை,
அ,அகக்கொழுந்து,
அ,அகக்கோதை,
அ,அகச்சாந்து,
அ,அகச்சிட்டு,
அ,அகச்சுடர்,
அ,அகச்சுனை,
அ,அகச்சுரபி,
அ,அகச்செல்வம்,
அ,அகச்செல்வி,
அ,அகச்சேய்,
அ,அகச்சொல்,
அ,அகச்சோலை,
அ,அகத்தகை,
அ,அகத்தகையள்,
அ,அகத்தங்கம்,
அ,அகத்தங்கை,
அ,அகத்தணல்,
அ,அகத்தமிழ்,
அ,அகத்தலைவி,
அ,அகத்தள்,
அ,அகத்தழல்,
அ,அகத்தழை,
அ,அகத்தாமரை,
அ,அகத்தாய்,
அ,அகத்தாள்,
அ,அகத்தி,
அ,அகத்திறல்,
அ,அகத்துணை,
அ,அகத்துறை,
அ,அகத்தென்றல்,
அ,அகத்தேன்,
அ,அகத்தேவி,
அ,அகத்தோகை,
அ,அகநகை,
அ,அகநங்கை,
அ,அகநல்லள்,
அ,அகநிலவு,
அ,அகநிலா,
அ,அகநெஞ்சள்,
அ,அகநெறி,
அ,அகநேரியள்,
அ,அகந்தூயள்,
அ,அகனகை,
அ,அகனங்கை,
அ,அகனணி,
அ,அகனன்னி,
அ,அகனன்னை,
அ,அகனன்பு,
அ,அகனமுது,
அ,அகனம்மை,
அ,அகனரசி,
அ,அகனரசு,
அ,அகனரண்,
அ,அகனரி,
அ,அகனருவி,
அ,அகனறிவு,
அ,அகனலரி,
அ,அகனலை,
அ,அகனல்லள்,
அ,அகனல்லி,
அ,அகனழகி,
அ,அகனழகு,
அ,அகனாச்சி,
அ,அகனாற்றல்,
அ,அகனாழி,
அ,அகனிசை,
அ,அகனினியள்,
அ,அகனினியாள்,
அ,அகனின்பம்,
அ,அகனிறைவி,
அ,அகனிலவு,
அ,அகனிலா,
அ,அகனிழை,
அ,அகனிழையாள்,
அ,அகனுடையாள்,
அ,அகனுரு,
அ,அகனூராள்,
அ,அகனெஞ்சள்,
அ,அகனெய்தல்,
அ,அகனெரி,
அ,அகனெறி,
அ,அகனெழினி,
அ,அகனெழிலி,
அ,அகனெழில்,
அ,அகனேரி,
அ,அகனேரியள்,
அ,அகனொலி,
அ,அகனொளி,
அ,அகனோவியம்,
அ,அகன்கனல்,
அ,அகன்கனி,
