"தொடங்கும் எழுத்து",பெயர்,பொருள்
ஆ,ஆசை,
ஆ,ஆசைக்கண்ணி,
ஆ,ஆசைக்கண்ணு,
ஆ,ஆசைக்கனி,
ஆ,ஆசைக்கிளி,
ஆ,ஆசைக்குயில்,
ஆ,ஆசைக்குரல்,
ஆ,ஆசைக்குழல்,
ஆ,ஆசைக்கொடி,
ஆ,ஆசைச்சிட்டு,
ஆ,ஆசைச்செல்வி,
ஆ,ஆசைத்தங்கம்,
ஆ,ஆசைத்தங்கை,
ஆ,ஆசைத்தமிழ்,
ஆ,ஆசைத்தாய்,
ஆ,ஆசைத்திரு,
ஆ,ஆசைத்தேன்,
ஆ,ஆசைநிலவு,
ஆ,ஆசைநிலா,
ஆ,ஆசைப்பழம்,
ஆ,ஆசைப்பிறை,
ஆ,ஆசைப்பிள்ளை,
ஆ,ஆசைப்பொன்,
ஆ,ஆசைமணி,
ஆ,ஆசைமதி,
ஆ,ஆசைமயில்,
ஆ,ஆசைமருதம்,
ஆ,ஆசைமலர்,
ஆ,ஆசைமான்,
ஆ,ஆசைமாலை,
ஆ,ஆசைமுத்து,
ஆ,ஆசைமுறுவல்,
ஆ,ஆசைமொழி,
ஆ,ஆசையணி,
ஆ,ஆசையமுதம்,
ஆ,ஆசையமுது,
ஆ,ஆசையெழில்,
ஆ,ஆசையொளி,
ஆ,ஆசையோதி,
ஆ,ஆசைவடிவு,
ஆ,ஆசைவல்லி,
ஆ,ஆசைவளை,
ஆ,ஆசைவள்ளி,
ஆ,ஆசைவாரி,
ஆ,ஆசைவிளக்கு,
ஆ,ஆசைவிழி,
ஆ,ஆசைவெண்ணி,
ஆ,ஆசைவெள்ளி,
ஆ,ஆசைவேல்,
ஆ,ஆடன்மகள்,
ஆ,ஆடன்மணி,
ஆ,ஆடன்மயில்,
ஆ,ஆடன்முத்து,
ஆ,ஆடற்செல்வி,
ஆ,ஆடலன்னை,
ஆ,ஆடலன்பு,
ஆ,ஆடலமுதம்,
ஆ,ஆடலமுது,
ஆ,ஆடலம்மை,
ஆ,ஆடலரசி,
ஆ,ஆடலரசு,
ஆ,ஆடலறிவு,
ஆ,ஆடலழகி,
ஆ,ஆடலழகு,
ஆ,ஆடலினியாள்,
ஆ,ஆடலின்பம்,
ஆ,ஆடலிறைவி,
ஆ,ஆடலொளி,
ஆ,ஆடலோவியம்,
ஆ,ஆடல்,
ஆ,ஆடல்வடிவு,
ஆ,ஆடல்வாணி,
ஆ,ஆட்சி,
ஆ,ஆட்சிக்கலை,
ஆ,ஆட்சிக்குயில்,
ஆ,ஆட்சிக்குரல்,
ஆ,ஆட்சிச்செல்வி,
ஆ,ஆட்சித்தகை,
ஆ,ஆட்சித்திரு,
ஆ,ஆட்சித்திறல்,
ஆ,ஆட்சிநங்கை,
ஆ,ஆட்சிநெறி,
ஆ,ஆட்சிப்புகழ்,
ஆ,ஆட்சிமுடி,
ஆ,ஆட்சிமுத்து,
ஆ,ஆட்சிமொழி,
ஆ,ஆட்சியமுதம்,
ஆ,ஆட்சியமுது,
ஆ,ஆட்சியறிவு,
ஆ,ஆட்சியழகி,
ஆ,ஆட்சியழகு,
ஆ,ஆட்சியாற்றல்,
ஆ,ஆட்சியெழிலி,
ஆ,ஆட்சியெழில்,
ஆ,ஆட்சியொளி,
ஆ,ஆட்சியோவியம்,
ஆ,ஆட்டநத்தி,
ஆ,ஆண்டாள்,
ஆ,ஆத்தி,"ஒருமரம்,ஓரிடம்"
ஆ,ஆத்திக்கிளி,
ஆ,ஆத்திக்குயில்,
ஆ,ஆத்திக்கோதை,
ஆ,ஆத்திசூடி,
ஆ,ஆத்திச்செல்வி,
ஆ,ஆத்திநங்கை,
ஆ,ஆத்திமகள்,
ஆ,ஆத்திமங்கை,
ஆ,ஆத்திமணி,
ஆ,ஆத்திமயில்,
ஆ,ஆத்திமலர்,
ஆ,ஆத்திமலை,
ஆ,ஆத்திமாலை,
ஆ,ஆத்திமுத்து,
ஆ,ஆத்தியம்மை,
ஆ,ஆத்தியாள்,
ஆ,ஆத்தியூராள்,
ஆ,ஆமபல்வாணி,
ஆ,ஆம்பனகை,
ஆ,ஆம்பன்மலர்,
ஆ,ஆம்பன்மாலை,
ஆ,ஆம்பன்மொட்டு,
ஆ,ஆம்பற்குளத்தள்,
ஆ,ஆம்பற்குழலி,
ஆ,ஆம்பற்குழல்,
ஆ,ஆம்பற்கொடி,
ஆ,ஆம்பற்கோதை,
ஆ,ஆம்பற்செல்வி,
ஆ,ஆம்பற்சேய்,
ஆ,ஆம்பலமுதம்,
ஆ,ஆம்பலமுது,
ஆ,ஆம்பலழகி,
ஆ,ஆம்பலிசை,
ஆ,ஆம்பல்,"கொடி, எண"
ஆ,ஆம்பல்வல்லி,
ஆ,ஆம்பல்வள்ளி,
ஆ,ஆயக்கனி,
ஆ,ஆயக்கிளி,
ஆ,ஆயக்குயில்,
ஆ,ஆயச்சுடர்,
ஆ,ஆயச்செல்வி,
ஆ,ஆயணி,
ஆ,ஆயத்தி,
ஆ,ஆயத்திரு,
ஆ,ஆயத்துணை,
ஆ,ஆயத்துறை,
ஆ,ஆயன்பு,
ஆ,ஆயப்பண்,
ஆ,ஆயப்புணை,
ஆ,ஆயப்பொன்,
ஆ,ஆயமங்கை,
ஆ,ஆயமடந்தை,
ஆ,ஆயமணி,
ஆ,ஆயமருதம்,
ஆ,ஆயமலர்,
ஆ,ஆயமலை,
ஆ,ஆயமாலை,
ஆ,ஆயமுதம்,
ஆ,ஆயமுது,
ஆ,ஆயமுத்து,
ஆ,ஆயமுல்லை,
ஆ,ஆயம்,மகளிர்கூட்டம்
ஆ,ஆயம்மா,
ஆ,ஆயம்மை,
ஆ,ஆயரசி,
ஆ,ஆயரண்,
ஆ,ஆயரி,
ஆ,ஆயறிவு,
ஆ,ஆயவடிவு,
ஆ,ஆயவணி,
ஆ,ஆயவன்னை,
ஆ,ஆயவல்லி,
ஆ,ஆயவள்ளி,
ஆ,ஆயவழகி,
ஆ,ஆயவாணி,
ஆ,ஆயவாரி,
ஆ,ஆயவிளக்கு,
ஆ,ஆயவெழில்,
ஆ,ஆயவேல்,
ஆ,ஆயாள்,
ஆ,ஆயிதழ்,
ஆ,ஆயினியாள்,
ஆ,ஆயிழை,
ஆ,ஆயெயினி,
ஆ,ஆயெரி,
ஆ,ஆயெழினி,
ஆ,ஆயெழில்,
ஆ,ஆயொளி,
ஆ,ஆயோதி,
ஆ,ஆயோவியம்,
ஆ,ஆய்,
ஆ,ஆய்கணை,
ஆ,ஆய்கலம்,
ஆ,ஆய்கலை,
ஆ,ஆய்குழல்,
ஆ,ஆய்குழை,
ஆ,ஆய்கொடி,
ஆ,ஆய்சுடர்,
ஆ,ஆய்சுனை,
ஆ,ஆய்ச்சி,
ஆ,ஆய்தமிழ்,
ஆ,ஆய்தழை,
ஆ,ஆய்துணை,
ஆ,ஆய்துறை,
ஆ,ஆய்தொடி,
ஆ,ஆய்தொடை,
ஆ,ஆய்நிலவு,
ஆ,ஆய்நிலா,
ஆ,ஆய்பிறை,
ஆ,ஆய்புகழ்,
ஆ,ஆய்புணை,
ஆ,ஆய்புதுமை,
ஆ,ஆய்புனல்,
ஆ,ஆய்புன்னை,
ஆ,ஆய்புலமை,
ஆ,ஆய்பொன்,
ஆ,ஆய்பொன்னி,
ஆ,ஆய்பொறை,
ஆ,ஆய்பொழில்,
ஆ,ஆய்மகள்,
ஆ,ஆய்மணி,
ஆ,ஆய்மதி,
ஆ,ஆய்மனை,
ஆ,ஆய்மயில்,
ஆ,ஆய்மருதம்,
ஆ,ஆய்மறை,
ஆ,ஆய்மலர்,
ஆ,ஆய்மலை,
ஆ,ஆய்மான்,
ஆ,ஆய்மாலை,
ஆ,ஆய்மொழி,
ஆ,ஆய்வடிவு,
ஆ,ஆய்வயல்,
ஆ,ஆய்வல்லி,
ஆ,ஆய்வளை,
ஆ,ஆய்வள்ளி,
ஆ,ஆய்விழி,
ஆ,ஆய்வேல்,
ஆ,ஆரணி,
ஆ,ஆரத்தி,
ஆ,ஆரன்பு,
ஆ,ஆரமுது,
ஆ,ஆரரசு,
ஆ,ஆரரண்,
ஆ,ஆரருவி,
ஆ,ஆரறிவு,
ஆ,ஆரலை,
ஆ,ஆரழகி,
ஆ,ஆரழகு,
ஆ,ஆரவல்லி,
ஆ,ஆராற்றல்,
ஆ,ஆராழி,
ஆ,ஆரிசை,
ஆ,ஆரின்பம்,
ஆ,ஆரிழை,
ஆ,ஆருரு,
ஆ,ஆரூராள்,
ஆ,ஆரெரி,
ஆ,ஆரெழிலி,
ஆ,ஆரெழில்,
ஆ,ஆரொளி,
ஆ,ஆரோதி,
ஆ,ஆரோவியம்,
ஆ,ஆர்," அருமை, நிறைதல், ஒலித்தல், அழகு"
ஆ,ஆர்கடல்,
ஆ,ஆர்கணை,
ஆ,ஆர்கதிர்,
ஆ,ஆர்கனி,
ஆ,ஆர்கயம்,
ஆ,ஆர்கலி,
ஆ,ஆர்கலை,
ஆ,ஆர்கழனி,
ஆ,ஆர்கழல்,
ஆ,ஆர்கிணை,
ஆ,ஆர்கிளி,
ஆ,ஆர்குயில்,
ஆ,ஆர்குரல்,
ஆ,ஆர்குழலி,
ஆ,ஆர்குழல்,
ஆ,ஆர்குழை,
ஆ,ஆர்கொடி,
ஆ,ஆர்கொன்றை,
ஆ,ஆர்கோதை,
ஆ,ஆர்சந்தனம்,
ஆ,ஆர்சாந்து,
ஆ,ஆர்சிலம்பு,
ஆ,ஆர்சுடர்,
ஆ,ஆர்சுனை,
ஆ,ஆர்சுரபி,
ஆ,ஆர்தகை,
ஆ,ஆர்தமிழ்,
ஆ,ஆர்தழல்,
ஆ,ஆர்தழை,
ஆ,ஆர்திரு,
