"தொடங்கும் எழுத்து",பெயர்,பொருள்
இ,இகலணி,
இ,இகலம்மை,
இ,இகலரசி,
இ,இகலரசு,
இ,இகலரி,
இ,இகலாற்றல்,
இ,இகலாழி,
இ,இகல்,
இ,இகல்வேங்கை,
இ,இகல்வேல்,
இ,இசை," புகழ்"
இ,இசைக்கடல்,
இ,இசைக்கனி,
இ,இசைக்கலம்,
இ,இசைக்கலை,
இ,இசைக்கிளி,
இ,இசைக்கிள்ளை,
இ,இசைக்குட்டி,
இ,இசைக்குயில்,
இ,இசைக்குரல்,
இ,இசைக்கொடி,
இ,இசைக்கொழுந்து,
இ,இசைச்சிட்டு,
இ,இசைச்சிலம்பு,
இ,இசைச்சுடர்,
இ,இசைச்செல்வம்,
இ,இசைச்செல்வி,
இ,இசைச்சொல்,
இ,இசைத்தமிழ்,
இ,இசைத்திரு,
இ,இசைத்திறல்,
இ,இசைத்தென்றல்,
இ,இசைத்தேன்,
இ,இசைத்தேவி,
இ,இசைநகை,
இ,இசைநங்கை,
இ,இசைநன்னி,
இ,இசைநல்லள்,
இ,இசைநாச்சி,
இ,இசைநிலவு,
இ,இசைநிலா,
இ,இசைநெஞ்சள்,
இ,இசைநெறி,
இ,இசைபாடி,
இ,இசைபாடினி,
இ,இசைப்பரிதி,
இ,இசைப்பழம்,
இ,இசைமகள்,
இ,இசைமங்கை,
இ,இசைமடந்தை,
இ,இசைமணி,
இ,இசைமதி,
இ,இசைமயில்,
இ,இசைமருதம்,
இ,இசைமலர்,
இ,இசைமாமணி,
இ,இசைமாமதி,
இ,இசைமாமயில்,
இ,இசைமாரி,
இ,இசைமாலை,
இ,இசைமீன்,
இ,இசைமுகில்,
இ,இசைமுடி,
இ,இசைமுத்து,
இ,இசைமுரசு,
இ,இசைமுறுவல்,
இ,இசைமுல்லை,
இ,இசைமேழி,
இ,இசைமொட்டு,
இ,இசைமொழி,
இ,இசையணி,
இ,இசையன்னை,
இ,இசையன்பு,
இ,இசையமுதம்,
இ,இசையமுது,
இ,இசையம்மை,
இ,இசையரசி,
இ,இசையரசு,
இ,இசையருவி,
இ,இசையறிவு,
இ,இசையலை,
இ,இசையல்லி,
இ,இசையள்,
இ,இசையழகி,
இ,இசையழகு,
இ,இசையாற்றல்,
இ,இசையாழ்,
இ,இசையினியள்,
இ,இசையினியாள்,
இ,இசையின்பம்,
இ,இசையுடையாள்,
இ,இசையுரு,
இ,இசையூராள்,
இ,இசையெழினி,
இ,இசையெழிலி,
இ,இசையெழில்,
இ,இசையேந்தி,
இ,இசையொலி,
இ,இசையொளி,
இ,இசையோவியம்,
இ,இசைவடிவு,
இ,இசைவல்லாள்,
இ,இசைவல்லி,
இ,இசைவளை,
இ,இசைவள்ளி,
இ,இசைவாகை,
இ,இசைவாணி,
இ,இசைவானம்,
இ,இசைவாரி,
இ,இசைவிறலி,
இ,இசைவிறல்,
இ,இசைவிளக்கு,
இ,இசைவிழி,
இ,இசைவெற்றி,
இ,இசைவேங்கை,
இ,இசைவேல்,
இ,இடை," மருங்கு, நடு"
இ,இடைக்காடள்,
இ,இடைக்குடிமகள்,
இ,இடைச்சி,
இ,இடைச்செல்வி,
இ,இடைநல்லள்,
இ,இடைமகள்,
இ,இடையணி,
இ,இடையழகி,
இ,இடையினியள்,
இ,இடையூராள்,
இ,இடையெழிலி,
இ,இடையெழில்,
இ,இடைவல்லி,
இ,இடைவள்ளி,
இ,இணரமுதம்,
இ,இணரமுது,
இ,இணரெரி,
இ,இணர்,கொத்து
இ,இணர்க்காந்தள்,
இ,இணர்க்குறிஞ்சி,
இ,இணர்க்கூந்தல்,
இ,இணர்க்கொன்றை,
இ,இணர்நொச்சி,
இ,இணர்ப்புன்னை,
இ,இணர்ப்பூ,
இ,இணர்மலர்,
இ,இணர்முல்லை,
இ,இணை,"துணை, பிணைப்பு, இரண்டு"
இ,இணைக்கயல்,
இ,இணைக்கிளி,
இ,இணைக்குயில்,
இ,இணைச்சிலம்பு,
இ,இணைமணி,
இ,இணைமயில்,
இ,இணைமான்,
இ,இணைமாலை,
இ,இணைமுத்து,
இ,இணைமுரசு,
இ,இணையணி,
இ,இணையமுது,
இ,இணையாற்றல்,
இ,இணைவடிவு,
இ,இணைவல்லி,
இ,இதழமுதம்,
இ,இதழமுது,
இ,இதழல்லி,
இ,இதழி,
இ,இதழினியள்,
இ,இதழின்பம்,
இ,இதழ்,"அல்லி, பூவின் தோடு"
இ,இதழ்க்குறிஞ்சி,
இ,இதழ்க்கொன்றை,
இ,இதழ்மலர்,
இ,இத்தி," ஒருவகைமரம்"
இ,இத்திக்கிளி,
இ,இத்திக்கிள்ளை,
இ,இத்திக்குயில்,
இ,இத்திக்குளத்தள்,
இ,இத்திச்சாரல்,
இ,இத்திச்சிட்டு,
இ,இத்திச்சுடர்,
இ,இத்திச்செல்வம்,
இ,இத்திச்செல்வி,
இ,இத்திச்சேய்,
இ,இத்திச்சோலை,
இ,இத்தித்தாய்,
இ,இத்திநங்கை,
இ,இத்திநன்னி,
இ,இத்திநல்லாள்,
இ,இத்திப்பூவை,
இ,இத்திப்பொழில்,
இ,இத்திமகள்,
இ,இத்திமங்கை,
இ,இத்திமடந்தை,
இ,இத்திமணி,
இ,இத்திமலை,
இ,இத்தியணி,
இ,இத்தியமுதம்,
இ,இத்தியமுது,
இ,இத்தியம்மை,
இ,இத்தியரசி,
இ,இத்தியூராள்,
இ,இனமலர்,
இ,இனி," பெண்பாற் பின்னொட்டு"
இ,இனிமை,
இ,இனிமைத்தமிழ்,
இ,இனியள்," இனியவள்"
இ,இனியவள்,
இ,இனியாள்," இனியவள்"
இ,இன்கடல்,
