"தொடங்கும் எழுத்து",பெயர்,பொருள்
ஈ,ஈகக்கடல்,
ஈ,ஈகக்கதிர்,
ஈ,ஈகக்கனல்,
ஈ,ஈகக்கிளி,
ஈ,ஈகக்குயில்,
ஈ,ஈகக்கொடி,
ஈ,ஈகக்கொழுந்து,
ஈ,ஈகச்சிட்டு,
ஈ,ஈகச்சுடர்,
ஈ,ஈகச்சுனை,
ஈ,ஈகச்செல்வி,
ஈ,ஈகநங்கை,
ஈ,ஈகநாச்சி,
ஈ,ஈகநிலவு,
ஈ,ஈகநிலா,
ஈ,ஈகநெஞ்சள்,
ஈ,ஈகநெறி,
ஈ,ஈகப்புகழ்,
ஈ,ஈகப்புணை,
ஈ,ஈகப்புனல்,
ஈ,ஈகமங்கை,
ஈ,ஈகமணி,
ஈ,ஈகமதி,
ஈ,ஈகமயில்,
ஈ,ஈகமலர்,
ஈ,ஈகமலை,
ஈ,ஈகமாலை,
ஈ,ஈகமுகில்,
ஈ,ஈகமுடி,
ஈ,ஈகமுத்து,
ஈ,ஈகமுரசு,
ஈ,ஈகம்,
ஈ,ஈகவடிவு,
ஈ,ஈகவணி,
ஈ,ஈகவன்னை,
ஈ,ஈகவமுது,
ஈ,ஈகவல்லி,
ஈ,ஈகவளை,
ஈ,ஈகவள்ளி,
ஈ,ஈகவழகி,
ஈ,ஈகவாகை,
ஈ,ஈகவாணி,
ஈ,ஈகவாரி,
ஈ,ஈகவாழி,
ஈ,ஈகவிளக்கு,
ஈ,ஈகவெரி,
ஈ,ஈகவெற்றி,
ஈ,ஈகவெழினி,
ஈ,ஈகவெழிலி,
ஈ,ஈகவேங்கை,
ஈ,ஈகவேரி,
ஈ,ஈகவேல்,
ஈ,ஈகவொளி,
ஈ,ஈகை,கொடை
ஈ,ஈகைக்கடல்,
ஈ,ஈகைக்கனி,
ஈ,ஈகைக்கலம்,
ஈ,ஈகைக்கிளி,
ஈ,ஈகைக்குயில்,
ஈ,ஈகைக்கொடி,
