"தொடங்கும் எழுத்து",பெயர்,பொருள்
உ,உடையாள்,
உ,உணர்வம்மை,
உ,உணர்வரசி,
உ,உணர்வாழி,
உ,உணர்வினியாள்,
உ,உணர்வின்பம்,
உ,உணர்வு,
உ,உணர்வெரி,
உ,உணர்வொளி,
உ,உமை,
உ,உமையம்மை,
உ,உமையரசி,
உ,உமையாள்,
உ,உயிரொளி,
உ,உயிரோவியம்,
உ,உயிர்,அறிவு
உ,உரவு,
உ,உரவுடையாள்,
உ,உரு," வடிவம்"
உ,உலகமணி,
உ,உலகமலர்,
உ,உலகமாதேவி,
உ,உலகமாமணி,
உ,உலகமாமதி,
உ,உலகமாமயில்,
உ,உலகமாலை,
உ,உலகமுடையாள்,
உ,உலகமுத்து,
உ,உலகம்,
உ,உலகம்மை,
உ,உலகவாணி,
உ,உழத்தி,
உ,உழவமுது,
உ,உழவம்மை,
உ,உழவரசி,
உ,உழவு,ஏர்த்தொழில்
உ,உழவுக்கனி,
உ,உழவுச்செல்வி,
உ,உழவுத்தாய்,
உ,உழவுத்திரு,
உ,உழவொளி,
உ,உழிஞை,
