"தொடங்கும் எழுத்து",பெயர்,பொருள்
எ,எகினம்,
எ,எண்,"எண்ணம், இலக்கம்"
எ,எண்கடல்,
எ,எண்சுடர்,
எ,எண்ணறிவு,
எ,எண்ணாற்றல்,
எ,எண்ணாழி,
எ,எண்ணொளி,
எ,எண்ணோவியம்,
எ,எண்வல்லாள்,
எ,எண்வல்லி,
எ,என்னகை,
எ,என்னிலவு,
எ,என்னிலா,
எ,என்மணி,
எ,என்மதி,
எ,என்மலர்,
எ,என்முத்து,
எ,எயினி,
எ,எரி,
எ,எரிகணை,
எ,எரிகதிர்,
எ,எரிகனல்,
எ,எரிசுடர்,
எ,எரிதணல்,
எ,எரிதழல்,
எ,எரிபகல்,
எ,எரிமணி,
எ,எரிவிளக்கு,
எ,எரிவெள்ளி,
எ,எரிவேங்கை,
எ,எரிவேல்,
எ,எறி,"வீசதல், அடித்தல்"
எ,எறிகடல்,
எ,எறிகணை,
எ,எறிகதிர்,
எ,எறிகிணை,
எ,எறிசினம்,
எ,எறிசுடர்,
எ,எறிதிறல்,
எ,எறிநிலவு,
எ,எறிநிலா,
எ,எறிபடை,
எ,எறிபரிதி,
எ,எறிமணி,
எ,எறிமதி,
எ,எறிமுரசு,
எ,எறிவேல்,
எ,எல்,
எ,எல்லணி,
எ,எல்லமுதம்,
எ,எல்லமுது,
எ,எல்லம்மை,
எ,எல்லரசி,
எ,எல்லழகி,
எ,எல்லி,
எ,எல்லினி,
எ,எல்லிறை,
எ,எல்லிழை,
எ,எல்லெழில்,
எ,எல்லேந்தி,
எ,எல்லொளி,
எ,எல்வளை,
எ,எல்வானம்,
எ,எல்விளக்கு,
எ,எல்வேல்,
எ,எள்,"கூலங்களில் ஒன்று"
எ,எள்ளமுதம்,
எ,எள்ளமுது,
எ,எழிசையாழி,
எ,எழிசைவள்ளி,
எ,எழினகை,
எ,எழினங்கை,
எ,எழினன்னி,
எ,எழினல்லாள்,
எ,எழினி,
எ,எழினிலவு,
எ,எழினிலா,
எ,எழினுதல்,
எ,எழினெஞ்சள்,
எ,எழினெய்தல்,
எ,எழினெறி,
எ,எழினொச்சி,
எ,எழின்மகள்,
எ,எழின்மங்கை,
எ,எழின்மடந்தை,
எ,எழின்மணி,
எ,எழின்மதி,
எ,எழின்மயில்,
எ,எழின்மருதம்,
எ,எழின்மலர்,
எ,எழின்மலை,
எ,எழின்மாமணி,
எ,எழின்மாமதி,
எ,எழின்மாமயில்,
எ,எழின்மாலை,
எ,எழின்முகில்,
எ,எழின்முகை,
எ,எழின்முடி,
எ,எழின்முத்து,
எ,எழின்முரசு,
எ,எழின்முறுவல்,
எ,எழின்முல்லை,
எ,எழின்மேழி,
எ,எழின்மொட்டு,
எ,எழின்மொழி,
எ,எழிற்கண்ணி,
எ,எழிற்கதிர்,
எ,எழிற்கனி,
எ,எழிற்கயல்,
எ,எழிற்கலை,
எ,எழிற்கிளி,
எ,எழிற்கிள்ளை,
எ,எழிற்குயில்,
எ,எழிற்குறிஞ்சி,
எ,எழிற்குழலி,
எ,எழிற்குழை,
எ,எழிற்கூந்தல்,
எ,எழிற்கொடி,
எ,எழிற்கொன்றை,
எ,எழிற்கோதை,
எ,எழிற்சாந்து,
எ,எழிற்சிட்டு,
எ,எழிற்சிலம்பு,
எ,எழிற்சுடர்,
எ,எழிற்சுனை,
எ,எழிற்செல்வி,
எ,எழிற்சேய்,
எ,எழிற்சோணை,
எ,எழிற்சோலை,
எ,எழிற்பிறை,
எ,எழிலணி,
எ,எழிலன்னை,
எ,எழிலன்பு,
எ,எழிலமுதம்,
எ,எழிலமுது,
எ,எழிலம்மை,
எ,எழிலரசி,
எ,எழிலரண்,
எ,எழிலருவி,
எ,எழிலறிவு,
எ,எழிலழகி,
எ,எழிலாழி,
எ,எழிலி,
எ,எழிலிசை,
எ,எழிலினி,
எ,எழிலினியள்,
எ,எழிலினியாள்,
எ,எழிலின்பம்,
எ,எழிலிழை,
எ,எழிலுடையாள்,
எ,எழிலுரு,
எ,எழிலேந்தி,
எ,எழிலொளி,
எ,எழிலோதி,
எ,எழிலோவியம்,
எ,எழில்,
எ,எழில்மங்கை,
எ,எழில்யாழ்,
எ,எழில்வடிவு,
எ,எழில்வல்லி,
எ,எழில்வளை,
எ,எழில்வள்ளி,
எ,எழில்வாகை,
எ,எழில்வாணி,
எ,எழில்வானம்,
எ,எழில்வாரி,
எ,எழில்விறலி,
எ,எழில்விளக்கு,
எ,எழில்விழி,
எ,எழில்வெட்சி,
எ,எழில்வெண்ணி,
எ,எழில்வெற்றி,
எ,எழில்வெள்ளி,
எ,எழில்வேங்கை,
எ,எழில்வேல்,
எ,எழுகடல்,
எ,எழுகதிர்,
எ,எழுகுரல்,
எ,எழுங்கதிர்,
எ,எழுங்கனல்,
எ,எழுசுடர்,
எ,எழுச்சி,
எ,எழுஞ்சுடர்,
எ,எழுதணல்,
எ,எழுதழல்,
எ,எழுதிங்கள்,
எ,எழுதிறல்,
எ,எழுநிலவு,
எ,எழுநிலா,
எ,எழுந்தணல்,
எ,எழுந்தழல்,
எ,எழுந்திங்கள்,
எ,எழுபரிதி,
எ,எழுபிறை,
எ,எழுபுனல்,
எ,எழுமதி,
எ,எழுவாரி,
எ,எழுவேங்கை,
