"தொடங்கும் எழுத்து",பெயர்,பொருள்
ஏ,ஏந்தி," மேலானவள், தலைமைப்பண்புடையவள்"
ஏ,ஏந்திழை,
ஏ,ஏந்திழையாள்,
ஏ,ஏந்துதல்,தாங்குதல்
ஏ,ஏந்தெழினி,
ஏ,ஏந்தெழிலி,
ஏ,ஏந்தெழில்,
ஏ,ஏரணி,
ஏ,ஏரன்னை,
ஏ,ஏரமுதம்,
ஏ,ஏரமுது,
ஏ,ஏரம்மை,
ஏ,ஏரரசி,
ஏ,ஏரழகி,
ஏ,ஏரி,
ஏ,ஏரிசை,
ஏ,ஏரினி,
ஏ,ஏரினியள்,
ஏ,ஏரினியாள்,
ஏ,ஏரிழை,
ஏ,ஏருடையாள்,
ஏ,ஏரூராள்,
ஏ,ஏரெயினி,
ஏ,ஏரெழினி,
ஏ,ஏரெழிலி,
ஏ,ஏரெழில்,
ஏ,ஏரொலி,
ஏ,ஏரொளி,
ஏ,ஏர்,"அழகு, எழுச்சி, கலப்பை"
ஏ,ஏர்க்கண்ணி,
ஏ,ஏர்க்கொடி,
ஏ,ஏர்ச்சிலம்பு,
ஏ,ஏர்ச்செல்வி,
ஏ,ஏர்நங்கை,
ஏ,ஏர்ப்பரிதி,
ஏ,ஏர்மகள்,
ஏ,ஏர்மங்கை,
ஏ,ஏர்மடந்தை,
ஏ,ஏர்மணி,
ஏ,ஏர்மதி,
ஏ,ஏர்மயில்,
ஏ,ஏர்மருதம்,
ஏ,ஏர்மலர்,
ஏ,ஏர்முத்து,
ஏ,ஏர்முரசு,
ஏ,ஏர்வடிவு,
ஏ,ஏர்வளை,
ஏ,ஏர்வாணி,
ஏ,ஏழசைவாரி,
ஏ,ஏழிசை,
ஏ,ஏழிசைக்கடல்,
ஏ,ஏழிசைக்கனி,
ஏ,ஏழிசைக்கிளி,
ஏ,ஏழிசைக்குயில்,
ஏ,ஏழிசைக்குரல்,
ஏ,ஏழிசைச்சிட்டு,
ஏ,ஏழிசைச்சுடர்,
ஏ,ஏழிசைச்செல்வி,
ஏ,ஏழிசைநங்கை,
ஏ,ஏழிசைமணி,
ஏ,ஏழிசைமுத்து,
ஏ,ஏழிசையமுது,
ஏ,ஏழிசையம்மை,
ஏ,ஏழிசையரசி,
ஏ,ஏழிசையருவி,
ஏ,ஏழிசையாள்,
ஏ,ஏழிசையாழ்,
ஏ,ஏழிசையின்பம்,
ஏ,ஏழிசையெழினி,
ஏ,ஏழிசையெழிலி,
ஏ,ஏழிசையெழில்,
ஏ,ஏழிசையேந்தி,
ஏ,ஏழிசையொலி,
ஏ,ஏழிசையொளி,
ஏ,ஏழிசைவடிவு,
ஏ,ஏழிசைவல்லாள்,
ஏ,ஏழிசைவல்லி,
ஏ,ஏழிசைவாணி,
ஏ,ஏழு,ஓரேண்
ஏ,ஏழ்கடல்,
