"தொடங்கும் எழுத்து",பெயர்,பொருள்
ஒ,ஒசைக்குயில்,
ஒ,ஒசைவில்,
ஒ,ஒண்கடல்,
ஒ,ஒண்கணை,
ஒ,ஒண்கண்ணி,
ஒ,ஒண்கதிர்,
ஒ,ஒண்கனல்,
ஒ,ஒண்கனி,
ஒ,ஒண்கயல்,
ஒ,ஒண்கலம்,
ஒ,ஒண்கலை,
ஒ,ஒண்கழனி,
ஒ,ஒண்காஞ்சி,
ஒ,ஒண்காந்தள்,
ஒ,ஒண்கானல்,
ஒ,ஒண்கிணை,
ஒ,ஒண்கிளி,
ஒ,ஒண்கிள்ளை,
ஒ,ஒண்குயில்,
ஒ,ஒண்குரல்,
ஒ,ஒண்குறிஞ்சி,
ஒ,ஒண்குழலி,
ஒ,ஒண்குழல்,
ஒ,ஒண்குழை,
ஒ,ஒண்கூடல்,
ஒ,ஒண்கூந்தல்,
ஒ,ஒண்கொடி,
ஒ,ஒண்கொடை,
ஒ,ஒண்கொன்றை,
ஒ,ஒண்கொம்பு,
ஒ,ஒண்கொழுந்து,
ஒ,ஒண்கோதை,
ஒ,ஒண்சாந்து,
ஒ,ஒண்சாரல்,
ஒ,ஒண்சிலம்பு,
ஒ,ஒண்சுடர்,
ஒ,ஒண்சுனை,
ஒ,ஒண்சொல்,
ஒ,ஒண்சோலை,
ஒ,ஒண்டகை,
ஒ,ஒண்டமிழ்,
ஒ,ஒண்டிறல்,
ஒ,ஒண்டொடி,
ஒ,ஒண்ணகை,
ஒ,ஒண்ணிலவு,
ஒ,ஒண்ணிலா,
ஒ,ஒண்ணுதல்,
ஒ,ஒண்பகல்,
ஒ,ஒண்பரிதி,
ஒ,ஒண்பிறை,
ஒ,ஒண்புகழ்,
ஒ,ஒண்புணை,
ஒ,ஒண்புதுமை,
ஒ,ஒண்புனல்,
ஒ,ஒண்புன்னை,
ஒ,ஒண்புலமை,
ஒ,ஒண்பூ,
ஒ,ஒண்பூவை,
ஒ,ஒண்பொன்,
ஒ,ஒண்பொருநை,
ஒ,ஒண்பொருள்,
ஒ,ஒண்பொறை,
ஒ,ஒண்பொறையள்,
ஒ,ஒண்பொழில்,
ஒ,ஒண்மணி,
ஒ,ஒண்மதி,
ஒ,ஒண்மனை,
ஒ,ஒண்மயில்,
ஒ,ஒண்மறை,
ஒ,ஒண்மானம்,
ஒ,ஒண்மானி,
ஒ,ஒண்மாலை,
ஒ,ஒண்மீன்,
ஒ,ஒண்முகில்,
ஒ,ஒண்முகை,
ஒ,ஒண்முடி,
ஒ,ஒண்முத்து,
ஒ,ஒண்முரசு,
ஒ,ஒண்முறுவல்,
ஒ,ஒண்முல்லை,
ஒ,ஒண்மை,ஒளி
ஒ,ஒண்மொட்டு,
ஒ,ஒண்மொழி,
ஒ,ஒப்பிலமுது,
ஒ,ஒப்பிலம்மை,
ஒ,ஒப்பிலரசி,
ஒ,ஒப்பிலழகி,
ஒ,ஒப்பிலாமணி,
ஒ,ஒப்பிலாமதி,
ஒ,ஒப்பிலாமயில்,
ஒ,ஒப்பிலாமுத்து,
ஒ,ஒப்பிலாமொழி,
ஒ,ஒப்பிலாள்,
ஒ,ஒப்பிலாவடிவு,
ஒ,ஒப்பிலாவல்லி,
ஒ,ஒப்பிலாவொளி,
ஒ,ஒப்பில்கதிர்,
ஒ,ஒப்பில்கனி,
ஒ,ஒப்பில்சுடர்,
ஒ,ஒப்பில்செல்வி,
ஒ,ஒப்பில்சேய்,
ஒ,ஒப்பு,நிகர்
ஒ,ஒயினகை,
ஒ,ஒயினங்கை,
ஒ,ஒயினாச்சி,
ஒ,ஒயினிலா,
ஒ,ஒயிற்செல்வி,
ஒ,ஒயிலம்மை,
ஒ,ஒயிலரசி,
ஒ,ஒயிலாள்,
ஒ,ஒயிலிழை,
ஒ,ஒயிலிழையாள்,
ஒ,ஒயிலுரு,
ஒ,ஒயிலூராள்,
ஒ,ஒயிலொளி,
ஒ,ஒயிலோவியம்,
