"தொடங்கும் எழுத்து",பெயர்,பொருள்
க,கடனங்கை,
க,கடனிலா,
க,கடன்மணி,
க,கடன்முத்து,
க,கடம்பணி,
க,கடம்பன்னை,
க,கடம்பமணி,
க,கடம்பமயில்,
க,கடம்பமலர்,
க,கடம்பமலை,
க,கடம்பமாலை,
க,கடம்பமுதம்,
க,கடம்பமுது,
க,கடம்பம்மை,
க,கடம்பரசி,
க,கடம்பரசு,
க,கடம்பரண்,
க,கடம்பழகி,
க,கடம்பழகு,
க,கடம்பவாணி,
க,கடம்பி,
க,கடம்பு,ஒருமரம்
க,கடம்புச்செல்வி,
க,கடம்புமணி,
க,கடம்புமயில்,
க,கடம்புமலர்,
க,கடம்புமலை,
க,கடம்புமாலை,
க,கடற்கண்ணி,
க,கடற்சிட்டு,
க,கடலணி,
க,கடலன்னை,
க,கடலமுதம்,
க,கடலமுது,
க,கடலரசி,
க,கடலரண்,
க,கடலலை,
க,கடலழகி,
க,கடலூராள்,
க,கடலெழிலி,
க,கடலொலி,
க,கடல்,ஆழி
க,கடல்வல்லி,
க,கடல்வாணி,
க,கடல்விழி,
க,கட்டழகி,
க,கட்டு,"அமைப்பு, ஒழுங்கு"
க,கணி,"மதித்தல், எண்ணல்"
க,கணிக்கணை,
க,கணிக்கதிர்,
க,கணிக்கனல்,
க,கணிக்கயல்,
க,கணிக்கலம்,
க,கணிக்கலை,
க,கணிக்கழி,
க,கணிக்கழை,
க,கணிக்குயில்,
க,கணிக்குரல்,
க,கணிக்குழல்,
க,கணிக்குழை,
க,கணிக்குவை,
க,கணிக்கொடி,
க,கணிக்கொடை,
க,கணிக்கொன்றை,
க,கணிக்கொம்பு,
க,கணிக்கொழுந்து,
க,கணிக்கோதை,
க,கணிச்சாந்து,
க,கணிச்சுடர்,
க,கணிச்சுனை,
க,கணிச்சுரபி,
க,கணிச்செல்வம்,
க,கணிச்செல்வி,
க,கணிச்சேந்தி,
க,கணிச்சேய்,
க,கணிச்சொல்,
க,கணிச்சோலை,
க,கணித்தகை,
க,கணித்தங்கம்,
க,கணித்தங்கை,
க,கணித்தணல்,
க,கணித்தமிழ்,
க,கணித்தலைவி,
க,கணித்தழல்,
க,கணித்தழை,
க,கணித்தாய்,
க,கணித்திறல்,
க,கணித்தென்றல்,
க,கணித்தேவி,
க,கணித்தையல்,
க,கணித்தோகை,
க,கணிநகை,
க,கணிநங்கை,
க,கணிநிலவு,
க,கணிநிலா,
க,கணிநுதல்,
க,கணிநெறி,
க,கணிப்பண்,
க,கணிப்பிறை,
க,கணிப்புகழ்,
க,கணிப்புனல்,
க,கணிப்பூ,
க,கணிப்பூவை,
க,கணிப்பொன்,
க,கணிப்பொன்னி,
க,கணிப்பொறை,
க,கணிப்பொழில்,
க,கணிமகள்,
க,கணிமதி,
க,கணிமறை,
க,கணிமலர்,
க,கணிமலை,
க,கணிமுகில்,
க,கணிமுகை,
க,கணிமுடி,
க,கணிமுத்து,
க,கணிமுரசு,
க,கணியன்பு,
க,கணியம்மா,
க,கணியம்மாள்,
க,கணியம்மை,
க,கணியரசி,
க,கணியரசு,
க,கணியரண்,
க,கணியருவி,
க,கணியறிவு,
க,கணியலை,
க,கணியள்,
க,கணியழகி,
க,கணியழகு,
க,கணியிசை,
க,கணியின்பம்,
க,கணியுரு,
க,கணியெழில்,
க,கணியொலி,
க,கணியொளி,
