"தொடங்கும் எழுத்து",பெயர்,பொருள்
கா,கா,சோலை
கா,காஞ்சி,
கா,காஞ்சிமகள்,
கா,காஞ்சிமணி,
கா,காஞ்சிமதி,
கா,காஞ்சிமயில்,
கா,காஞ்சிமலர்,
கா,காஞ்சிமலை,
கா,காஞ்சிமாதேவி,
கா,காஞ்சிமாமணி,
கா,காஞ்சிமாமதி,
கா,காஞ்சிமாமயில்,
கா,காஞ்சிமாலை,
கா,காஞ்சிமுத்து,
கா,காஞ்சியரண்,
கா,காடு,கான்
கா,காடுகிழாள்,
கா,காட்டரசி,
கா,காட்டரண்,
கா,காட்டரி,
கா,காட்டருவி,
கா,காட்டழகி,
கா,காட்டுக்கனல்,
கா,காட்டுக்கனி,
கா,காட்டுக்கிளி,
கா,காட்டுக்குயில்,
கா,காட்டுக்கொடி,
கா,காட்டுச்செல்வி,
கா,காட்டுத்தீ,
கா,காட்டுத்தேன்,
கா,காட்டுநங்கை,
கா,காட்டுநிலா,
கா,காட்டுப்புனல்,
கா,காட்டுப்பூ,
கா,காட்டுப்பூவை,
கா,காட்டுமகள்,
கா,காட்டுமங்கை,
கா,காட்டுமணி,
கா,காட்டுமயில்,
கா,காட்டுமலர்,
கா,காட்டுமான்,
கா,காட்டுமுகை,
கா,காட்டுமுல்லை,
கா,காட்டுவல்லி,
கா,காட்டுவேங்கை,
கா,காட்டூராள்,
கா,காட்டெயினி,
கா,காட்டெரி,
கா,காட்டெழில்,
கா,காட்டொளி,
கா,காதனகை,
கா,காதனங்கை,
கா,காதனிலவு,
கா,காதனிலா,
கா,காதனெஞ்சள்,
கா,காதனெறி,
கா,காதன்மகள்,
கா,காதன்மங்கை,
கா,காதன்மடந்தை,
கா,காதன்மணி,
கா,காதன்மதி,
கா,காதன்மயில்,
கா,காதன்மருதம்,
கா,காதன்மலர்,
கா,காதன்மாதேவி,
கா,காதன்மானம்,
கா,காதன்மான்,
கா,காதன்மாமணி,
கா,காதன்மாமதி,
கா,காதன்மாமயில்,
கா,காதன்மாமலை,
கா,காதன்மொழி,
கா,காதற்கடல்,
கா,காதற்கணை,
கா,காதற்கண்ணி,
கா,காதற்கதிர்,
கா,காதற்கனி,
கா,காதற்கயம்,
கா,காதற்கயல்,
கா,காதற்கலம்,
கா,காதற்கலை,
கா,காதற்கழனி,
கா,காதற்கிளி,
கா,காதற்கிள்ளி,
கா,காதற்குயில்,
கா,காதற்கொடி,
கா,காதற்கொன்றை,
கா,காதற்கொம்பு,
கா,காதற்கொழுந்து,
கா,காதற்கோதை,
கா,காதற்சிட்டு,
கா,காதற்சிலம்பு,
கா,காதற்சுடர்,
கா,காதற்சுனை,
கா,காதற்சுரபி,
கா,காதற்செல்வம்,
கா,காதற்செல்வி,
கா,காதற்சேய்,
கா,காதற்சோணை,
கா,காதற்சோலை,
கா,காதற்பண்,
கா,காதற்பரிதி,
கா,காதற்பழம்,
கா,காதற்பிடி,
கா,காதற்பிணை,
கா,காதற்பிறை,
கா,காதற்பூ,
கா,காதற்பூவை,
கா,காதற்பொன்,
கா,காதற்பொன்னி,
கா,காதற்பொறை,
கா,காதற்பொழில்,
கா,காதலணி,
கா,காதலன்னை,
கா,காதலன்பு,
கா,காதலமுதம்,
கா,காதலமுது,
கா,காதலம்மை,
கா,காதலரசி,
கா,காதலரண்,
கா,காதலருவி,
கா,காதலல்லி,
கா,காதலழகி,
கா,காதலாள்,
கா,காதலி,
கா,காதலிசை,
கா,காதலினியள்,
கா,காதலினியாள்,
கா,காதலின்பம்,
கா,காதலிழை,
கா,காதலெழில்,
கா,காதலொளி,
கா,காதலோதி,
கா,காதலோவியம்,
கா,காதல்,
கா,காதல்யாழ்,
கா,காதல்வல்லி,
கா,காதல்வாணி,
கா,காதல்வானம்,
கா,காநிலா,
கா,காந்தள்,
கா,கானக்கனல்,
கா,கானக்கனி,
கா,கானக்கயம்,
கா,கானக்கழை,
கா,கானக்கிளி,
கா,கானக்கிள்ளை,
கா,கானக்குமரி,
கா,கானக்குயில்,
கா,கானக்குறிஞ்சி,
கா,கானக்கொடி,
கா,கானக்கொன்றை,
கா,கானக்கோதை,
கா,கானச்சாந்து,
கா,கானச்சிட்டு,
கா,கானச்சுடர்,
கா,கானச்சுனை,
கா,கானச்செல்வி,
கா,கானச்சேய்,
கா,கானணி,
கா,கானத்தங்கம்,
கா,கானத்தழல்,
கா,கானத்தானை,
கா,கானத்திரு,
கா,கானத்திறல்,
கா,கானத்தீ,
கா,கானத்துணை,
கா,கானத்தேன்,
கா,கானத்தோகை,
கா,கானநங்கை,
கா,கானநன்னி,
கா,கானநிலவு,
கா,கானநிலா,
கா,கானநெறி,
கா,கானநொச்சி,
கா,கானனகை,
கா,கானனங்கை,
கா,கானனிலவு,
கா,கானனிலா,
கா,கானனெய்தல்,
கா,கானன்மகள்,
கா,கானன்மங்கை,
கா,கானன்மடந்தை,
கா,கானன்மணி,
கா,கானன்மதி,
கா,கானன்மயில்,
கா,கானன்மலர்,
கா,கானன்மான்,
கா,கானன்மாலை,
கா,கானன்முகை,
கா,கானன்முத்து,
கா,கானன்முரசு,
கா,கானன்முல்லை,
கா,கானன்மொட்டு,
கா,கானப்பகன்றை,
கா,கானப்பாலை,
கா,கானப்பிச்சி,
கா,கானப்பிடி,
கா,கானப்பிணை,
கா,கானப்புனல்,
கா,கானப்பூவை,
கா,கானமகள்,
கா,கானமங்கை,
கா,கானமடந்தை,
கா,கானமணி,
கா,கானமயில்,
கா,கானமருதம்,
கா,கானமலர்,
கா,கானமலை,
கா,கானமான்,
கா,கானமாலை,
கா,கானமுகை,
கா,கானமுது,
கா,கானமுத்து,
கா,கானமுல்லை,
கா,கானமொட்டு,
கா,கானம்,
கா,கானம்மை,
கா,கானரசி,
கா,கானரண்,
