"தொடங்கும் எழுத்து",பெயர்,பொருள்
கு,குஞ்சு,
கு,குஞ்சுக்கிளி,
கு,குஞ்சுக்குயில்,
கு,குஞ்சுச்சிட்டு,
கு,குஞ்சுப்பிறை,
கு,குஞ்சுப்பூவை,
கு,குஞ்சுமயில்,
கு,குடகடல்,
கு,குடப்பிறை,
கு,குடமணி,
கு,குடமயில்,
கு,குடமருதம்,
கு,குடமலை,
கு,குடம்,"வளைவு, மேற்கு"
கு,குடி,குடும்பம்
கு,குடிப்பிறப்பு,
கு,குடிப்புகழ்,
கு,குடிப்பொறை,
கு,குடிமகள்,
கு,குடிமங்கை,
கு,குடிமடந்தை,
கு,குடியமுது,
கு,குடியரசி,
கு,குடியரசு,
கு,குடிவிளக்கு,
கு,குட்டி,
கு,குட்டித்தங்கம்,
கு,குட்டித்தங்கை,
கு,குட்டிநாச்சி,
கு,குட்டிப்பிடி,
கு,குட்டிப்பிணை,
கு,குட்டிப்பிறை,
கு,குட்டிப்பிள்ளை,
கு,குட்டிமணி,
கு,குட்டிமலர்,
கு,குட்டிமலை,
கு,குட்டிமான்,
கு,குட்டிமாலை,
கு,குட்டிமுத்து,
கு,குட்டியன்னை,
கு,குட்டியம்மா,
கு,குட்டியம்மை,
கு,குட்டியரசி,
கு,குட்டியரசு,
கு,குட்டியரண்,
கு,குட்டியலை,
கு,குட்டியழகி,
கு,குட்டியழகு,
கு,குட்டியாழ்,
கு,குட்டியெழிலி,
கு,குட்டியெழில்,
கு,குட்டியொளி,
கு,குட்டிவேங்கை,
கு,குட்டிவேல்,
கு,குணக்குட்டி,
கு,குணக்குன்று,
கு,குணக்குமரி,
கு,குணக்குயில்,
கு,குணக்கொடி,
கு,குணக்கொன்றை,
கு,குணக்கொம்பு,
கு,குணக்கொழுந்து,
கு,குணக்கோதை,
கு,குணச்சிட்டு,
கு,குணச்செல்வி,
கு,குணத்தங்கம்,
கு,குணத்தங்கை,
கு,குணத்தாமரை,
கு,குணத்திறல்,
கு,குணநகை,
கு,குணநங்கை,
கு,குணநிலவு,
கு,குணநிலா,
கு,குணப்பரிதி,
கு,குணப்பூவை,
கு,குணப்பொன்,
கு,குணப்பொறை,
கு,குணப்பொழில்,
கு,குணமகள்,
கு,குணமங்கை,
கு,குணமடந்தை,
கு,குணமணி,
கு,குணமதி,
கு,குணமயில்,
கு,குணமலர்,
கு,குணமலை,
கு,குணமான்,
கு,குணமாமணி,
கு,குணமாமதி,
கு,குணமாமயில்,
கு,குணமாமலை,
கு,குணமாலை,
கு,குணமுத்து,
கு,குணமொழி,
கு,குணம்,
கு,குணயாழ்,
கு,குணவடிவு,
கு,குணவணி,
கு,குணவமுதம்,
கு,குணவமுது,
கு,குணவம்மை,
கு,குணவரசி,
கு,குணவல்லி,
கு,குணவழகி,
கு,குணவாகை,
கு,குணவாணி,
கு,குணவாரி,
கு,குணவாழி,
கு,குணவெழிலி,
கு,குணவெழில்,
கு,குணவேங்கை,
கு,குணவேல்,
கு,குணவொளி,
கு,குண்டரண்,
கு,குண்டு,
கு,குண்டுமணி,
கு,குண்டுமுத்து,
கு,குந்தவி,
கு,குந்தவை,
கு,குன்றக்கிளி,
கு,குன்றக்குமரி,
கு,குன்றக்குயில்,
கு,குன்றக்கொடி,
கு,குன்றக்கொழுந்து,
கு,குன்றக்கோதை,
கு,குன்றச்சாந்து,
கு,குன்றச்சாரல்,
கு,குன்றச்சிட்டு,
கு,குன்றச்சுடர்,
கு,குன்றச்சுனை,
கு,குன்றச்செல்வி,
கு,குன்றச்சோலை,
கு,குன்றணி,
கு,குன்றத்தி,
கு,குன்றத்திரு,
கு,குன்றத்திறல்,
கு,குன்றத்தேன்,
கு,குன்றப்பூவை,
கு,குன்றப்பொறை,
கு,குன்றப்பொழில்,
கு,குன்றமகள்,
கு,குன்றமயில்,
கு,குன்றமுதம்,
கு,குன்றமுது,
கு,குன்றமுத்து,
கு,குன்றம்,
கு,குன்றயாழ்,
கு,குன்றரசி,
கு,குன்றரண்,
கு,குன்றருவி,
கு,குன்றழகி,
கு,குன்றவடிவு,
கு,குன்றவல்லி,
கு,குன்றவாணி,
கு,குன்றவாழை,
கு,குன்றவிளக்கு,
கு,குன்று,
கு,குன்றுடையாள்,
கு,குன்றூராள்,
கு,குன்றெயினி,
கு,குன்றெழிலி,
கு,குன்றெழில்,
கு,குன்றொளி,
கு,குமரி,
கு,குமரிகோடு,
கு,குமரிக்கடல்,
கு,குமரிக்கிளி,
கு,குமரிக்குயில்,
கு,குமரிக்கொடி,
கு,குமரிச்சாந்து,
கு,குமரிச்சாரல்,
கு,குமரிச்சிட்டு,
கு,குமரிச்சிலம்பு,
கு,குமரிச்செல்வம்,
கு,குமரிச்செல்வி,
கு,குமரிச்சேய்,
கு,குமரிச்சோலை,
கு,குமரித்தங்கம்,
கு,குமரித்தங்கை,
கு,குமரித்தமிழ்,
கு,குமரித்தலைவி,
கு,குமரித்தாமரை,
கு,குமரித்தாய்,
கு,குமரித்தாழை,
கு,குமரித்திங்கள்,
கு,குமரித்திரு,
கு,குமரித்தென்றல்,
கு,குமரித்தேன்,
கு,குமரித்தோகை,
கு,குமரிநங்கை,
கு,குமரிநிலவு,
கு,குமரிநிலா,
கு,குமரிப்பண்,
கு,குமரிப்பிடி,
கு,குமரிப்பிணை,
கு,குமரிப்புதுமை,
கு,குமரிப்புனல்,
கு,குமரிப்புன்னை,
கு,குமரிப்பூ,
கு,குமரிப்பூவை,
கு,குமரிப்பொன்,
கு,குமரிப்பொன்னி,
கு,குமரிப்பொழில்,
கு,குமரிமணி,
கு,குமரிமதி,
கு,குமரிமயில்,
கு,குமரிமலர்,
கு,குமரிமலை,
கு,குமரிமான்,
கு,குமரிமாலை,
