"தொடங்கும் எழுத்து",பெயர்,பொருள்
கூ,கூடனகை,
கூ,கூடனங்கை,
கூ,கூடனல்லாள்,
கூ,கூடன்மகள்,
கூ,கூடன்மங்கை,
கூ,கூடன்மடந்தை,
கூ,கூடன்மணி,
கூ,கூடன்மனை,
கூ,கூடன்மயில்,
கூ,கூடன்மருதம்,
கூ,கூடன்மறை,
கூ,கூடன்மலர்,
கூ,கூடன்மலை,
கூ,கூடன்மாலை,
கூ,கூடன்முத்து,
கூ,கூடற்கிளி,
கூ,கூடற்கிள்ளை,
கூ,கூடற்குமரி,
கூ,கூடற்குயில்,
கூ,கூடற்கொடி,
கூ,கூடற்சிட்டு,
கூ,கூடற்சிலம்பு,
கூ,கூடற்சுடர்,
கூ,கூடற்சுனை,
கூ,கூடற்செல்வி,
கூ,கூடற்சோலை,
கூ,கூடற்பண்,
கூ,கூடற்பூவை,
கூ,கூடற்பொழில்,
கூ,கூடலணி,
கூ,கூடலமுதம்,
கூ,கூடலமுது,
கூ,கூடலரசி,
கூ,கூடலழகி,
கூ,கூடலூராள்,
கூ,கூடலெழிலி,
கூ,கூடலொளி,
கூ,கூடல்,"சேருதல், மதுரை"
கூ,கூடல்வடிவு,
கூ,கூடல்வயல்,
கூ,கூடல்வல்லி,
கூ,கூடல்விறலி,
கூ,கூடல்வெற்றி,
கூ,கூத்தமுது,
கூ,கூத்தம்மை,
கூ,கூத்தரசி,
கூ,கூத்தரசு,
கூ,கூத்தள்,
கூ,கூத்தழகி,
கூ,கூத்தழகு,
கூ,கூத்தாள்,
கூ,கூத்திசை,
கூ,கூத்தினியள்,
கூ,கூத்தினியாள்,
கூ,கூத்தின்பம்,
கூ,கூத்து,
கூ,கூத்துச்செல்வி,
கூ,கூத்துமகள்,
கூ,கூத்துமங்கை,
கூ,கூத்துமடந்தை,
கூ,கூத்துமணி,
கூ,கூத்துமயில்,
கூ,கூத்துமலர்,
கூ,கூத்துவல்லாள்,
கூ,கூத்துவல்லி,
கூ,கூத்துவிறலி,
கூ,கூத்தெயினி,
கூ,கூத்தெழிலி,
கூ,கூத்தெழில்,
கூ,கூத்தொளி,
கூ,கூந்தனங்கை,
கூ,கூந்தனல்லாள்,
கூ,கூந்தனிலவு,
கூ,கூந்தனிலா,
கூ,கூந்தன்மகள்,
கூ,கூந்தன்மங்கை,
கூ,கூந்தன்மடந்தை,
கூ,கூந்தன்மதி,
கூ,கூந்தன்மயில்,
கூ,கூந்தன்மலர்,
கூ,கூந்தன்மான்,
கூ,கூந்தன்மாலை,
கூ,கூந்தன்முகிலி,
கூ,கூந்தற்கடல்,
கூ,கூந்தற்கிளி,
கூ,கூந்தற்குயில்,
கூ,கூந்தற்கொடி,
கூ,கூந்தற்கோதை,
கூ,கூந்தற்சிட்டு,
கூ,கூந்தற்செல்வி,
கூ,கூந்தற்பூவை,
கூ,கூந்தலம்மை,
கூ,கூந்தலரசி,
கூ,கூந்தலழகி,
கூ,கூந்தலழகு,
கூ,கூந்தலெழிலி,
கூ,கூந்தலெழில்,
கூ,கூந்தலொளி,
கூ,கூந்தல்,
கூ,கூந்தல்வடிவு,
கூ,கூந்தல்வல்லி,
கூ,கூனிழையாள்,
கூ,கூன்,வளைவு
கூ,கூன்பிறை,
கூ,கூன்யாழ்,
கூ,கூன்வளை,
கூ,கூன்வில்,
கூ,கூரணி,
கூ,கூரத்தி,
கூ,கூரன்பு,
கூ,கூரமுது,
கூ,கூரம்மை,
கூ,கூரரசி,
கூ,கூரரசு,
கூ,கூரரண்,
கூ,கூரரி,
கூ,கூரருவி,
கூ,கூரறிவு,
கூ,கூரலரி,
கூ,கூரலை,
கூ,கூரல்லி,
கூ,கூரழகி,
கூ,கூரழகு,
கூ,கூராற்றல்,
கூ,கூராழி,
கூ,கூரிசை,
கூ,கூரினியள்,
கூ,கூரினியாள்,
கூ,கூரின்பம்,
கூ,கூரிழை,
கூ,கூரிழையாள்,
கூ,கூருரு,
கூ,கூரெரி,
கூ,கூரெழினி,
கூ,கூரெழிலி,
கூ,கூரெழில்,
கூ,கூரொலி,
கூ,கூரொளி,
கூ,கூரோதி,
கூ,கூர்,"மிகுதி, கூர்மை"
கூ,கூர்கடல்,
கூ,கூர்கணை,
கூ,கூர்கதிர்,
கூ,கூர்கலம்,
கூ,கூர்கலை,
கூ,கூர்குமரி,
கூ,கூர்குயில்,
கூ,கூர்குறிஞ்சி,
கூ,கூர்குழலி,
கூ,கூர்குழல்,
கூ,கூர்குழை,
கூ,கூர்கூந்தல்,
கூ,கூர்கொடி,
கூ,கூர்கொன்றை,
கூ,கூர்கொழுந்து,
கூ,கூர்சாந்து,
கூ,கூர்சாரல்,
கூ,கூர்சிலம்பு,
கூ,கூர்சுடர்,
கூ,கூர்சுனை,
கூ,கூர்சோலை,
கூ,கூர்தகை,
கூ,கூர்தகையள்,
கூ,கூர்தங்கம்,
கூ,கூர்தங்கை,
கூ,கூர்தணல்,
கூ,கூர்தணிகை,
கூ,கூர்தமிழ்,
கூ,கூர்தழல்,
கூ,கூர்தழை,
கூ,கூர்தானை,
கூ,கூர்தாமரை,
கூ,கூர்திங்கள்,
கூ,கூர்திரு,
கூ,கூர்திறல்,
கூ,கூர்துடி,
கூ,கூர்துணை,
கூ,கூர்துறை,
கூ,கூர்தென்றல்,
கூ,கூர்தொடை,
கூ,கூர்தோகை,
கூ,கூர்நகை,
கூ,கூர்நங்கை,
கூ,கூர்நிலவு,
கூ,கூர்நிலா,
கூ,கூர்நுதல்,
கூ,கூர்நெஞ்சள்,
கூ,கூர்நெய்தல்,
கூ,கூர்நெறி,
கூ,கூர்பகல்,
கூ,கூர்பணை,
கூ,கூர்பண்,
கூ,கூர்பரிதி,
கூ,கூர்பழம்,
கூ,கூர்பிடி,
கூ,கூர்பிணை,
கூ,கூர்பிறை,
கூ,கூர்புகழ்,
கூ,கூர்புணை,
கூ,கூர்புதுமை,
கூ,கூர்புனல்,
கூ,கூர்புன்னை,
கூ,கூர்புலமை,
கூ,கூர்பூவை,
கூ,கூர்பொன்,
கூ,கூர்பொன்னி,
கூ,கூர்பொருநை,
கூ,கூர்பொறை,
கூ,கூர்பொறையள்,
கூ,கூர்பொழில்,
கூ,கூர்மகள்,
கூ,கூர்மங்கை,
