"தொடங்கும் எழுத்து",பெயர்,பொருள்
கை,கை,"கை, சிறியது, செயல், ஒழுக்கம்"
கை,கைகோள்,
கை,கைக்கணை,
கை,கைக்கனி,
கை,கைக்கலம்,
கை,கைக்கழி,
கை,கைக்காந்தள்,
கை,கைக்கிணை,
கை,கைக்கிளி,
கை,கைக்கிளை,
கை,கைக்கிள்ளை,
கை,கைச்செல்வம்,
கை,கைத்திரு,
கை,கைத்திறன்,
கை,கைத்திறல்,
கை,கைத்துணை,
கை,கைந்நெறி,
கை,கைப்பொன்,
கை,கைப்பொன்னி,
கை,கைப்பொருள்,
கை,கைப்பொறை,
கை,கைம்மணி,
கை,கைம்மலர்,
கை,கைம்மலை,
கை,கைம்மாறு,
கை,கைம்மாலை,
கை,கைம்முதலி,
கை,கைம்முதல்,
கை,கைம்முத்து,
கை,கைம்முரசு,
கை,கையணி,
கை,கையமுது,
கை,கையரசி,
கை,கையரண்,
கை,கையரி,
கை,கையழகி,
கை,கையாற்றல்,
கை,கையாழி,
கை,கையாழ்,
கை,கையிழை,
கை,கையெழிலி,
கை,கையொளி,
கை,கையோவியம்,
கை,கைவடிவு,
கை,கைவண்ணம்,
கை,கைவளை,
கை,கைவாகை,
கை,கைவிறல்,
கை,கைவில்,
கை,கைவிளக்கு,
கை,கைவெற்றி,
கை,கைவேல்,
