"தொடங்கும் எழுத்து",பெயர்,பொருள்
கொ,கொங்கமுது,
கொ,கொங்கரசி,
கொ,கொங்கரண்,
கொ,கொங்கருவி,
கொ,கொங்கலரி,
கொ,கொங்கலை,
கொ,கொங்கழகி,
கொ,கொங்கழகு,
கொ,கொங்காழி,
கொ,கொங்கிசை,
கொ,கொங்கினியள்,
கொ,கொங்கினியாள்,
கொ,கொங்கிழை,
கொ,கொங்கு,
கொ,கொங்குக்கடல்,
கொ,கொங்குக்கனி,
கொ,கொங்குக்கிளி,
கொ,கொங்குக்குமரி,
கொ,கொங்குக்குயில்,
கொ,கொங்குச்செல்வி,
கொ,கொங்குச்சோலை,
கொ,கொங்குப்பொன்,
கொ,கொங்குப்பொழில்,
கொ,கொங்குமகள்,
கொ,கொங்குமணி,
கொ,கொங்குமதி,
கொ,கொங்குமயில்,
கொ,கொங்குமருதம்,
கொ,கொங்குமலர்,
கொ,கொங்குமலை,
கொ,கொங்குமான்,
கொ,கொங்குமாரி,
கொ,கொங்குமாலை,
கொ,கொங்குமுல்லை,
கொ,கொங்குமொழி,
கொ,கொங்குயாழ்,
கொ,கொங்குவல்லி,
கொ,கொங்குவாணி,
கொ,கொங்குவாரி,
கொ,கொங்கெழிலி,
கொ,கொங்கெழில்,
கொ,கொங்கொளி,
கொ,கொடி,
கொ,கொடிக்குழல்,
கொ,கொடித்தானை,
கொ,கொடித்தாமரை,
கொ,கொடிப்பூ,
கொ,கொடிமலர்,
கொ,கொடிமின்னல்,
கொ,கொடிமுல்லை,
கொ,கொடியணி,
கொ,கொடியரசி,
கொ,கொடியரண்,
கொ,கொடியல்லி,
கொ,கொடியழகி,
கொ,கொடியழகு,
கொ,கொடியாம்பல்,
கொ,கொடியிடை,
கொ,கொடியெழிலி,
கொ,கொடியெழில்,
கொ,கொடை,
கொ,கொடைக்கனி,
கொ,கொடைக்கிளி,
கொ,கொடைக்குடிமகள்,
கொ,கொடைக்குமரி,
கொ,கொடைக்குயில்,
கொ,கொடைக்கொடி,
கொ,கொடைக்கோதை,
கொ,கொடைச்சிட்டு,
கொ,கொடைச்சிலம்பு,
கொ,கொடைச்சுனை,
கொ,கொடைச்சுரபி,
கொ,கொடைச்செல்வம்,
கொ,கொடைச்செல்வி,
கொ,கொடைச்சொல்,
கொ,கொடைச்சோலை,
கொ,கொடைத்தமிழ்,
கொ,கொடைத்தலைவி,
கொ,கொடைத்தாய்,
கொ,கொடைத்திரு,
கொ,கொடைத்திறல்,
கொ,கொடைத்தேன்,
கொ,கொடைத்தோகை,
கொ,கொடைநங்கை,
கொ,கொடைநன்னி,
கொ,கொடைநல்லள்,
கொ,கொடைநிலவு,
கொ,கொடைநிலா,
கொ,கொடைநெஞ்சள்,
கொ,கொடைநெறி,
கொ,கொடைநேரியள்,
கொ,கொடைப்பரிதி,
கொ,கொடைப்புகழ்,
கொ,கொடைப்பூவை,
கொ,கொடைப்பொன்,
கொ,கொடைப்பொன்னி,
கொ,கொடைப்பொழில்,
கொ,கொடைமகள்,
கொ,கொடைமங்கை,
கொ,கொடைமடந்தை,
கொ,கொடைமணி,
கொ,கொடைமதி,
கொ,கொடைமயில்,
கொ,கொடைமருதம்,
கொ,கொடைமலர்,
கொ,கொடைமலை,
கொ,கொடைமான்,
கொ,கொடைமாரி,
கொ,கொடைமாலை,
கொ,கொடைமுகிலி,
கொ,கொடைமுகில்,
கொ,கொடைமுடி,
கொ,கொடைமுத்து,
கொ,கொடைமுரசு,
கொ,கொடைமுல்லை,
கொ,கொடைமேழி,
கொ,கொடைமொழி,
கொ,கொடையணி,
கொ,கொடையன்னை,
கொ,கொடையன்பு,
கொ,கொடையமுதம்,
கொ,கொடையமுது,
கொ,கொடையம்மை,
கொ,கொடையரசி,
கொ,கொடையரசு,
கொ,கொடையரண்,
கொ,கொடையருவி,
கொ,கொடையறிவு,
கொ,கொடையழகி,
கொ,கொடையழகு,
கொ,கொடையாற்றல்,
கொ,கொடையாள்,
கொ,கொடையாழி,
கொ,கொடையிசை,
கொ,கொடையின்பம்,
