"தொடங்கும் எழுத்து",பெயர்,பொருள்
கோ,கோ,
கோ,கோக்கடல்,
கோ,கோக்கணை,
கோ,கோக்கண்ணி,
கோ,கோக்குமரி,
கோ,கோக்குயில்,
கோ,கோக்கோதை,
கோ,கோச்சிலம்பு,
கோ,கோச்செல்வி,
கோ,கோச்சேய்,
கோ,கோச்சொல்,
கோ,கோடை,"பருவங்களில் ஒன்று"
கோ,கோடைக்கானல்,
கோ,கோடைநிலவு,
கோ,கோடைநிலா,
கோ,கோடைநிழல்,
கோ,கோடைப்புனல்,
கோ,கோடைவானம்,
கோ,கோட்கடல்,
கோ,கோட்கணை,
கோ,கோட்கதிர்,
கோ,கோட்கனி,
கோ,கோட்கோதை,
கோ,கோட்சுடர்,
கோ,கோட்செல்வி,
கோ,கோட்சேய்,
கோ,கோட்புகழ்,
கோ,கோட்புலி,
கோ,கோணங்கை,
கோ,கோணல்லள்,
கோ,கோணிலவு,
கோ,கோணிலா,
கோ,கோண்மணி,
கோ,கோண்மலர்,
கோ,கோண்மலை,
கோ,கோதை,
கோ,கோதைக்கிளி,
கோ,கோதைக்குழலி,
கோ,கோதைச்செல்வி,
கோ,கோதைநெஞ்சள்,
கோ,கோதைமகள்,
கோ,கோதைமங்கை,
கோ,கோதைமடந்தை,
கோ,கோதைமணி,
கோ,கோதைமயில்,
கோ,கோதைமலர்,
கோ,கோதைமான்,
கோ,கோதைமுத்து,
கோ,கோதைமுறுவல்,
கோ,கோதையமுதம்,
கோ,கோதையமுது,
கோ,கோதையரசி,
கோ,கோதையரி,
கோ,கோதையருவி,
கோ,கோதையல்லி,
கோ,கோதையள்,
கோ,கோதையழகி,
கோ,கோதையழகு,
கோ,கோதையாள்,
கோ,கோதையினியள்,
கோ,கோதையினியாள்,
கோ,கோதையின்பம்,
கோ,கோதையெழிலி,
கோ,கோதையெழில்,
கோ,கோதையொளி,
கோ,கோதைவடிவு,
கோ,கோதைவாணி,
கோ,கோதைவேல்,
கோ,கோத்தங்கை,
கோ,கோத்தமிழ்,
கோ,கோத்தானை,
கோ,கோத்தாய்,
கோ,கோத்திறல்,
கோ,கோத்துணை,
கோ,கோத்தென்றல்,
கோ,கோத்தேவி,
கோ,கோநெறி,
கோ,கோனங்கை,
கோ,கோனிலவு,
கோ,கோனிலா,
கோ,கோனெறி,
கோ,கோன்மகள்,
கோ,கோன்மங்கை,
கோ,கோன்மடந்தை,
கோ,கோன்மணி,
கோ,கோன்மதி,
கோ,கோப்பரிதி,
கோ,கோப்பெண்டு,
கோ,கோப்பெருந்தேவி,
கோ,கோமகள்,
கோ,கோமங்கை,
கோ,கோமடந்தை,
கோ,கோமணி,
கோ,கோமதி,
கோ,கோமயில்,
கோ,கோமலர்,
கோ,கோமளம்,
கோ,கோமளவல்லி,
கோ,கோமாலை,
கோ,கோமுடி,
கோ,கோமுத்து,
கோ,கோமுரசு,
கோ,கோற்கோதை,
கோ,கோற்சிலம்பு,
கோ,கோற்செல்வி,
கோ,கோற்சேய்,
கோ,கோற்றொடி,
கோ,கோலக்கடல்,
கோ,கோலக்கணை,
கோ,கோலக்கண்ணி,
கோ,கோலக்கதிர்,
கோ,கோலக்கனி,
கோ,கோலக்கயம்,
கோ,கோலக்கயல்,
கோ,கோலக்கலம்,
கோ,கோலக்கலை,
கோ,கோலக்கா,
கோ,கோலக்கானல்,
கோ,கோலக்கிளி,
கோ,கோலக்கிள்ளை,
கோ,கோலக்குட்டி,
கோ,கோலக்குமரி,
கோ,கோலக்குயில்,
கோ,கோலக்குறிஞ்சி,
கோ,கோலக்குழலி,
கோ,கோலக்குழல்,
கோ,கோலக்குழை,
கோ,கோலக்கூடல்,
கோ,கோலக்கூந்தல்,
கோ,கோலக்கொடி,
கோ,கோலக்கொன்றை,
கோ,கோலக்கொழுந்து,
கோ,கோலக்கோதை,
கோ,கோலச்சாந்து,
கோ,கோலச்சாரல்,
கோ,கோலச்சிட்டு,
கோ,கோலச்சிலம்பு,
கோ,கோலச்சுடர்,
கோ,கோலச்சுனை,
கோ,கோலச்செருந்தி,
கோ,கோலச்செல்வி,
கோ,கோலச்சோலை,
கோ,கோலணி,
கோ,கோலத்தங்கம்,
கோ,கோலத்தங்கை,
கோ,கோலத்தமிழ்,
கோ,கோலத்தலைவி,
கோ,கோலத்தழை,
கோ,கோலத்தானை,
கோ,கோலத்தாமரை,
கோ,கோலத்தாய்,
கோ,கோலத்திங்கள்,
கோ,கோலத்திரு,
கோ,கோலத்திறல்,
கோ,கோலத்துளசி,
கோ,கோலத்தென்றல்,
கோ,கோலத்தேன்,
கோ,கோலத்தேவி,
கோ,கோலத்தொடை,
கோ,கோலத்தோகை,
கோ,கோலநகை,
கோ,கோலநங்கை,
கோ,கோலநிலவு,
கோ,கோலநிலா,
கோ,கோலநெய்தல்,
கோ,கோலநெறி,
கோ,கோலப்பகல்,
கோ,கோலப்பணை,
கோ,கோலப்பண்,
கோ,கோலப்பரிதி,
கோ,கோலப்பிடி,
கோ,கோலப்பிணை,
கோ,கோலப்பிறை,
கோ,கோலப்புகழ்,
கோ,கோலப்புணை,
கோ,கோலப்புதுமை,
கோ,கோலப்புனல்,
கோ,கோலப்புன்னை,
கோ,கோலப்புலமை,
கோ,கோலப்பூ,
கோ,கோலப்பூவை,
கோ,கோலப்பொட்டு,
கோ,கோலப்பொன்,
கோ,கோலப்பொன்னி,
கோ,கோலப்பொழில்,
கோ,கோலமகள்,
கோ,கோலமங்கை,
கோ,கோலமடந்தை,
கோ,கோலமணி,
கோ,கோலமதி,
கோ,கோலமனை,
கோ,கோலமயில்,
கோ,கோலமருதம்,
கோ,கோலமறை,
கோ,கோலமலர்,
கோ,கோலமலை,
கோ,கோலமான்,
கோ,கோலமாரி,
கோ,கோலமாலை,
கோ,கோலமின்னல்,
கோ,கோலமுகில்,
கோ,கோலமுகை,
கோ,கோலமுடி,
கோ,கோலமுத்து,
கோ,கோலமுரசு,
கோ,கோலமுறுவல்,
கோ,கோலமுல்லை,
கோ,கோலமேழி,
கோ,கோலமொட்டு,
கோ,கோலமொழி,
கோ,கோலம்,
கோ,கோலயாழ்,
கோ,கோலரசி,
கோ,கோலரசு,
கோ,கோலரண்,
கோ,கோலழகி,
கோ,கோலழகு,
கோ,கோலவடிவு,
கோ,கோலவணி,
கோ,கோலவரசி,
கோ,கோலவரசு,
கோ,கோலவரண்,
கோ,கோலவரி,
கோ,கோலவல்லி,
கோ,கோலவளை,
கோ,கோலவள்ளி,
கோ,கோலவாகை,
கோ,கோலவாணி,
கோ,கோலவானம்,
கோ,கோலவாரி,
கோ,கோலவிறலி,
கோ,கோலவில்,
கோ,கோலவிளக்கு,
கோ,கோலவிழி,
கோ,கோலவேல்,
கோ,கோலெழிலி,
கோ,கோலெழில்,
கோ,கோலேந்தி,
கோ,கோலொளி,
கோ,கோல்,"செங்கோல், திரட்சி, துலாக்கோல்"
கோ,கோல்வடிவு,
கோ,கோல்வல்லாள்,
கோ,கோல்வல்லி,
கோ,கோல்வளை,
கோ,கோல்வேங்கை,
கோ,கோளமுது,
கோ,கோளரி,
கோ,கோளழகி,
கோ,கோளொளி,
கோ,கோள்,கொள்கை
கோ,கோள்வல்லி,
கோ,கோள்வேல்,
கோ,கோவணி,
கோ,கோவல்லி,
கோ,கோவளத்தள்,
கோ,கோவளத்தாள்,
கோ,கோவளத்தி,
கோ,கோவளம்,
கோ,கோவள்,
கோ,கோவழகி,
கோ,கோவாணி,
கோ,கோவூராள்,
கோ,கோவெயினி,
கோ,கோவெழில்,
கோ,கோவேங்கை,
கோ,கோவேல்,
கோ,கோவேள்,
கோ,கோவை,
கோ,கோவைக்கனி,
கோ,கோவைக்கிளி,
கோ,கோவைக்குயில்,
கோ,கோவைக்கொடி,
கோ,கோவைக்கோதை,
கோ,கோவைச்சிலம்பு,
கோ,கோவைச்செல்வி,
கோ,கோவைப்பழம்,
கோ,கோவைப்பூ,
கோ,கோவைமணி,
கோ,கோவைமயில்,
கோ,கோவைமலர்,
கோ,கோவைமாலை,
கோ,கோவைமுத்து,
கோ,கோவையணி,
கோ,கோவையரசி,
கோ,கோவையழகி,
